estimator,train_curve,train_label,test_curve,test_label,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
raw_ls,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.006774363885652582,0.004108030477837909,-39.3591701423317,3,3,0.4532190273570036,0.5358652541815775
raw_ls,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.013462465700871958,240.57890477314365,0,3,0.4532190273570036,0.5358652541815775
raw_ls,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.010063433151349865,194.88572682002635,0,3,0.4532190273570036,0.5358652541815775
raw_ls,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.09017037607500002,1375.7679375121534,0,3,0.4532190273570036,0.5358652541815775
raw_ls,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.03076734801581514,534.4475473250629,0,3,0.4532190273570036,0.5358652541815775
raw_ls,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.00945773586508229,340.27601889625316,0,3,0.4532190273570036,0.5358652541815775
raw_ls,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457,0.10121370162592605
raw_ls,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457,0.10121370162592605
raw_ls,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0018483036698383195,-45.83971862611461,3,3,0.07477677984232457,0.10121370162592605
raw_ls,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.012655052474864023,107.11814126630999,0,3,0.07477677984232457,0.10121370162592605
raw_ls,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.007218845829130348,48.85842707194954,0,3,0.07477677984232457,0.10121370162592605
raw_ls,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0025663143668732367,19.466930436778075,1,3,0.07477677984232457,0.10121370162592605
raw_ls,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.006774363885652582,0.006061274204805147,-10.526297271359851,3,3,0.07714981720838593,0.1016427946242594
