estimator,scale,train_curve,train_label,kappa,raw_kappa,total_drop,max_drop,drop_eff_steps,feature_max,feature_mean,feature_peak_to_mean,feature_l2,corr,r2,positive_overlap,smooth_id_weight
raw_ls,25,cosine_72000.csv,Cosine,0.4814157232423704,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,-0.038338926020639534,-1.723657766871502,1.0,8.414274335231301e-05
raw_ls,100,cosine_72000.csv,Cosine,0.5358652541815775,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,0.42486160576900356,-0.16542168679991298,0.999987037612911,8.414274335231301e-05
raw_ls,400,cosine_72000.csv,Cosine,0.3423761046470629,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.09508274050125376,0.5519162762632617,0.26323285722447143,0.9545670409774167,8.414356205870405e-05
raw_ls,25,wsd_20000_24000.csv,WSD sharp,0.04769636075258369,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.9438286145394619,0.7998285798301223,0.4716764687439958,1.0,0.8876272844795522
raw_ls,100,wsd_20000_24000.csv,WSD sharp,0.07542027714846399,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.9438286145394619,0.9645067924639876,0.8341842773155973,1.0,0.8876272844795522
raw_ls,400,wsd_20000_24000.csv,WSD sharp,0.10121370162592605,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.9529421754440708,0.9630825252534042,0.8864955854076416,1.0,0.8876316940905121
raw_ls,25,wsdld_20000_24000.csv,WSD linear,0.0510121945505036,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.5721837247862505,0.7421776614409937,0.31811865147097595,1.0,0.7652294183995945
raw_ls,100,wsdld_20000_24000.csv,WSD linear,0.07879446245039477,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.5721837247862505,0.9575628569010615,0.75809798956189,1.0,0.7652294183995945
raw_ls,400,wsdld_20000_24000.csv,WSD linear,0.1016427946242594,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.5890891345460179,0.9545284127726327,0.8540846239539963,0.9999883258396075,0.7655415869579296
raw_ls,25,wsdcon_3.csv,WSD-con 3e-5,0.017559440308880722,0.017559440308880722,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.21316602486886502,4.22206118706609,10.70275226864739,0.8694804302664776,0.7094428624214087,0.9774041637917499,0.9996571526506726
raw_ls,100,wsdcon_3.csv,WSD-con 3e-5,0.021317059698654564,0.021317059698654564,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.7749996484485983,0.5342233780131613,0.9243752052645625,0.9996571526506726
raw_ls,400,wsdcon_3.csv,WSD-con 3e-5,0.036467051200031186,0.036467051200031186,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.8828684614369372,0.6973814731498871,0.9716350750803335,0.9996571526506726
raw_ls,25,wsdcon_9.csv,WSD-con 9e-5,0.016135752669323017,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,10.37383095937158,2.381106028408731,0.774290846915672,0.46595750912547707,0.9738336984062966,0.9992715352590258
raw_ls,100,wsdcon_9.csv,WSD-con 9e-5,0.015428668529379208,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.5815254899829824,0.007405393304348196,0.8822121854532247,0.9992715352590258
raw_ls,400,wsdcon_9.csv,WSD-con 9e-5,0.02834051980687712,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.7339771420310921,0.08805942381317033,0.9345709422444535,0.9992715352590258
raw_ls,25,wsdcon_18.csv,WSD-con 18e-5,0.030966518761166042,0.030966518761166042,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,19.549738417616393,0.43334458822817123,0.630122474579084,0.3399336845553441,1.0,0.9961051643574522
raw_ls,100,wsdcon_18.csv,WSD-con 18e-5,0.01824804267566827,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.5677353309044975,0.30318795197160264,0.983920539872176,0.9961051643574522
raw_ls,400,wsdcon_18.csv,WSD-con 18e-5,0.025067531372228207,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.6135896551001625,0.06569648964623309,0.9745164439064753,0.9961051643574522
hard_gate_cap_0p03,25,cosine_72000.csv,Cosine,0.0,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,-0.038338926020639534,-1.723657766871502,1.0,8.414274335231301e-05
hard_gate_cap_0p03,100,cosine_72000.csv,Cosine,0.0,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,0.42486160576900356,-0.16542168679991298,0.999987037612911,8.414274335231301e-05
hard_gate_cap_0p03,400,cosine_72000.csv,Cosine,0.0,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.09508274050125376,0.5519162762632617,0.26323285722447143,0.9545670409774167,8.414356205870405e-05
hard_gate_cap_0p03,25,wsd_20000_24000.csv,WSD sharp,0.03,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.9438286145394619,0.7998285798301223,0.4716764687439958,1.0,0.8876272844795522
