adiabatic_factor,backbone_params,base_mae,base_vs_official_baseline_pct,cooldown_support_span,corr_mae,corr_vs_official_baseline_pct,delta_vs_own_baseline_pct,description,effective_tau_steps,group,nonharm_vs_own_baseline,residual_params,scale,test_curve,test_label,variant,win_vs_own_baseline
0.8168498168498168,21,0.003860602372604268,23.102193215794586,4000.0,0.0035502948095588877,13.207483039629441,-8.037801697667568,independent cosine-only MPL fits,256.0,core_wsd,1,0,25,wsdld_20000_24000.csv,WSD linear,cosine_independent,1
0.9998554913294798,21,0.008591406057766149,91.46527274477788,2.0,0.0075821740623842615,68.97385772384801,-11.746994480252715,independent cosine-only MPL fits,130.0,core_wsd,1,0,25,wsdcon_3.csv,WSD-con 3e-5,cosine_independent,1
0.9998554913294798,21,0.006052212378600692,106.80840626460855,2.0,0.005267254164371999,79.98582517956044,-12.969773119729478,independent cosine-only MPL fits,130.0,core_wsd,1,0,25,wsdcon_9.csv,WSD-con 9e-5,cosine_independent,1
0.9998554913294798,21,0.004134387912738256,65.0573544757035,2.0,0.0036858403592527995,47.149970336264204,-10.849188875176885,independent cosine-only MPL fits,130.0,core_wsd,1,0,25,wsdcon_18.csv,WSD-con 18e-5,cosine_independent,1
0.0,21,0.005143481872344928,16.155324366443025,21840.0,0.005143481872344928,16.155324366443025,0.0,independent cosine-only MPL fits,256.0,extra_control,1,0,25,cosine_24000.csv,Cosine 24k,cosine_independent,0
1.0,21,0.0027829504099139567,-26.017231739081726,0.0,0.0027829504099139567,-26.017231739081726,0.0,independent cosine-only MPL fits,128.0,extra_control,1,0,25,constant_24000.csv,Constant 24k,cosine_independent,0
1.0,21,0.009323393150473466,490.27031703608924,0.0,0.009323393150473466,490.27031703608924,0.0,independent cosine-only MPL fits,128.0,extra_control,1,0,25,constant_72000.csv,Constant 72k,cosine_independent,0
0.8168498168498168,21,0.004344890305179187,15.923387235852783,4000.0,0.0037096290736746747,-1.025633007038096,-14.62088077913658,independent cosine-only MPL fits,256.0,core_wsd,1,0,100,wsd_20000_24000.csv,WSD sharp,cosine_independent,1
0.8168498168498168,21,0.0036178807709199698,11.37719628581988,4000.0,0.0031121022330180275,-4.19329900132449,-13.979967000773518,independent cosine-only MPL fits,256.0,core_wsd,1,0,100,wsdld_20000_24000.csv,WSD linear,cosine_independent,1
0.9998554913294798,21,0.007928074250295227,39.83974710097091,2.0,0.007014339960692616,23.722797644959414,-11.525299344523487,independent cosine-only MPL fits,130.0,core_wsd,1,0,100,wsdcon_3.csv,WSD-con 3e-5,cosine_independent,1
0.9998554913294798,21,0.0062566970131816045,26.791783347516418,2.0,0.005545622083695087,12.381870543147077,-11.365021000512332,independent cosine-only MPL fits,130.0,core_wsd,1,0,100,wsdcon_9.csv,WSD-con 9e-5,cosine_independent,1
0.9998554913294798,21,0.0026712241180200675,93.33714129153006,2.0,0.0022647845479968646,63.919967327748715,-15.215479947240784,independent cosine-only MPL fits,130.0,core_wsd,1,0,100,wsdcon_18.csv,WSD-con 18e-5,cosine_independent,1
0.0,21,0.003600787534433194,9.843528438132253,21840.0,0.003600787534433194,9.843528438132253,0.0,independent cosine-only MPL fits,256.0,extra_control,1,0,100,cosine_24000.csv,Cosine 24k,cosine_independent,0
1.0,21,0.0031561208930564913,70.72116757476685,0.0,0.0031561208930564913,70.72116757476685,0.0,independent cosine-only MPL fits,128.0,extra_control,1,0,100,constant_24000.csv,Constant 24k,cosine_independent,0
1.0,21,0.005553172100074478,16.268316468848077,0.0,0.005553172100074478,16.268316468848077,0.0,independent cosine-only MPL fits,128.0,extra_control,1,0,100,constant_72000.csv,Constant 72k,cosine_independent,0
0.8168498168498168,21,0.007276453411883992,54.75234138809677,4000.0,0.006323795753825737,34.49164640652267,-13.092335017253909,independent cosine-only MPL fits,256.0,core_wsd,1,0,400,wsd_20000_24000.csv,WSD sharp,cosine_independent,1
0.8168498168498168,21,0.006065618893503333,57.403143216356845,4000.0,0.005219189111768301,35.43824392145925,-13.954549347661994,independent cosine-only MPL fits,256.0,core_wsd,1,0,400,wsdld_20000_24000.csv,WSD linear,cosine_independent,1
0.9998554913294798,21,0.015378430871178581,88.14742729079703,2.0,0.014394940938005444,76.11491875706116,-6.39525541592374,independent cosine-only MPL fits,130.0,core_wsd,1,0,400,wsdcon_3.csv,WSD-con 3e-5,cosine_independent,1
0.9998554913294798,21,0.009032886016726277,35.07511172756801,2.0,0.008260192319938086,23.52047822155605,-8.554228353567028,independent cosine-only MPL fits,130.0,core_wsd,1,0,400,wsdcon_9.csv,WSD-con 9e-5,cosine_independent,1
0.9998554913294798,21,0.004868849724276598,90.34155245243845,2.0,0.0044241571091859526,72.95685431759014,-9.133422477045471,independent cosine-only MPL fits,130.0,core_wsd,1,0,400,wsdcon_18.csv,WSD-con 18e-5,cosine_independent,1
0.0,21,0.004080041878722079,-42.81363263271694,21840.0,0.004080041878722079,-42.81363263271694,0.0,independent cosine-only MPL fits,256.0,extra_control,1,0,400,cosine_24000.csv,Cosine 24k,cosine_independent,0
1.0,21,0.00429385526447914,155.61367932791336,0.0,0.00429385526447914,155.61367932791336,0.0,independent cosine-only MPL fits,128.0,extra_control,1,0,400,constant_24000.csv,Constant 24k,cosine_independent,0
1.0,21,0.005271487961028003,28.003237618300968,0.0,0.005271487961028003,28.003237618300968,0.0,independent cosine-only MPL fits,128.0,extra_control,1,0,400,constant_72000.csv,Constant 72k,cosine_independent,0
0.8168498168498168,17,0.004278987375746344,25.542927850143894,4000.0,0.003852142711921836,13.019560957902844,-9.975366280440545,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,core_wsd,1,0,25,wsd_20000_24000.csv,WSD sharp,median_beta_gamma_refit,1
0.8168498168498168,17,0.0038405995265785625,22.464366789070112,4000.0,0.0035364425119966945,12.76577782204873,-7.919519139576348,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,core_wsd,1,0,25,wsdld_20000_24000.csv,WSD linear,median_beta_gamma_refit,1
0.9998554913294798,17,0.008247039163009935,83.7908244664114,2.0,0.007362457892342781,64.07733483334826,-10.726046683938717,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,25,wsdcon_3.csv,WSD-con 3e-5,median_beta_gamma_refit,1
0.9998554913294798,17,0.00578549074055527,97.69433798182749,2.0,0.005097024821181964,74.16896731629723,-11.899870732611861,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,25,wsdcon_9.csv,WSD-con 9e-5,median_beta_gamma_refit,1
0.9998554913294798,17,0.003982017187437034,58.97425116063339,2.0,0.0035883643940994576,43.25843299802725,-9.885763290513195,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,25,wsdcon_18.csv,WSD-con 18e-5,median_beta_gamma_refit,1
0.0,17,0.005149958809674382,16.301593134385794,21840.0,0.005149958809674382,16.301593134385794,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,extra_control,1,0,25,cosine_24000.csv,Cosine 24k,median_beta_gamma_refit,0
1.0,17,0.002773714452978915,-26.26276312158816,0.0,0.002773714452978915,-26.26276312158816,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",128.0,extra_control,1,0,25,constant_24000.csv,Constant 24k,median_beta_gamma_refit,0
1.0,17,0.00931463596015523,489.7158934027548,0.0,0.00931463596015523,489.7158934027548,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",128.0,extra_control,1,0,25,constant_72000.csv,Constant 72k,median_beta_gamma_refit,0
0.8168498168498168,17,0.004345970719715853,15.952213121873381,4000.0,0.003710735927823068,-0.9961017017471763,-14.616637636581176,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,core_wsd,1,0,100,wsd_20000_24000.csv,WSD sharp,median_beta_gamma_refit,1
0.8168498168498168,17,0.003618984946281058,11.411188549167628,4000.0,0.003113243319081589,-4.1581704344845205,-13.97468170513334,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,core_wsd,1,0,100,wsdld_20000_24000.csv,WSD linear,median_beta_gamma_refit,1
0.9998554913294798,17,0.007928451919636035,39.84640864114311,2.0,0.007014717413970877,23.729455374101207,-11.52475306562879,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,100,wsdcon_3.csv,WSD-con 3e-5,median_beta_gamma_refit,1
