affine_lg_to_ours_l1,affine_lg_to_residual_l1,alpha_affine_lg_to_ours,alpha_affine_lg_to_residual,alpha_lg_to_ours,alpha_lg_to_residual,coef,intercept_lg_to_ours,intercept_lg_to_residual,lambda,lg_l1,lg_to_ours_affine_r2_centered,lg_to_ours_affine_r2_origin,lg_to_ours_affine_rel_rmse,lg_to_ours_pearson,lg_to_ours_r2_origin,lg_to_ours_rel_rmse,lg_to_residual_affine_r2_centered,lg_to_residual_affine_r2_origin,lg_to_residual_affine_rel_rmse,lg_to_residual_pearson,lg_to_residual_r2_origin,lg_to_residual_rel_rmse,locality_factor,oracle_affine_lg_delta_pct,oracle_scalar_lg_delta_pct,our_delta_pct,ours_l1,residual_l1,scalar_lg_to_ours_l1,scalar_lg_to_residual_l1,scale,target_curve,target_label
0.0013119683426297657,0.0027238195486505626,-0.10859820323879611,-0.10396152765376528,0.005741790273967099,0.019712039357876788,0.04738269271226069,0.011806623249882877,0.01277039788805489,9.026941864314445,0.09663746355155124,0.9241451829263162,0.9373507996486696,0.25029822282894937,-0.9613247021305111,0.033273349837961486,0.9832225842412481,0.6259728253618427,0.776237245470857,0.4730356799747171,-0.7911844445904145,0.20995804377488025,0.8888430436388193,0.8168498168498168,-55.85624874076531,-25.689693092486543,-37.122705245163836,0.0013119683426297663,0.003408385839825258,0.0005548720483211469,0.0019049214849735613,25,wsd_20000_24000.csv,WSD sharp
0.0009421959775185429,0.0024515292338146456,-0.11086695019478984,-0.10748452860425353,0.00477914934586304,0.019545354630676425,0.04738570411405721,0.011973968222732972,0.01315264233929341,9.026482506002322,0.09955956679941455,0.9760939223617571,0.9796649526339862,0.14260100759115898,-0.9879746567406257,0.04013557922027455,0.9797267071891659,0.529852721816432,0.7227229740440437,0.5265710075155641,-0.727909830828264,0.2688031715208188,0.855100478586687,0.8168498168498168,-53.504126521048676,-29.646419699623284,-29.810221525217518,0.0009361026889674286,0.0031360955249893426,0.00047581003854382987,0.0019459270399710764,25,wsdld_20000_24000.csv,WSD linear
0.0025429718975086097,0.002707161071483023,-0.04325050964895256,-0.05655983417487667,0.011623577768814541,0.008638481034973007,0.0186012135954047,0.005170912462338479,0.006143788380031023,18.05070782708191,0.06076091556284155,0.23352300144411153,0.4513197651454205,0.7407295288123591,-0.48324217680590686,0.03399170974269139,0.9828572074606304,0.16840267913409235,0.3010013191562222,0.8360614097324297,-0.4103689548858347,0.009296013552048232,0.9953411407391698,0.9998554913294798,-6.097441631129974,2.2654303402988685,-44.644714376645375,0.00254297189750861,0.004487187642230267,0.0007062592273490624,0.0005248820167572028,25,wsdcon_3.csv,WSD-con 3e-5
0.0007298980958714846,0.00014643057142969872,-0.00992647203341573,0.0025238152365151907,0.006269786708386499,-0.0011505778610025968,0.0186012135954047,0.0014295373864499682,-0.00032431454628829224,18.05070782708191,0.07048217012280603,0.02621349291278885,0.1251489109786924,0.9353347470404954,-0.1619058149443337,0.046636848168557066,0.9764031707401625,0.0005718722387031416,0.0021046900643140187,0.9989471006693428,0.023913850352943498,0.0005890708950265777,0.9997054211641415,0.9998554913294798,-1.018854413377146,-0.5041235441023417,-21.189609771527984,0.0007298980958714846,0.002926482771138891,0.00044190817341420506,8.109522453871926e-05,25,wsdcon_9.csv,WSD-con 9e-5
0.00023015574296662999,0.0014294984231228076,-0.0020929404501365866,-0.07034252299879752,0.002430825397307079,0.01048513377036647,0.0186012135954047,0.0004100852107687251,0.0073271313723842265,18.05070782708191,0.08596970247784781,0.0018014780954106469,0.05305738745997568,0.9731097638704609,-0.0424438228180565,0.04463857604214416,0.977425917375765,0.2474069452241866,0.3746535279614066,0.790788512839301,-0.49740018619235216,0.08844336852982893,0.9547547493834063,0.9998554913294798,-28.69652626172503,-6.616882175078354,-9.188518071663621,0.00023015574296662999,0.002504818961791151,0.00020897733618208575,0.0009014038306788399,25,wsdcon_18.csv,WSD-con 18e-5
0.0022557403057006996,0.0036481156798894927,-0.15391790026450985,-0.14490765059015873,0.008020795518354185,0.019772872968906723,0.08194692666912794,0.020198925504530448,0.02054091896526576,9.026941864314445,0.1165763382166347,0.9264600998319663,0.9391878420232377,0.24660121243976543,-0.9625279735321808,0.03181801363486514,0.9839623907269702,0.92074539617111,0.950889517299389,0.22160885068203173,-0.9595547906040124,0.16246825534185128,0.9151676046813221,0.8168498168498168,-74.28419547414474,-18.905181542753937,-55.89929293428361,0.0022557403057006974,0.0037480705220761528,0.0009350349711141254,0.002305049126737824,100,wsd_20000_24000.csv,WSD sharp
0.001612132400124858,0.003148358898478567,-0.15691487572920415,-0.14796800741973232,0.006711481912893348,0.019370833263083538,0.08195208763827826,0.020458093580989736,0.020922262841733052,9.026482506002322,0.12011991141325758,0.9775760522376828,0.9809060971450073,0.1381806891537044,-0.9887244571859657,0.038781427699869586,0.9804175499755858,0.9011192647118028,0.9415523693948203,0.2417594478095524,-0.9492730190581645,0.2324772403825902,0.8760837629002205,0.8168498168498168,-73.6839541348674,-24.65273522879662,-49.012976829847034,0.0016094926089754143,0.003248313740665229,0.0008061826128284295,0.0023268227755625774,100,wsdld_20000_24000.csv,WSD linear
0.003982394615872757,0.0025553307637649954,-0.04719429769853448,-0.011753528225121795,0.016224466141077486,0.01806042068792888,0.03271892621544682,0.007072669731375944,0.0033249499246532843,18.05070782708191,0.06547984112917839,0.14736585191749718,0.3675014875825834,0.7952977507936363,-0.3838826017384705,0.031293425088341875,0.9842289240373189,0.005736361435357162,0.08777538588772804,0.9551045042885474,-0.07573877101826576,0.030099108399924468,0.9848354642274392,0.9998554913294798,0.17800734012174413,-1.2295048748493076,-42.755876114388094,0.003982394615872762,0.0056693997340904675,0.0010623754653234882,0.00118259347737171,100,wsdcon_3.csv,WSD-con 3e-5
0.0011190062965515696,0.0035383561947896444,-0.009656477774114332,0.07611690797529011,0.008725591322351114,-0.004371824435376464,0.03271892621544682,0.0018831402888517766,-0.008245620991071163,18.05070782708191,0.07913175074545142,0.013347530140627506,0.10072112691741764,0.9483031546307238,-0.11553151146171112,0.043649546671028605,0.9779317222224523,0.30295407660881124,0.38855126367246706,0.7819518759665028,0.5504126421229903,0.0038524322464839056,0.9980719251404261,0.9998554913294798,-33.175944174410986,3.0998236411807545,-9.843911916094106,0.0011190062965515698,0.004934623402238123,0.0006904713176269623,0.00034595012152308427,100,wsdcon_9.csv,WSD-con 9e-5
0.00035283908461102817,0.0005667076580581522,-0.0011193900617364257,0.025675031745049755,0.0032542264694980405,0.0067475389221951405,0.03271892621544682,0.00046534784722561856,-0.002013863807124328,18.05070782708191,0.10050898829677295,0.0002791446911957207,0.04501985566999933,0.9772308551872483,-0.016707623744737447,0.0407106663069311,0.9794331695899773,0.1179985316326494,0.19606792919997962,0.8966225910604864,0.34350914344839384,0.13419182587178535,0.9304881375537328,0.9998554913294798,-14.27748332057629,-6.1945774878900295,-12.798603668230202,0.0003528390846110283,0.0013816404339982303,0.0003270790101378273,0.0006781883105629314,100,wsdcon_18.csv,WSD-con 18e-5
