count_lg_to_ours_affine_r2_gt_0p8,count_lg_to_ours_r2_gt_0p8,group,mean_lg_to_ours_affine_r2_centered,mean_lg_to_ours_r2_origin,mean_lg_to_residual_affine_r2_centered,mean_lg_to_residual_r2_origin,mean_oracle_affine_lg_delta_pct,mean_oracle_scalar_lg_delta_pct,mean_our_delta_pct,median_lg_to_ours_affine_r2_centered,median_lg_to_ours_r2_origin,rows
6,0,all_core,0.41856175176886296,0.03862666319976723,0.38730252010173244,0.0887368616612395,-35.27851686393833,-8.906892578100098,-29.882209629923036,0.14736585191749718,0.039333510428663065,15
6,0,wsd_final,0.9507943058054561,0.03605804763798657,0.7969823163494064,0.14614671700801066,-66.70659029677238,-17.795683936678927,-43.00210695030611,0.9512770110968617,0.036027388768915536,6
0,0,wsdcon,0.06374004907780083,0.04033907357428766,0.11418265593661633,0.05046362476339204,-14.326467908715635,-2.9810316723808765,-21.135611416334328,0.013347530140627506,0.04141339711172187,9
