scale,split,model,curve,mae,rmse,mape,r2,huber_log
100,train,tissue,cosine_24000.csv,0.0006296381193235867,0.0009878556840898828,0.00019322952203660798,0.9999667917017383,6.9878327381068754e-06
100,train,mpl,cosine_24000.csv,0.003600787534433194,0.005248730581133779,0.0011773391573490664,0.9990625066915162,0.00014291228041576705
100,train,tissue,cosine_72000.csv,0.001687041143591573,0.001925397772077209,0.0005639971767740775,0.9998342308127657,0.00011223647792172405
100,train,mpl,cosine_72000.csv,0.002630746424317786,0.003266951676423421,0.0008909937097822158,0.9995227474039707,0.0002767270037862459
100,test,tissue,wsd_20000_24000.csv,0.004357768674358028,0.006526204991148711,0.0014178097979055597,0.9983788791641722,0.00017646024754269888
100,test,mpl,wsd_20000_24000.csv,0.004344890305179187,0.006149189061660322,0.0014173270363551202,0.9985607718079217,0.00017423907012273915
100,test,tissue,wsdld_20000_24000.csv,0.004224723189446006,0.005956449458405873,0.0013707501206002587,0.9986013665211655,0.00016843015970222054
100,test,mpl,wsdld_20000_24000.csv,0.0036178807709199698,0.005004856532130856,0.0011724485318366192,0.9990125564831049,0.00013310863055323
100,test,tissue,wsdcon_3.csv,0.00833977466827742,0.011247130351107379,0.00267237357491122,0.995653407224884,0.0002475557020681689
100,test,mpl,wsdcon_3.csv,0.007928074250295227,0.01505807907877861,0.0025192695896073887,0.9922087947794017,0.00023544933567688303
100,test,tissue,wsdcon_9.csv,0.003688328269825792,0.007840701716209144,0.0011637852286132291,0.997923441169688,8.943705404151901e-05
100,test,mpl,wsdcon_9.csv,0.0062566970131816045,0.009967524761426176,0.0019957171261506955,0.9966440999214609,0.00017696056810699085
100,test,tissue,wsdcon_18.csv,0.0036823418244292102,0.005879146738949564,0.0011604328418837026,0.9987200831241143,8.382579000361064e-05
100,test,mpl,wsdcon_18.csv,0.0026712241180200675,0.0045806096409391475,0.0008347658905642322,0.9992230380852017,5.190394414947021e-05
