base_mae,config_id,corr_mae,delta_pct,extra_center,extra_tau,extra_time_power,extra_width,route,scale,shrink_gates,target_retention,test_curve,test_label,win
0.002926482771138891,6,0.0022806041551957533,-22.070132184368983,0.1,0.03,0.0,0.03,ratio_0.3_two_gate,25,0,0.6553778115002425,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,6,0.00435705968622622,-11.704311938980915,0.1,0.03,0.0,0.03,ratio_0.3_two_gate,100,0,0.6759627858156662,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,6,0.005434371760465509,-18.736008474503606,0.1,0.03,0.0,0.03,ratio_0.3_two_gate,400,0,0.6802502318999833,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,7,0.002276994540069661,-22.193475303340684,0.1,0.03,0.0,0.03,ratio_0.3_two_gate,25,1,0.6557160849802331,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,7,0.004352549022730227,-11.795720403787913,0.1,0.03,0.0,0.03,ratio_0.3_two_gate,100,1,0.6759867897483159,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,7,0.005441532633127877,-18.62892689801241,0.1,0.03,0.0,0.03,ratio_0.3_two_gate,400,1,0.6824853778787913,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,8,0.002276855087778599,-22.198240487418897,0.1,0.1,0.0,0.03,ratio_0.3_two_gate,25,0,0.654607640499499,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,8,0.004352887991064184,-11.788851220340145,0.1,0.1,0.0,0.03,ratio_0.3_two_gate,100,0,0.6751106047976431,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,8,0.0054384656295541995,-18.674789964325466,0.1,0.1,0.0,0.03,ratio_0.3_two_gate,400,0,0.6812642825710777,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,16,0.0022783279293176863,-22.147912443337702,0.1,0.03,1.0,0.03,ratio_0.3_two_gate,25,0,0.655344575801804,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,16,0.004354222425864014,-11.761808937858675,0.1,0.03,1.0,0.03,ratio_0.3_two_gate,100,0,0.6757611131181234,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,16,0.005437309683477098,-18.692075640822026,0.1,0.03,1.0,0.03,ratio_0.3_two_gate,400,0,0.6811711533166909,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,17,0.0022761239128983313,-22.22322525368776,0.1,0.03,1.0,0.03,ratio_0.3_two_gate,25,1,0.6556904365671266,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,17,0.004351582125282412,-11.81531455249999,0.1,0.03,1.0,0.03,ratio_0.3_two_gate,100,1,0.6757827519210775,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,17,0.005450410883075064,-18.49616416843286,0.1,0.03,1.0,0.03,ratio_0.3_two_gate,400,1,0.6834799418638414,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,18,0.0022765632675183383,-22.20821219349346,0.1,0.1,1.0,0.03,ratio_0.3_two_gate,25,0,0.6545969607971679,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,18,0.004352528014821025,-11.796146128458062,0.1,0.1,1.0,0.03,ratio_0.3_two_gate,100,0,0.6750794958777293,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,18,0.005438837192274057,-18.669233725067535,0.1,0.1,1.0,0.03,ratio_0.3_two_gate,400,0,0.6813828771653837,wsdcon_9.csv,WSD-con 9e-5,1
