config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
459,0.2,0.1,0.0,0.1,-37.87490757649119,-40.477293275340145,15,15,1,-17.515913703010238,-11.766129562904803,15,-11.766129562904803
364,0.2,0.01,0.0,0.03,-37.87467757136415,-40.477293275340145,15,15,0,-17.51476367737504,-11.736178999440405,15,-11.736178999440405
901,0.4,0.001,0.0,0.03,-37.87465091725092,-40.477293275340145,15,15,1,-17.51463040680886,-11.820522935666533,15,-11.820522935666533
628,0.25,0.1,2.0,0.08,-37.874593770465,-40.477293275340145,15,15,0,-17.514344672879265,-11.704287902862465,15,-11.704287902862465
903,0.4,0.003,0.0,0.03,-37.87447644528256,-40.477293275340145,15,15,1,-17.513758046967112,-11.820413768970928,15,-11.820413768970928
558,0.25,0.1,1.0,0.03,-37.87419010917243,-40.477293275340145,15,15,0,-17.51232636641644,-11.738908124685409,15,-11.738908124685409
17,0.1,0.03,1.0,0.03,-37.87403843419718,-40.477293275340145,15,15,1,-17.511567991540204,-11.81531455249999,15,-11.81531455249999
218,0.15,0.1,0.0,0.05,-37.87402358258033,-40.477293275340145,15,15,0,-17.511493733455968,-11.726276361391585,15,-11.726276361391585
589,0.25,0.1,1.0,0.05,-37.87384565354143,-40.477293275340145,15,15,1,-17.51060408826146,-11.795051831970893,15,-11.795051831970893
1078,0.4,0.1,2.0,0.25,-37.87384194008514,-40.477293275340145,15,15,0,-17.510585520979998,-11.64412385445095,15,-11.64412385445095
659,0.25,0.1,2.0,0.1,-37.87336335110131,-40.477293275340145,15,15,1,-17.50819257606091,-11.814114275430255,15,-11.814114275430255
629,0.25,0.1,2.0,0.08,-37.873157480083364,-40.477293275340145,15,15,1,-17.50716322097111,-11.814183866189165,15,-11.814183866189165
1018,0.4,0.1,2.0,0.1,-37.873107585465796,-40.477293275340145,15,15,0,-17.50691374788327,-11.646601142576497,15,-11.646601142576497
679,0.25,0.1,1.0,0.15,-37.87306368140614,-40.477293275340145,15,15,1,-17.506694227584955,-11.690845183737974,15,-11.690845183737974
911,0.4,0.001,1.0,0.03,-37.87278764823709,-40.477293275340145,15,15,1,-17.505314061739764,-11.821069950461494,15,-11.821069950461494
348,0.15,0.1,1.0,0.25,-37.87274012174682,-40.477293275340145,15,15,0,-17.50507642928842,-11.648531817427354,15,-11.648531817427354
905,0.4,0.01,0.0,0.03,-37.8727007403546,-40.477293275340145,15,15,1,-17.504879522327343,-11.819302713932345,15,-11.819302713932345
689,0.25,0.1,2.0,0.15,-37.872651844110806,-40.477293275340145,15,15,1,-17.504635041108347,-11.813447361080021,15,-11.813447361080021
