base_gate_coef,config_id,curvature_coef,extra_center,extra_gate_coef,extra_tau,extra_time_power,extra_width,primary_coef,primary_retention,primary_scale,scale,shrink_gates
0.025374067018312605,6,0.0,0.1,-0.038575950222810414,0.03,0.0,0.03,0.023832741544220933,0.02246245799217717,0.7407407407407407,25,0
0.03242917686931608,6,0.005784568894384726,0.1,-0.05040237899977953,0.03,0.0,0.03,0.030775280010502937,0.02246245799217717,0.7407407407407407,100,0
0.05092197843514142,6,0.051044174144195896,0.1,-0.05932866779839322,0.03,0.0,0.03,0.05214224453737732,0.02256683658042501,0.7407407407407407,400,0
0.018795605198750075,7,0.0,0.1,-0.028574777942822528,0.03,0.0,0.03,0.023832741544220933,0.02246245799217717,0.7407407407407407,25,1
0.02402161249578969,7,0.005784568894384726,0.1,-0.03733509555539224,0.03,0.0,0.03,0.030775280010502937,0.02246245799217717,0.7407407407407407,100,1
0.03771998402603068,7,0.051044174144195896,0.1,-0.043947161332143124,0.03,0.0,0.03,0.05214224453737732,0.02256683658042501,0.7407407407407407,400,1
0.03902605552131459,8,0.0,0.1,-0.004722362783493984,0.1,0.0,0.03,0.022463966794164163,0.02246245799217717,0.7407407407407407,25,0
0.05026652407429591,8,0.005755825842073296,0.1,-0.0061701219613103315,0.1,0.0,0.03,0.028986873004155544,0.02246245799217717,0.7407407407407407,100,0
0.07188467182153796,8,0.05101099908175612,0.1,-0.007271821562474995,0.1,0.0,0.03,0.050009877923374926,0.02256683658042501,0.7407407407407407,400,0
0.02570778098844951,16,0.0,0.1,-0.03953949045218453,0.03,1.0,0.03,0.023533249198922603,0.02246245799217717,0.7407407407407407,25,0
0.03262765105888629,16,0.005792336570790643,0.1,-0.052278329074874126,0.03,1.0,0.03,0.03040363637241584,0.02246245799217717,0.7407407407407407,100,0
0.05097083928015498,16,0.05105359505814176,0.1,-0.06202675025751609,0.03,1.0,0.03,0.05171852786752662,0.02256683658042501,0.7407407407407407,400,0
0.019042800732184822,17,0.0,0.1,-0.029288511446062614,0.03,1.0,0.03,0.023533249198922603,0.02246245799217717,0.7407407407407407,25,1
0.024168630413989846,17,0.005792336570790643,0.1,-0.03872468820361046,0.03,1.0,0.03,0.03040363637241584,0.02246245799217717,0.7407407407407407,100,1
0.03775617724455924,17,0.05105359505814176,0.1,-0.045945740931493395,0.03,1.0,0.03,0.05171852786752662,0.02256683658042501,0.7407407407407407,400,1
0.03916736603050606,18,0.0,0.1,-0.004579385411388156,0.1,1.0,0.03,0.022418987252401323,0.02246245799217717,0.7407407407407407,25,0
0.050423644505502074,18,0.005756509336526684,0.1,-0.006054772406248958,0.1,1.0,0.03,0.02893038148581891,0.02246245799217717,0.7407407407407407,100,0
