mean_delta,nonharm,rows,target_curve,target_label,wins,worst_delta
-35.014117827481364,3,3,cosine_72000.csv,Cosine,3,-23.654066381177863
-48.65726802942162,3,3,wsd_20000_24000.csv,WSD sharp,3,-35.02855283803853
-41.370510844146125,3,3,wsdld_20000_24000.csv,WSD linear,3,-29.137931880064784
-53.14850426136252,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-47.31021639725243
-14.968737596838116,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-7.348792752078259
-9.354189465422474,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-6.460721805621095
