base_mae,corr_mae,delta_pct,description,geometry_tau,kappa,model,nonharm,nuisance,route,scale,source_kappa,target_curve,target_label,variant,win
0.00744534704076948,0.005684219709436806,-23.654066381177863,baseline formula,8192.0,0.017756741800537497,residualized,1,dct4,smooth_decay,25,0.017756741800537497,cosine_72000.csv,Cosine,baseline,1
0.007265129575917493,0.00445710045181672,-38.650778279424635,baseline formula,8192.0,0.02832918972515193,residualized,1,dct4,smooth_decay,100,0.02832918972515193,cosine_72000.csv,Cosine,baseline,1
0.005612615040270773,0.0032139231922990426,-42.73750882184161,baseline formula,8192.0,0.04583514445743976,residualized,1,dct4,smooth_decay,400,0.04583514445743976,cosine_72000.csv,Cosine,baseline,1
0.003408385839825258,0.0020137281104399595,-40.918422823186006,baseline formula,4998.75,0.017772423844906595,residualized,1,none,finite_tail,25,0.017772423844906595,wsd_20000_24000.csv,WSD sharp,baseline,1
0.0037480705220761528,0.0015318310132634175,-59.130144317164635,baseline formula,4998.75,0.02739799774299689,residualized,1,none,finite_tail,100,0.02739799774299689,wsd_20000_24000.csv,WSD sharp,baseline,1
0.004701998914275349,0.001743426156472187,-62.921595937014885,baseline formula,4998.75,0.035615078964422314,residualized,1,none,finite_tail,400,0.035615078964422314,wsd_20000_24000.csv,WSD sharp,baseline,1
0.0031360955249893426,0.002070372845202292,-33.982468687418965,baseline formula,4998.75,0.017418690170498186,residualized,1,none,finite_tail,25,0.017418690170498186,wsdld_20000_24000.csv,WSD linear,baseline,1
0.003248313740665229,0.0015768127282992314,-51.457499053760955,baseline formula,4998.75,0.027549774175833316,residualized,1,none,finite_tail,100,0.027549774175833316,wsdld_20000_24000.csv,WSD linear,baseline,1
0.0038535563963712593,0.001748621174844022,-54.62318453440492,baseline formula,4998.75,0.03719743441702377,residualized,1,none,finite_tail,400,0.03719743441702377,wsdld_20000_24000.csv,WSD linear,baseline,1
0.004487187642230267,0.002100257168326793,-53.19435388525668,baseline formula,1535.9999999999993,0.025483621345232913,residualized,1,dct2,full_step_drop,25,0.025483621345232913,wsdcon_3.csv,WSD-con 3e-5,baseline,1
0.0056693997340904675,0.0029871944514670134,-47.31021639725243,baseline formula,1535.9999999999993,0.037278701658680594,residualized,1,dct2,full_step_drop,100,0.037278701658680594,wsdcon_3.csv,WSD-con 3e-5,baseline,1
0.008173606778800102,0.0033560059070024163,-58.94094250157844,baseline formula,1535.9999999999993,0.06494081529428139,residualized,1,dct2,full_step_drop,400,0.06494081529428139,wsdcon_3.csv,WSD-con 3e-5,baseline,1
0.002926482771138891,0.0021524952759367348,-26.44770380455531,baseline formula,733.1839999999999,0.02177060951884738,residualized,1,dct2,medium_step_drop,25,0.02177060951884738,wsdcon_9.csv,WSD-con 9e-5,baseline,1
0.004934623402238123,0.004471700659171913,-9.381115950130036,baseline formula,733.1839999999999,0.02642394262528673,residualized,1,dct2,medium_step_drop,100,0.02642394262528673,wsdcon_9.csv,WSD-con 9e-5,baseline,1
0.006687305974578527,0.005880035333500985,-12.071686926638957,baseline formula,733.1839999999999,0.03886987705273197,residualized,1,dct2,medium_step_drop,400,0.03886987705273197,wsdcon_9.csv,WSD-con 9e-5,baseline,1
0.002504818961791151,0.00209613761197458,-16.315803898431447,baseline formula,512.0,0.02147010144323278,residualized,1,none,weak_step_drop,25,0.02147010144323278,wsdcon_18.csv,WSD-con 18e-5,baseline,1
0.0013816404339982303,0.0012184901180827513,-11.808449716787027,baseline formula,512.0,0.024039524082155365,residualized,1,none,weak_step_drop,100,0.024039524082155365,wsdcon_18.csv,WSD-con 18e-5,baseline,1
0.0025579541942073844,0.002378104999390537,-7.030977928538551,baseline formula,512.0,0.039003369467519484,residualized,1,none,weak_step_drop,400,0.039003369467519484,wsdcon_18.csv,WSD-con 18e-5,baseline,1
0.00744534704076948,0.005684219709436806,-23.654066381177863,tail response coefficient -10%,8192.0,0.017756741800537497,residualized,1,dct4,smooth_decay,25,0.017756741800537497,cosine_72000.csv,Cosine,tail_x0.9,1
0.007265129575917493,0.00445710045181672,-38.650778279424635,tail response coefficient -10%,8192.0,0.02832918972515193,residualized,1,dct4,smooth_decay,100,0.02832918972515193,cosine_72000.csv,Cosine,tail_x0.9,1
0.005612615040270773,0.0032139231922990426,-42.73750882184161,tail response coefficient -10%,8192.0,0.04583514445743976,residualized,1,dct4,smooth_decay,400,0.04583514445743976,cosine_72000.csv,Cosine,tail_x0.9,1
0.003408385839825258,0.002005256657081139,-41.16697019302412,tail response coefficient -10%,4498.875,0.018294801542190344,residualized,1,none,finite_tail,25,0.018294801542190344,wsd_20000_24000.csv,WSD sharp,tail_x0.9,1
0.0037480705220761528,0.0015347251157728137,-59.05292852060078,tail response coefficient -10%,4498.875,0.028194538050477665,residualized,1,none,finite_tail,100,0.028194538050477665,wsd_20000_24000.csv,WSD sharp,tail_x0.9,1
0.004701998914275349,0.0017592248282542956,-62.58559688490657,tail response coefficient -10%,4498.875,0.03663280827543773,residualized,1,none,finite_tail,400,0.03663280827543773,wsd_20000_24000.csv,WSD sharp,tail_x0.9,1
0.0031360955249893426,0.002063796441902613,-34.192169037656264,tail response coefficient -10%,4498.875,0.017982534574640423,residualized,1,none,finite_tail,25,0.017982534574640423,wsdld_20000_24000.csv,WSD linear,tail_x0.9,1
0.003248313740665229,0.0015694364410646442,-51.68457955840078,tail response coefficient -10%,4498.875,0.028437621375823577,residualized,1,none,finite_tail,100,0.028437621375823577,wsdld_20000_24000.csv,WSD linear,tail_x0.9,1
0.0038535563963712593,0.0017636602374811606,-54.232920033506474,tail response coefficient -10%,4498.875,0.03838429561181431,residualized,1,none,finite_tail,400,0.03838429561181431,wsdld_20000_24000.csv,WSD linear,tail_x0.9,1
0.004487187642230267,0.002100257168326793,-53.19435388525668,tail response coefficient -10%,1535.9999999999993,0.025483621345232913,residualized,1,dct2,full_step_drop,25,0.025483621345232913,wsdcon_3.csv,WSD-con 3e-5,tail_x0.9,1
0.0056693997340904675,0.0029871944514670134,-47.31021639725243,tail response coefficient -10%,1535.9999999999993,0.037278701658680594,residualized,1,dct2,full_step_drop,100,0.037278701658680594,wsdcon_3.csv,WSD-con 3e-5,tail_x0.9,1
0.008173606778800102,0.0033560059070024163,-58.94094250157844,tail response coefficient -10%,1535.9999999999993,0.06494081529428139,residualized,1,dct2,full_step_drop,400,0.06494081529428139,wsdcon_3.csv,WSD-con 3e-5,tail_x0.9,1
0.002926482771138891,0.0021524952759367348,-26.44770380455531,tail response coefficient -10%,733.1839999999999,0.02177060951884738,residualized,1,dct2,medium_step_drop,25,0.02177060951884738,wsdcon_9.csv,WSD-con 9e-5,tail_x0.9,1
0.004934623402238123,0.004471700659171913,-9.381115950130036,tail response coefficient -10%,733.1839999999999,0.02642394262528673,residualized,1,dct2,medium_step_drop,100,0.02642394262528673,wsdcon_9.csv,WSD-con 9e-5,tail_x0.9,1
0.006687305974578527,0.005880035333500985,-12.071686926638957,tail response coefficient -10%,733.1839999999999,0.03886987705273197,residualized,1,dct2,medium_step_drop,400,0.03886987705273197,wsdcon_9.csv,WSD-con 9e-5,tail_x0.9,1
