dct_performance_coef,dct_performance_delta_pct,dct_performance_lambda,dct_performance_locality_factor,dct_performance_mae,dct_performance_max_abs_error,dct_performance_signed_mean_error,group,mpl_mae,observation_bracket_coef,observation_bracket_delta_pct,observation_bracket_lambda,observation_bracket_locality_factor,observation_bracket_mae,observation_bracket_max_abs_error,observation_bracket_signed_mean_error,old_mpl_ld_coef,old_mpl_ld_delta_pct,old_mpl_ld_lambda,old_mpl_ld_locality_factor,old_mpl_ld_mae,old_mpl_ld_max_abs_error,old_mpl_ld_signed_mean_error,scale,test_curve,test_label
0.04192488930132332,-39.347184548198214,7.2284552974545955,0.8168498168498168,0.002067281973314558,0.008237525381450617,0.0013440552841913309,core_wsd,0.003408385839825258,0.04735528061043357,-37.09506141096569,9.031125300869606,0.8168498168498168,0.0021440430194194196,0.008237525381450617,0.0014131021687420928,0.05059367388558115,-37.20174355151268,7.2284552974545955,0.8168498168498168,0.002140406880447394,0.008237525381450617,0.0010587622426357873,25,wsd_20000_24000.csv,WSD sharp
0.041928432867079216,-30.834607740778964,7.223478858982098,0.8168498168498168,0.0021690927714827562,0.008237525381450617,0.001481251889076567,core_wsd,0.0031360955249893426,0.04737830779412671,-29.80374496110657,9.02761081624502,0.8168498168498168,0.002201421612984843,0.008237525381450617,0.001515658145386068,0.05063426452557229,-33.798683795450216,7.223478858982098,0.8168498168498168,0.0020761365149749304,0.008237525381450617,0.00127978785506132,25,wsdld_20000_24000.csv,WSD linear
0.030435154786451212,-57.09099388379181,20.0,0.9998554913294798,0.0019254076198503237,0.018419384478098433,-0.0011021120243563287,core_wsd,0.004487187642230267,0.0186012135954047,-44.644714376645375,18.05070782708191,0.9998554913294798,0.0024838955358124364,0.008237525381450617,0.00016418917397442137,0.012938400168924617,-31.08624992582383,20.0,0.9998554913294798,0.003092289277125885,0.011577847621838444,0.0010877870281274498,25,wsdcon_3.csv,WSD-con 3e-5
0.030435154786451212,-20.025380537218684,20.0,0.9998554913294798,0.0023404434598621854,0.012266606257528068,-0.0012360374600156002,core_wsd,0.002926482771138891,0.0186012135954047,-21.189609771527984,18.05070782708191,0.9998554913294798,0.0023063724919035614,0.008237525381450617,-0.0008763286673011861,0.012938400168924617,-15.488440692141713,20.0,0.9998554913294798,0.0024732162227652983,0.008237525381450617,-0.0006096373482724135,25,wsdcon_9.csv,WSD-con 9e-5
0.030435154786451212,-12.43656236521431,20.0,0.9998554913294798,0.002193305589472281,0.008237525381450617,0.0009327791852995763,core_wsd,0.002504818961791151,0.0186012135954047,-9.188518071663621,18.05070782708191,0.9998554913294798,0.0022746632188245137,0.008237525381450617,0.0010496498556697986,0.012938400168924617,-5.889673959109243,20.0,0.9998554913294798,0.002357293291675707,0.008237525381450617,0.001132279928520992,25,wsdcon_18.csv,WSD-con 18e-5
0.041930053082818906,0.0,7.221202285244404,0.0,0.004428106847791531,0.04095318678730919,-0.002122886780339646,extra_control,0.004428106847791531,0.04738884761837541,0.0,9.02600304324791,0.0,0.004428106847791531,0.04095318678730919,-0.002122886780339646,0.05065284857148995,0.0,7.221202285244404,0.0,0.004428106847791531,0.04095318678730919,-0.002122886780339646,25,cosine_24000.csv,Cosine 24k
0.041930707082963425,0.0,7.220283130832764,0.0,0.003761619732988638,0.03693752538145034,0.003761619732988638,extra_control,0.003761619732988638,0.047393104006591434,0.0,9.025353913540956,0.0,0.003761619732988638,0.03693752538145034,0.003761619732988638,0.050660354454602624,0.0,7.220283130832764,0.0,0.003761619732988638,0.03693752538145034,0.003761619732988638,25,constant_24000.csv,Constant 24k
0.041930707082963425,0.0,7.220283130832764,0.0,0.0015795124507172926,0.008237525381450617,-1.982935501194628e-05,extra_control,0.0015795124507172926,0.047393104006591434,0.0,9.025353913540956,0.0,0.0015795124507172926,0.008237525381450617,-1.982935501194628e-05,0.050660354454602624,0.0,7.220283130832764,0.0,0.0015795124507172926,0.008237525381450617,-1.982935501194628e-05,25,constant_72000.csv,Constant 72k
0.05858811366379673,-50.871176427836005,7.2284552974545955,0.8168498168498168,0.0018413829541510788,0.005072973556530247,0.0017312340540433743,core_wsd,0.0037480705220761528,0.08189994784284672,-55.87475861704457,9.031125300869606,0.8168498168498168,0.0016538451650695,0.005072973556530247,0.001394514403844302,0.08711343341554592,-47.21514734570904,7.2284552974545955,0.8168498168498168,0.001978413502456811,0.005072973556530247,0.0007979447247898636,100,wsd_20000_24000.csv,WSD sharp
0.05859225603181786,-41.49753718953897,7.223478858982098,0.8168498168498168,0.001900343538099771,0.005072973556530247,0.0018003886959131082,core_wsd,0.003248313740665229,0.08193941176606288,-49.00506496490684,9.02761081624502,0.8168498168498168,0.001656475481788238,0.005072973556530247,0.0015392622183451451,0.0871830494620756,-48.60682584400784,7.223478858982098,0.8168498168498168,0.0016694115378731048,0.005072973556530247,0.001142630483108275,100,wsdld_20000_24000.csv,WSD linear
0.04304751774595571,-41.413603368298254,20.0,0.9998554913294798,0.003321497014850885,0.03272021077019094,-0.0022139966919276634,core_wsd,0.0056693997340904675,0.03271892621544682,-42.755876114388094,18.05070782708191,0.9998554913294798,0.003245398207353299,0.023425821706660077,-0.001427063852107758,0.022826637792579752,-31.970231611357157,20.0,0.9998554913294798,0.003856879508128078,0.014524048695383485,2.6318266742897082e-05,100,wsdcon_3.csv,WSD-con 3e-5
0.04304751774595571,-5.300377471151208,20.0,0.9998554913294798,0.004673069735139738,0.023656940130309945,-0.003565569412216517,core_wsd,0.004934623402238123,0.03271892621544682,-9.843911916094106,18.05070782708191,0.9998554913294798,0.004448863421130836,0.01642797085867498,-0.0033413630982076148,0.022826637792579752,-8.95392908372562,20.0,0.9998554913294798,0.004492780722252793,0.01075303899720037,-0.00293461686553789,100,wsdcon_9.csv,WSD-con 9e-5
