base_mae,corr_mae,delta_pct,route,route_config_id,scale,test_curve,test_label,win
0.003408385839825258,0.002028763507484023,-40.477293275340145,joint,joint,25,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0020975123081057234,-33.11707850120887,joint,joint,25,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.001818586122884832,-59.471582918227604,ratio_0.1,790,25,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.002276332116425106,-22.216110790933087,ratio_0.3,23,25,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0021976324719982804,-12.263820039640983,ratio_0.6,202,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0015664111728033144,-58.20753202008486,joint,joint,100,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0016025684965202782,-50.664602484115804,joint,joint,100,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.0028964198255795152,-48.91134932393009,ratio_0.1,790,100,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004352306065798366,-11.80064391895933,ratio_0.3,23,100,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0011873990242967953,-14.058752546734155,ratio_0.6,202,100,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0016880716653619192,-64.09885037963525,joint,joint,400,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0017262912135956674,-55.20264825444758,joint,joint,400,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.0028264147339602157,-65.42022621774402,ratio_0.1,790,400,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.005439037502183149,-18.66623834980201,ratio_0.3,23,400,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.002207971407773004,-13.682136577227766,ratio_0.6,202,400,wsdcon_18.csv,WSD-con 18e-5,1
