center,config_id,gate_sign,gate_tau,mean_delta,median_delta,nonharm,rows,shrink_gate,target,time_power,width,wins,worst_delta
0.5,806,signed,0.003,-57.708621221517625,-59.092286792145565,3,3,1,wsdcon_3.csv,1.0,0.1,3,-49.156989931092134
0.5,807,signed,0.003,-57.70485149007438,-59.08793664023753,3,3,0,wsdcon_3.csv,1.0,0.1,3,-49.15698791408162
0.2,158,signed,0.1,-57.69804036297296,-59.653870407828094,3,3,1,wsdcon_3.csv,1.0,0.15,3,-47.439731406063125
0.4,531,signed,0.01,-57.69339282687681,-59.63862036780273,3,3,0,wsdcon_3.csv,2.0,0.05,3,-47.57928958150863
0.2,23,signed,0.001,-17.560997686564807,-18.66623834980201,3,3,0,wsdcon_9.csv,1.0,0.05,3,-11.80064391895933
0.2,27,signed,0.003,-17.559047769812455,-18.66885577235261,3,3,0,wsdcon_9.csv,1.0,0.05,3,-11.797014374541225
0.2,31,signed,0.01,-17.538633083764214,-18.696257511793057,3,3,0,wsdcon_9.csv,1.0,0.05,3,-11.759015403496864
0.2,2,signed,0.001,-17.496060948292847,-18.71293628987505,3,3,1,wsdcon_9.csv,0.0,0.05,3,-11.706361339257654
0.2,6,signed,0.003,-17.49512605499751,-18.71436544509274,3,3,1,wsdcon_9.csv,0.0,0.05,3,-11.704506458753283
0.2,51,signed,0.01,-17.48641773980782,-18.320051654234494,3,3,0,wsdcon_9.csv,2.0,0.05,3,-11.80343749520516
0.2,10,signed,0.01,-17.485034476000102,-18.72979219653459,3,3,1,wsdcon_9.csv,0.0,0.05,3,-11.6844842337675
0.2,30,signed,0.01,-17.480217697204633,-18.37274564686362,3,3,1,wsdcon_9.csv,1.0,0.05,3,-11.80756647979444
0.2,34,signed,0.03,-17.47301731166604,-18.744204484580063,3,3,1,wsdcon_9.csv,1.0,0.05,3,-11.653897427837823
0.2,54,signed,0.03,-17.456304361328275,-18.748230093138872,3,3,1,wsdcon_9.csv,2.0,0.05,3,-11.628590455941268
0.2,55,signed,0.03,-17.435007510843985,-18.783399175650562,3,3,0,wsdcon_9.csv,2.0,0.05,3,-11.577407161487042
0.2,26,signed,0.003,-17.427076008199645,-18.198053331915354,3,3,1,wsdcon_9.csv,1.0,0.05,3,-11.808812145838854
0.2,22,signed,0.001,-17.421999880493544,-18.18136666844158,3,3,1,wsdcon_9.csv,1.0,0.05,3,-11.808931128014555
0.2,35,signed,0.03,-17.415978643263337,-18.792448218312195,3,3,0,wsdcon_9.csv,1.0,0.05,3,-11.545967898777365
0.2,14,signed,0.03,-17.404166505745042,-18.777388675121685,3,3,1,wsdcon_9.csv,0.0,0.05,3,-11.546609391401152
0.2,47,signed,0.003,-17.402597720992173,-18.03533896801335,3,3,0,wsdcon_9.csv,2.0,0.05,3,-11.804900882503366
0.2,43,signed,0.001,-17.39420943366902,-18.00684672505547,3,3,0,wsdcon_9.csv,2.0,0.05,3,-11.805047314450457
0.2,50,signed,0.01,-17.36781553053687,-18.00319933217247,3,3,1,wsdcon_9.csv,2.0,0.05,3,-11.798463131118641
0.2,3,signed,0.001,-17.288734081246815,-18.800608468010893,3,3,0,wsdcon_9.csv,0.0,0.05,3,-11.339990570488867
0.2,7,signed,0.003,-17.287830698395172,-18.800503031166738,3,3,0,wsdcon_9.csv,0.0,0.05,3,-11.33827907702174
0.2,11,signed,0.01,-17.278079270934224,-18.799364912672345,3,3,0,wsdcon_9.csv,0.0,0.05,3,-11.319804621556917
0.2,46,signed,0.003,-17.24509635717973,-17.678641396554916,3,3,1,wsdcon_9.csv,2.0,0.05,3,-11.727343930802792
0.2,42,signed,0.001,-17.231544020868906,-17.646161693320263,3,3,1,wsdcon_9.csv,2.0,0.05,3,-11.716412910675366
0.2,15,signed,0.03,-17.21326891690666,-18.792613894899535,3,3,0,wsdcon_9.csv,0.0,0.05,3,-11.189317748400518
0.2,38,signed,0.1,-17.136392889388606,-18.77674743154254,3,3,1,wsdcon_9.csv,1.0,0.05,3,-11.044840090242225
0.2,18,signed,0.1,-17.13316295031355,-18.776512344796547,3,3,1,wsdcon_9.csv,0.0,0.05,3,-11.037505986826668
0.2,58,signed,0.1,-17.10719242307967,-18.775940394963254,3,3,1,wsdcon_9.csv,2.0,0.05,3,-10.992646223326085
0.2,39,signed,0.1,-17.1053948670525,-18.779218579701308,3,3,0,wsdcon_9.csv,1.0,0.05,3,-10.98759292692928
0.2,59,signed,0.1,-17.094790187588455,-18.777326110725678,3,3,0,wsdcon_9.csv,2.0,0.05,3,-10.969295300507797
0.2,19,signed,0.1,-17.057602930926855,-18.780035060834834,3,3,0,wsdcon_9.csv,0.0,0.05,3,-10.89876907535161
0.2,0,nonpos,0.001,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,1,nonpos,0.001,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,4,nonpos,0.003,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,5,nonpos,0.003,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,8,nonpos,0.01,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,9,nonpos,0.01,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,12,nonpos,0.03,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,13,nonpos,0.03,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,16,nonpos,0.1,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,17,nonpos,0.1,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,0.0,0.05,3,-10.801466736917275
0.2,20,nonpos,0.001,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
