base_mae,corr_mae,delta_pct,dot_s,full_l2_s,group,kappa_pool,kappa_safe,kappa_transfer,l2_s,pooled_retention,raw_map,rho,scale,selected_lambda,shrink,target_factor,target_retention,tau,test_curve,test_label,train_id,train_label,train_size,win
0.003408385839825258,0.0029814290448999733,-12.526656751606913,0.0002758509265382592,0.09507465016576863,main_matrix,0.020555000039450946,0.013703333359633963,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,1.0,0.19363028951346634,0.005,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,0.0028288587366091713,-9.79679304829898,0.0002758509265382592,0.09507465016576863,main_matrix,0.020555000039450946,0.013703333359633963,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,1.0,0.24367405422491062,0.005,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004487187642230267,0.002843139237393469,-36.63872643444116,0.0002758509265382592,0.09507465016576863,main_matrix,0.020555000039450946,0.013703333359633963,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,1.0,0.24303548473632608,0.005,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,0.0022512194348145538,-23.074229002262214,0.0002758509265382592,0.09507465016576863,main_matrix,0.020555000039450946,0.013703333359633963,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,1.0,0.520084044338764,0.005,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.002504818961791151,0.0022244401031710145,-11.193577775363151,0.0002758509265382592,0.09507465016576863,main_matrix,0.020555000039450946,0.013703333359633963,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,1.0,0.7093385120550632,0.005,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004428106847791531,0.004428106847791531,0.0,0.0002758509265382592,0.09507465016576863,extra_holdout,0.020555000039450946,0.0,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,0.0,0.005450424819241895,0.005,cosine_24000.csv,Cosine 24k,cosine_72000.csv,Cosine,1,0
0.003761619732988638,0.003761619732988638,0.0,0.0002758509265382592,0.09507465016576863,extra_holdout,0.020555000039450946,0.0,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,0.0,0.0,0.005,constant_24000.csv,Constant 24k,cosine_72000.csv,Cosine,1,0
0.0015795124507172926,0.0015795124507172926,0.0,0.0002758509265382592,0.09507465016576863,extra_holdout,0.020555000039450946,0.0,0.013703333359633963,0.001843962952642108,0.0193948960046347,0.14759571673065824,0.5,25,0.025,0.6666666666666666,0.0,0.0,0.005,constant_72000.csv,Constant 72k,cosine_72000.csv,Cosine,1,0
0.0037480705220761528,0.002985409850383169,-20.34808756134414,0.000495643092435865,0.09507465016576863,main_matrix,0.036932787982351674,0.024621858654901116,0.024621858654901116,0.001843962952642108,0.0193948960046347,0.2651968524764957,0.5,100,0.025,0.6666666666666666,1.0,0.19560070632069068,0.005,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.003248313740665229,0.002699505481422466,-16.89517402128684,0.000495643092435865,0.09507465016576863,main_matrix,0.036932787982351674,0.024621858654901116,0.024621858654901116,0.001843962952642108,0.0193948960046347,0.2651968524764957,0.5,100,0.025,0.6666666666666666,1.0,0.2460170141173665,0.005,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
