adiabatic_factor,amplitude_scale,base_mae,corr_mae,delta_pct,effective_tau_steps,fitted_residual_params,group,nonharm,scale,test_curve,test_label,uses_target_loss,win
0.8168498168498168,0.0,0.003408385839825258,0.003408385839825258,0.0,256.0,0,core_wsd,1,25,wsd_20000_24000.csv,WSD sharp,0,0
0.8168498168498168,0.0,0.0031360955249893426,0.0031360955249893426,0.0,256.0,0,core_wsd,1,25,wsdld_20000_24000.csv,WSD linear,0,0
0.9998554913294798,0.0,0.004487187642230267,0.004487187642230267,0.0,130.0,0,core_wsd,1,25,wsdcon_3.csv,WSD-con 3e-5,0,0
0.9998554913294798,0.0,0.002926482771138891,0.002926482771138891,0.0,130.0,0,core_wsd,1,25,wsdcon_9.csv,WSD-con 9e-5,0,0
0.9998554913294798,0.0,0.002504818961791151,0.002504818961791151,0.0,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,0
0.0,0.0,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,0.0,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,0.0,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.0,0.0037480705220761528,0.0037480705220761528,0.0,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,0
0.8168498168498168,0.0,0.003248313740665229,0.003248313740665229,0.0,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,0
0.9998554913294798,0.0,0.0056693997340904675,0.0056693997340904675,0.0,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,0
0.9998554913294798,0.0,0.004934623402238123,0.004934623402238123,0.0,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,0
0.9998554913294798,0.0,0.0013816404339982303,0.0013816404339982303,0.0,130.0,0,core_wsd,1,100,wsdcon_18.csv,WSD-con 18e-5,0,0
0.0,0.0,0.0032781062167547585,0.0032781062167547585,0.0,256.0,0,extra_control,1,100,cosine_24000.csv,Cosine 24k,0,0
0.0,0.0,0.001848699219840022,0.001848699219840022,0.0,128.0,0,extra_control,1,100,constant_24000.csv,Constant 24k,0,0
0.0,0.0,0.004776169698442608,0.004776169698442608,0.0,128.0,0,extra_control,1,100,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.0,0.004701998914275349,0.004701998914275349,0.0,256.0,0,core_wsd,1,400,wsd_20000_24000.csv,WSD sharp,0,0
0.8168498168498168,0.0,0.0038535563963712593,0.0038535563963712593,0.0,256.0,0,core_wsd,1,400,wsdld_20000_24000.csv,WSD linear,0,0
0.9998554913294798,0.0,0.008173606778800102,0.008173606778800102,0.0,130.0,0,core_wsd,1,400,wsdcon_3.csv,WSD-con 3e-5,0,0
0.9998554913294798,0.0,0.006687305974578527,0.006687305974578527,0.0,130.0,0,core_wsd,1,400,wsdcon_9.csv,WSD-con 9e-5,0,0
0.9998554913294798,0.0,0.0025579541942073844,0.0025579541942073844,0.0,130.0,0,core_wsd,1,400,wsdcon_18.csv,WSD-con 18e-5,0,0
0.0,0.0,0.007134640765897494,0.007134640765897494,0.0,256.0,0,extra_control,1,400,cosine_24000.csv,Cosine 24k,0,0
0.0,0.0,0.001679822173746335,0.001679822173746335,0.0,128.0,0,extra_control,1,400,constant_24000.csv,Constant 24k,0,0
0.0,0.0,0.004118245803084534,0.004118245803084534,0.0,128.0,0,extra_control,1,400,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.25,0.003408385839825258,0.0032450068440224413,-4.793441924732111,256.0,0,core_wsd,1,25,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.25,0.0031360955249893426,0.0029837943688069317,-4.856394040577838,256.0,0,core_wsd,1,25,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.25,0.004487187642230267,0.004338390069373781,-3.316054168453031,130.0,0,core_wsd,1,25,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.25,0.002926482771138891,0.0028119958769225457,-3.912098692171373,130.0,0,core_wsd,1,25,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.25,0.002504818961791151,0.002435794340290737,-2.7556730667295692,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.25,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,0.25,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,0.25,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.25,0.0037480705220761528,0.003548144150670269,-5.334114452444705,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.25,0.003248313740665229,0.0030627169677727947,-5.713634448820992,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.25,0.0056693997340904675,0.005512399004809985,-2.7692654715529508,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.25,0.004934623402238123,0.0048165700752059205,-2.3923472453573402,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.25,0.0013816404339982303,0.0013125845795345819,-4.998106074806497,130.0,0,core_wsd,1,100,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.25,0.0032781062167547585,0.0032781062167547585,0.0,256.0,0,extra_control,1,100,cosine_24000.csv,Cosine 24k,0,0
0.0,0.25,0.001848699219840022,0.001848699219840022,0.0,128.0,0,extra_control,1,100,constant_24000.csv,Constant 24k,0,0
0.0,0.25,0.004776169698442608,0.004776169698442608,0.0,128.0,0,extra_control,1,100,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.25,0.004701998914275349,0.0044659141708915965,-5.020944234312664,256.0,0,core_wsd,1,400,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.25,0.0038535563963712593,0.003636242311121696,-5.63931244017083,256.0,0,core_wsd,1,400,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.25,0.008173606778800102,0.007986619469523752,-2.2876964152635737,130.0,0,core_wsd,1,400,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.25,0.006687305974578527,0.006547605871841514,-2.089034108325194,130.0,0,core_wsd,1,400,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.25,0.0025579541942073844,0.0024785298149382707,-3.104996150790118,130.0,0,core_wsd,1,400,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.25,0.007134640765897494,0.007134640765897494,0.0,256.0,0,extra_control,1,400,cosine_24000.csv,Cosine 24k,0,0
0.0,0.25,0.001679822173746335,0.001679822173746335,0.0,128.0,0,extra_control,1,400,constant_24000.csv,Constant 24k,0,0
0.0,0.25,0.004118245803084534,0.004118245803084534,0.0,128.0,0,extra_control,1,400,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.5,0.003408385839825258,0.0030816278482196174,-9.586883849464433,256.0,0,core_wsd,1,25,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.5,0.0031360955249893426,0.002831493212624516,-9.712788081155832,256.0,0,core_wsd,1,25,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.5,0.004487187642230267,0.004189592496517295,-6.632108336906073,130.0,0,core_wsd,1,25,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.5,0.002926482771138891,0.0026975089827062284,-7.824197384341791,130.0,0,core_wsd,1,25,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.5,0.002504818961791151,0.002366769718790356,-5.511346133457817,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.5,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,0.5,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,0.5,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.5,0.0037480705220761528,0.0033482177792643793,-10.668228904889565,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.5,0.003248313740665229,0.0028771201948803687,-11.42726889764173,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.5,0.0056693997340904675,0.005355398275529483,-5.538530943106268,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.5,0.004934623402238123,0.00469917744264391,-4.771305536455439,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.5,0.0013816404339982303,0.0012435287250709293,-9.996212149613292,130.0,0,core_wsd,1,100,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.5,0.0032781062167547585,0.0032781062167547585,0.0,256.0,0,extra_control,1,100,cosine_24000.csv,Cosine 24k,0,0
0.0,0.5,0.001848699219840022,0.001848699219840022,0.0,128.0,0,extra_control,1,100,constant_24000.csv,Constant 24k,0,0
0.0,0.5,0.004776169698442608,0.004776169698442608,0.0,128.0,0,extra_control,1,100,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.5,0.004701998914275349,0.0042298294275078365,-10.041888468625492,256.0,0,core_wsd,1,400,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.5,0.0038535563963712593,0.003418928225872149,-11.278624880341248,256.0,0,core_wsd,1,400,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.5,0.008173606778800102,0.007799632160247411,-4.575392830527036,130.0,0,core_wsd,1,400,wsdcon_3.csv,WSD-con 3e-5,0,1
