mean_delta,median_delta,nonharm,rows,test_curve,test_label,wins,worst_delta
-38.7827310729828,-39.417859222497086,3,3,wsd_20000_24000.csv,WSD sharp,3,-29.5084918638418
-26.792269754107906,-31.681286986452008,3,3,wsdld_20000_24000.csv,WSD linear,3,-16.880609023662686
-42.50142373633563,-45.646969480203026,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-34.76079951735086
-19.82381543338279,-20.71443446908151,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-16.34873038080411
-13.622010658044536,-11.993919464287018,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-9.887811246609978
