base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,source_dot,source_full_l2,source_l2,source_retention,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_primary_coef,step_primary_retention,step_primary_shrink,target_retention,test_curve,test_label,train_curve,win
0.004303325702859985,smooth,9,0.0030334791879569334,0.0,4.0,signed_d2_lr,0.01,-29.5084918638418,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,1,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003860602372604268,smooth,9,0.0032089091801266964,0.0,4.0,signed_d2_lr,0.01,-16.880609023662686,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,1,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008591406057766149,step,9,0.005017405173702204,0.006217633694220535,4.0,signed_d2_lr,0.01,-41.59972023244378,0.032259972173826416,,25,,1,1,,,,,0.006217633694220535,1,1,0.01,0.032259972173826416,0.025703819938550254,0.5714285714285714,0.3526792384387826,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006052212378600692,step,9,0.004966157804208524,0.006217633694220535,4.0,signed_d2_lr,0.01,-17.944753198553,0.032259972173826416,,25,,1,1,,,,,0.006217633694220535,1,1,0.01,0.032259972173826416,0.025703819938550254,0.5714285714285714,0.6612476858225397,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.004134387912738256,step,9,0.003792319207807098,0.006217633694220535,4.0,signed_d2_lr,0.01,-8.273744799737525,0.032259972173826416,,25,,1,1,,,,,0.006217633694220535,1,1,0.01,0.032259972173826416,0.025703819938550254,0.5714285714285714,0.8065644449465882,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004344890305179187,smooth,9,0.002284463283822057,0.0,4.0,signed_d2_lr,0.01,-47.42184213260951,0.03800463456838331,0.1521096773673382,100,0.8333333333333334,1,1,0.0011050958775130778,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0036178807709199698,smooth,9,0.0024668551420834305,0.0,4.0,signed_d2_lr,0.01,-31.81491325220902,0.03800463456838331,0.1521096773673382,100,0.8333333333333334,1,1,0.0011050958775130778,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.007928074250295227,step,9,0.004472893901401182,-0.011045226064316823,4.0,signed_d2_lr,0.01,-43.58158412511563,0.03494989153576016,,100,,1,1,,,,,-0.011045226064316823,1,1,0.01,0.03494989153576016,0.025703819938550254,0.5714285714285714,0.43300883655480726,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.0062566970131816045,step,9,0.005177419069889474,-0.011045226064316823,4.0,signed_d2_lr,0.01,-17.24996337553678,0.03494989153576016,,100,,1,1,,,,,-0.011045226064316823,1,1,0.01,0.03494989153576016,0.025703819938550254,0.5714285714285714,0.7438995536190678,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0026712241180200675,step,9,0.002287717723276608,-0.011045226064316823,4.0,signed_d2_lr,0.01,-14.356953134569528,0.03494989153576016,,100,,1,1,,,,,-0.011045226064316823,1,1,0.01,0.03494989153576016,0.025703819938550254,0.5714285714285714,0.8647579889368165,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.007276453411883992,smooth,9,0.004408231249596974,0.0,4.0,signed_d2_lr,0.01,-39.417859222497086,0.04898284995669083,0.1957823530568876,400,0.8333333333333334,1,1,0.0014276798997615988,0.5898288261410543,0.004792178674279005,0.008124693914388277,,,,,,,,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.006065618893503333,smooth,9,0.004143952764348088,0.0,4.0,signed_d2_lr,0.01,-31.681286986452008,0.04898284995669083,0.1957823530568876,400,0.8333333333333334,1,1,0.0014276798997615988,0.5898288261410543,0.004792178674279005,0.008124693914388277,,,,,,,,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.015378430871178581,step,9,0.0098129588881079,-0.005499238981369026,4.0,signed_d2_lr,0.01,-36.1901160768046,0.05022682550954483,,400,,1,1,,,,,-0.005499238981369026,1,1,0.01,0.05022682550954483,0.025828334346675936,0.5714285714285714,0.41234329194958264,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.009032886016726277,step,9,0.007436351308170375,-0.005499238981369026,4.0,signed_d2_lr,0.01,-17.67469118507179,0.05022682550954483,,400,,1,1,,,,,-0.005499238981369026,1,1,0.01,0.05022682550954483,0.025828334346675936,0.5714285714285714,0.7239708385767508,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.004868849724276598,step,9,0.004349485788307405,-0.005499238981369026,4.0,signed_d2_lr,0.01,-10.66707673025088,0.05022682550954483,,400,,1,1,,,,,-0.005499238981369026,1,1,0.01,0.05022682550954483,0.025828334346675936,0.5714285714285714,0.8515651096588488,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004303325702859985,smooth,11,0.0030334791879569334,0.0,4.0,signed_d2_lr,0.01,-29.5084918638418,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,0,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003860602372604268,smooth,11,0.0032089091801266964,0.0,4.0,signed_d2_lr,0.01,-16.880609023662686,0.02420899317439569,0.0968940283985493,25,0.8333333333333334,0,1,0.0007039472648428884,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008591406057766149,step,11,0.00506135291410472,0.010880858964885937,4.0,signed_d2_lr,0.01,-41.08818882411522,0.032259972173826416,,25,,0,1,,,,,0.010880858964885937,0,1,0.01,0.032259972173826416,0.025703819938550254,0.5714285714285714,0.34607264264239385,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006052212378600692,step,11,0.005000300165603555,0.010880858964885937,4.0,signed_d2_lr,0.01,-17.38062293908372,0.032259972173826416,,25,,0,1,,,,,0.010880858964885937,0,1,0.01,0.032259972173826416,0.025703819938550254,0.5714285714285714,0.6505610836803163,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.004134387912738256,step,11,0.0038116777324292903,0.010880858964885937,4.0,signed_d2_lr,0.01,-7.805512862367847,0.032259972173826416,,25,,0,1,,,,,0.010880858964885937,0,1,0.01,0.032259972173826416,0.025703819938550254,0.5714285714285714,0.794994609752164,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
