config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
160,7.0,diff_drop,0.001,-28.304450130970732,0.04486544442609431,0.039143549193109396,-29.5084918638418,15,15,1,0,15,-9.887811246609978
161,7.0,diff_drop,0.001,-28.304450130970732,0.04486544442609431,0.039143549193109396,-29.5084918638418,15,15,1,1,15,-9.887811246609978
193,7.0,neg_diff_drop,0.001,-28.304450130970732,-0.04486544442609431,0.039143549193109396,-29.5084918638418,15,15,1,1,15,-9.887811246609978
418,14.0,diff_drop,0.001,-28.280444426083637,0.04377125085433274,0.03914468480377219,-29.5084918638418,15,15,0,0,15,-10.002999674024416
419,14.0,diff_drop,0.001,-28.280444426083637,0.04377125085433274,0.03914468480377219,-29.5084918638418,15,15,0,1,15,-10.002999674024416
451,14.0,neg_diff_drop,0.001,-28.280444426083637,-0.04377125085433274,0.03914468480377219,-29.5084918638418,15,15,0,1,15,-10.002999674024416
290,10.0,diff_drop,0.001,-28.183510950632073,0.058692580021817015,0.03914427963192473,-29.5084918638418,15,15,0,0,15,-8.509278792746178
291,10.0,diff_drop,0.001,-28.183510950632073,0.058692580021817015,0.03914427963192473,-29.5084918638418,15,15,0,1,15,-8.509278792746178
323,10.0,neg_diff_drop,0.001,-28.183510950632073,-0.058692580021817015,0.03914427963192473,-29.5084918638418,15,15,0,1,15,-8.509278792746178
288,10.0,diff_drop,0.001,-28.0730460588671,0.03353861715532401,0.03914427963192473,-29.5084918638418,15,15,1,0,15,-11.021510974230452
289,10.0,diff_drop,0.001,-28.0730460588671,0.03353861715532401,0.03914427963192473,-29.5084918638418,15,15,1,1,15,-11.021510974230452
321,10.0,neg_diff_drop,0.001,-28.0730460588671,-0.03353861715532401,0.03914427963192473,-29.5084918638418,15,15,1,1,15,-11.021510974230452
32,4.0,diff_drop,0.001,-28.036283151140257,0.06693123241550997,0.0391414702763819,-29.5084918638418,15,15,1,0,15,-7.69419157862713
33,4.0,diff_drop,0.001,-28.036283151140257,0.06693123241550997,0.0391414702763819,-29.5084918638418,15,15,1,1,15,-7.69419157862713
65,4.0,neg_diff_drop,0.001,-28.036283151140257,-0.06693123241550997,0.0391414702763819,-29.5084918638418,15,15,1,1,15,-7.69419157862713
546,20.0,diff_drop,0.001,-28.033641268264805,0.031598308621714505,0.03914492425554035,-29.5084918638418,15,15,0,0,15,-11.068595539144576
