cosine_to_wsd,estimator,lambda,max_cosine_kappa,max_kappa,mean_offdiag,mean_retention,median_offdiag,worst_offdiag,wsdcon9_to_wsd
-0.16233630086462578,soft_dct_m12_s2_lam0,0.0,0.00045496390453523384,0.013574333565153881,-4.327740107506595,0.10672856470864577,-2.576260583392146,-0.1353007619935472,-6.176247823749974
-0.16233631466748832,soft_dct_m12_s2_lam1e-08,1e-08,0.0004549639539139158,0.013574333642964728,-4.3277401359515135,0.10672856537377741,-2.576260620692792,-0.13530077343926564,-6.176247862513907
-0.1623364250019299,soft_dct_m12_s2_lam3e-08,3e-08,0.0004549643486120251,0.013574334265062021,-4.3277403633668206,0.1067285706914138,-2.5762609189633023,-0.13530086493195684,-6.1762481724221585
-0.16233767673378882,soft_dct_m12_s2_lam1e-07,1e-07,0.000454968825876282,0.013574341326792673,-4.327742944808293,0.10672863105127225,-2.576264306754189,-0.13530190288872182,-6.176251689995671
-0.16234859614895347,soft_dct_m12_s2_lam3e-07,3e-07,0.00045500786930978545,0.01357440303335144,-4.327765500431468,0.10672915840551406,-2.5762939603712143,-0.1353109570370529,-6.176282418320888
-0.16246960984380351,soft_dct_m12_s2_lam1e-06,1e-06,0.0004554400533139548,0.01357509068226837,-4.328016815757116,0.10673503245660715,-2.576626327051625,-0.1354112836536007,-6.176624526649095
-0.16345808111624857,soft_dct_m12_s2_lam3e-06,3e-06,0.0004589584721192629,0.013580788846999408,-4.3300992200100605,0.10678366437127076,-2.579426124646983,-0.13623042400267016,-6.179452289934062
-0.1724592991771856,soft_dct_m12_s2_lam1e-05,1e-05,0.0004906781377553847,0.01363436196600109,-4.349724915487098,0.10724142932744792,-2.607130578468433,-0.1436800788531404,-6.205877981124868
-0.220903513953441,soft_dct_m12_s2_lam3e-05,3e-05,0.0006577762143453356,0.013925575429742657,-4.459175523737225,0.10978691024044736,-2.7763500940245507,-0.18366525967089173,-6.348826153703198
-0.43796127931067613,soft_dct_m12_s2_lam0.0001,0.0001,0.0013811495337244344,0.015023001616702569,-4.917201999331968,0.12039106024472813,-3.5427888456702825,-0.36206136784823945,-6.898218955334779
-0.9898738962797434,soft_dct_m12_s2_lam0.0003,0.0003,0.0031686238571304918,0.016934750241326568,-5.8642282151467295,0.14136430264285327,-4.860815499545076,-0.601440659299827,-7.882387400998784
-2.273552014531806,soft_dct_m12_s2_lam0.001,0.001,0.007196978724915283,0.019795529551447016,-7.623355776072401,0.17611748913699102,-6.472027109367801,-1.2380942873871776,-9.34306423211168
-4.6802930969530925,soft_dct_m12_s2_lam0.003,0.003,0.013512304434788595,0.025282366653395432,-9.873834441643863,0.21850042152525848,-8.766982620706083,-1.7334432357285603,-10.74625473821578
-10.746112961146556,soft_dct_m12_s2_lam0.01,0.01,0.025942124343717236,0.04067863324823715,-12.503308388279747,0.2782595015040301,-10.537239190960808,-2.0427316012928687,-12.302062569684418
-14.281265264475673,soft_dct_m12_s2_lam0.015,0.015,0.032382457759954526,0.04597384521882836,-13.156361931574468,0.3010537642995296,-10.787856919023367,-2.157377776257252,-12.86149646403174
-17.52293018436775,soft_dct_m12_s2_lam0.02,0.02,0.038153617293519106,0.049671673788801364,-13.440945613040709,0.3179964952140262,-10.691810636110375,-2.2460089479091874,-13.292189504653992
-20.571746417337792,soft_dct_m12_s2_lam0.025,0.025,0.04354280271463635,0.05248056730681305,-13.473632393179605,0.3316424750271637,-10.938912564138562,-2.320424025226527,-13.656355476909177
-23.45651589863704,soft_dct_m12_s2_lam0.03,0.03,0.04864689086720772,0.05472703970037038,-13.308545534714304,0.34316506191083695,-11.181464789891741,-2.385567334534048,-13.97855642269507
-28.779533038073605,soft_dct_m12_s2_lam0.04,0.04,0.05812473513125943,0.058168973393716614,-12.618521366469924,0.36210074107707907,-11.654391785369562,-0.9726363673838015,-14.53838220318967
-33.44615458412091,soft_dct_m12_s2_lam0.05,0.05,0.06671154976693759,0.06671154976693759,-11.750586271166501,0.37743990451715287,-11.378473351696266,7.042786540434231,-15.016891728342928
-40.693353579969596,soft_dct_m12_s2_lam0.07,0.07,0.0815064113462977,0.0815064113462977,-10.048259836359522,0.4014974295230094,-10.629494462194645,37.224693991857,-15.800391720083837
-47.369071956150684,soft_dct_m12_s2_lam0.1,0.1,0.09889157323161024,0.09889157323161024,-7.985245241232047,0.4276638307417126,-10.411252130833267,76.84646747012494,-16.671465843666937
-38.25290480302211,soft_dct_m12_s2_lam0.3,0.3,0.15043285330712544,0.15043285330712544,-0.862453321945648,0.5033558882987876,-9.520379242113446,177.671879017831,-19.045506471466588
-23.970828635671722,soft_dct_m12_s2_lam1,1.0,0.18833815242061375,0.18833815242061375,2.7925080429626465,0.5752645886398173,-8.967194401407793,198.3170004441422,-20.41918503242725
