amp_raw,corr,drop_eff_steps,estimator,feature_l2,feature_max,feature_mean,feature_peak_to_mean,kappa,lambda,max_drop,max_mode,nuisance_family,orth_corr,orth_feature_l2,orth_feature_retention,orth_projection_dot,orth_raw_kappa,orth_resid_scale,phi_norm,positive_overlap,projection_dot,r2,raw_kappa,resid_robust_scale,resid_std,scale,smooth_id_weight,smooth_order,tau,total_drop,train_curve,train_label
0.14844057858281434,-0.038338926020639534,56610.171676919636,soft_dct_m12_s2_lam0,0.09507465016576863,0.021193750734399514,0.01136141324156027,1.865415004611606,0.0,0.0,2.0242220699289173e-05,12,soft_dct_sobolev,-0.025296966088860597,5.573808187093751e-05,0.0005862559764748506,-6.772773760369589e-06,0.0,0.00044196159904174215,0.30834177492803116,1.0,0.04577043147156886,-1.723657766871502,0.4814157232423704,0.0033523329863594025,0.00295752667238241,25,8.414274335231301e-05,2,0.030898198785299612,0.899999999544725,cosine_72000.csv,Cosine
0.16522964359660816,0.42486160576900356,56610.171676919636,soft_dct_m12_s2_lam0,0.09507465016576863,0.021193750734399514,0.01136141324156027,1.865415004611606,0.00022355275050357475,0.0,2.0242220699289173e-05,12,soft_dct_sobolev,0.08570596505433259,5.573808187093751e-05,0.0005862559764748506,9.329223938635723e-06,0.16737612105557745,0.00030853368666778757,0.30834177492803116,0.999987037612911,0.05094720157730417,-0.16542168679991298,0.5358652541815775,0.005447659472037359,0.0038620886323853807,100,8.414274335231301e-05,2,0.030898198785299612,0.899999999544725,cosine_72000.csv,Cosine
0.10557334737191665,0.5519162762632617,56610.171676919636,soft_dct_m12_s2_lam0,0.09508274050125376,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.00045496390453523384,0.0,2.0242220699289173e-05,12,soft_dct_sobolev,0.07131068508428642,5.589605595265185e-05,0.0005878675315623113,1.8963314182402623e-05,0.3392603263183,0.0004181790403979008,0.30835489375272407,0.9545670409774167,0.03255405831198679,0.26323285722447143,0.3423761046470629,0.00695246595891458,0.006097469982571264,400,8.414356205870405e-05,2,0.030898198785299612,0.899999999544725,cosine_72000.csv,Cosine
0.046337416182712206,0.7998285798301223,2842.3242127574717,soft_dct_m12_s2_lam0,0.9438286145394619,0.19020175165830108,0.03115714868201178,6.104594281058583,0.0018833682424296574,0.0,0.0005754806207201073,12,soft_dct_sobolev,0.153363293129056,0.017156392961245936,0.018177445244778198,0.0003151466409809739,0.01836905004990555,0.0008952999422561586,0.9715084222689281,1.0,0.04501719008768543,0.4716764687439958,0.04769636075258369,0.0015772934021270055,0.003323870938767359,25,0.8876272844795522,2,0.07351091520805572,0.8999424188010638,wsd_20000_24000.csv,WSD sharp
0.07327143445958952,0.9645067924639876,2842.3242127574717,soft_dct_m12_s2_lam0,0.9438286145394619,0.19020175165830108,0.030974943134163758,6.140503659182457,0.0025853014883286114,0.0,0.0005754806207201073,12,soft_dct_sobolev,0.26371902570563394,0.017182830857224267,0.018205456576042223,0.00043277574594144505,0.025186521914664074,0.0007581022007181772,0.9715084222689281,1.0,0.071183815689217,0.8341842773155973,0.07542027714846399,0.0012062006480936325,0.004656444054153262,100,0.8876272844795522,2,0.07351091520805572,0.8999424188010638,wsd_20000_24000.csv,WSD sharp
0.09880355762866455,0.9630825252534042,2842.3242127574717,soft_dct_m12_s2_lam0,0.9529421754440708,0.19021940771026472,0.031238178436595314,6.089324577499179,0.007047767411956149,0.0,0.0005754806207201073,12,soft_dct_sobolev,0.43058537954823034,0.017762061039620344,0.018639180316836357,0.0011958800745606978,0.06732777642713579,0.0008855119776176544,0.9761875718549539,1.0,0.09645080501215705,0.8864955854076416,0.10121370162592605,0.001953267821735734,0.007813071286942936,400,0.8876316940905121,2,0.07351091520805572,0.8999424188010638,wsd_20000_24000.csv,WSD sharp
0.038587065976002644,0.7421776614409937,3999.000000000001,soft_dct_m12_s2_lam0,0.5721837247862505,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0009779378125920198,0.0,0.0002250000000002901,12,soft_dct_sobolev,0.07559710933994487,0.009697711878973204,0.016948597904625756,0.00011517168717595824,0.011876171267335346,0.0008701169517532513,0.7564282681036256,1.0,0.029188347487428018,0.31811865147097595,0.0510121945505036,0.001547371771584771,0.002939418314843967,25,0.7652294183995945,2,0.07506249912819138,0.899775,wsdld_20000_24000.csv,WSD linear
0.05960235876750827,0.9575628569010615,3999.000000000001,soft_dct_m12_s2_lam0,0.5721837247862505,0.24895816290543804,0.02228947322518761,11.169315685043184,0.0022062377712747092,0.0,0.0002250000000002901,12,soft_dct_sobolev,0.21488491735956902,0.00978661142658763,0.017103966790113778,0.00026014540211333637,0.026581764696061216,0.0007579553250363545,0.7564282681036256,1.0,0.04508490901739723,0.75809798956189,0.07879446245039477,0.0012062006480936325,0.003785289883168282,100,0.7652294183995945,2,0.07506249912819138,0.899775,wsdld_20000_24000.csv,WSD linear
0.07801302235327828,0.9545284127726327,3999.000000000001,soft_dct_m12_s2_lam0,0.5890891345460179,0.25331762618423714,0.022663865639948686,11.177158839916714,0.005763157555827675,0.0,0.0002250000000002901,12,soft_dct_sobolev,0.3420309218390218,0.010208964066557689,0.01733008379865169,0.0006935966414848423,0.06793996305236412,0.0008630128760098372,0.7675214228580319,0.9999883258396075,0.05987666591804361,0.8540846239539963,0.1016427946242594,0.001595459654683224,0.006381838618732896,400,0.7655415869579296,2,0.07506249912819138,0.899775,wsdld_20000_24000.csv,WSD linear
0.05744581636839312,0.8694804302664776,1.0,soft_dct_m12_s2_lam0,10.70275226864739,0.8999999999999999,0.21316602486886502,4.22206118706609,0.0035523264503930095,0.0,0.8999999999999999,12,soft_dct_sobolev,0.6113215555361535,0.6400199738119622,0.059799569096524334,0.009304000366970079,0.014537046885514222,0.001027326378378364,3.271506116247896,0.9774041637917499,0.18793433960205158,0.7094428624214087,0.017559440308880722,0.004347085353796467,0.0062155954412196745,25,0.9996571526506726,2,0.02145866287055983,0.8999999999999999,wsdcon_3.csv,WSD-con 3e-5
