estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
soft_dct_m12_s2_lam0,0.013574333565153881,-8.609230445226324,0.01090482945260792,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
soft_dct_m12_s2_lam0,0.013574333565153881,-7.121473105984436,0.01090482945260792,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
soft_dct_m12_s2_lam0,0.013574333565153881,-22.449188039359967,0.01090482945260792,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
soft_dct_m12_s2_lam0,0.013574333565153881,-9.843421812747552,0.01090482945260792,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
soft_dct_m12_s2_lam0,0.013574333565153881,-7.058276315329511,0.01090482945260792,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
soft_dct_m12_s2_lam0.0001,0.0013811495337244344,-0.08874323995879581,0.0006202301450736809,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
soft_dct_m12_s2_lam0.0001,0.0013811495337244344,-0.43796127931067613,0.0006202301450736809,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
soft_dct_m12_s2_lam0.0001,0.0013811495337244344,-0.3778176072349722,0.0006202301450736809,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
soft_dct_m12_s2_lam0.0001,0.0013811495337244344,-1.1438634429877619,0.0006202301450736809,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
soft_dct_m12_s2_lam0.0001,0.0013811495337244344,-0.36206136784823945,0.0006202301450736809,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
soft_dct_m12_s2_lam0.0001,0.0013811495337244344,-0.45046193331763257,0.0006202301450736809,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
soft_dct_m12_s2_lam0.0001,0.008922568072804291,-0.7504339836833221,0.005208647060577161,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
soft_dct_m12_s2_lam0.0001,0.008922568072804291,-3.9062409634698354,0.005208647060577161,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
soft_dct_m12_s2_lam0.0001,0.008922568072804291,-3.2928798369183574,0.005208647060577161,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
soft_dct_m12_s2_lam0.0001,0.008922568072804291,-10.40795270916285,0.005208647060577161,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
soft_dct_m12_s2_lam0.0001,0.008922568072804291,-3.7926978544222076,0.005208647060577161,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,3
soft_dct_m12_s2_lam0.0001,0.008922568072804291,-3.2084051449726663,0.005208647060577161,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
soft_dct_m12_s2_lam0.0001,0.005764571919880897,-0.4462990896194248,0.0031025370513600298,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
soft_dct_m12_s2_lam0.0001,0.005764571919880897,-2.2876251179369054,0.0031025370513600298,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
soft_dct_m12_s2_lam0.0001,0.005764571919880897,-1.9409886612753668,0.0031025370513600298,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
soft_dct_m12_s2_lam0.0001,0.005764571919880897,-6.0575049981013676,0.0031025370513600298,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
soft_dct_m12_s2_lam0.0001,0.005764571919880897,-2.1376572502068405,0.0031025370513600298,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,3
soft_dct_m12_s2_lam0.0001,0.005764571919880897,-1.993959011766296,0.0031025370513600298,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
soft_dct_m12_s2_lam0.0001,0.010075141582875,-0.998483273515934,0.00686246504151897,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
