mode,tau,scale,train,test,kappa,delta_pct,win,corr_mae
self_fit,768,25,wsdcon_9.csv,wsdcon_9.csv,0.01918508385569298,-25.6164554039525,1,0.0021768216171657436
self_fit,768,25,wsdcon_18.csv,wsdcon_18.csv,0.02869376162726173,-27.82450211596368,1,0.0018078655567665127
self_fit,768,100,cosine_72000.csv,cosine_72000.csv,0.7375808901214923,-85.83451501003745,1,0.0010291408395779222
self_fit,768,100,wsd_20000_24000.csv,wsd_20000_24000.csv,0.07174194116828524,-39.02215184365298,1,0.0022854927517443994
self_fit,768,100,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.07246358993364019,-46.36653500650147,1,0.001742183212978688
self_fit,768,100,wsdcon_3.csv,wsdcon_3.csv,0.04235713444899931,-29.46556026245367,1,0.003998879338922652
self_fit,768,100,wsdcon_9.csv,wsdcon_9.csv,0.020392632987393817,-8.698795617421517,1,0.004505370597987977
self_fit,768,100,wsdcon_18.csv,wsdcon_18.csv,0.01521010648179559,-7.885219216377637,1,0.0012726950569953584
self_fit,768,400,cosine_72000.csv,cosine_72000.csv,0.4852236906759593,-42.62388439525282,1,0.0032203004939551864
self_fit,768,400,wsd_20000_24000.csv,wsd_20000_24000.csv,0.09510489771404453,-38.59656553155582,1,0.002887188822034021
self_fit,768,400,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.09234582912920078,-43.19506475976021,1,0.0021890102154048124
self_fit,768,400,wsdcon_3.csv,wsdcon_3.csv,0.06306766186994972,-29.090117240734493,1,0.0057958949840505305
self_fit,768,400,wsdcon_9.csv,wsdcon_9.csv,0.034890066134226363,-11.187841463933623,1,0.0059391407839345205
self_fit,768,400,wsdcon_18.csv,wsdcon_18.csv,0.021196141563483227,-4.530778180315886,1,0.002442058963713761
probe_to_wsd,768,25,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.02714445488772826,-22.919646586300402,1,0.0026271958510398017
probe_to_wsd,768,25,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.02714445488772826,-22.045661285915084,1,0.0024447225279474517
probe_to_wsd,768,100,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.03201046993465733,-24.66344953483548,1,0.0028236670403338562
probe_to_wsd,768,100,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.03201046993465733,-24.952736491954376,1,0.0024377705725250882
probe_to_wsd,768,400,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.049022137788073655,-29.956688967462743,1,0.0032934357242724076
