basis_dim,coef,denominator,fit_start,lambda,lambda_rule,locality,locality_factor,n_cal,projection,q_rule,ridge,role,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.04738269271226069,0.002172644643076243,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00010294575349582092,0.3417978531056059,0.013139430850544587,0.0014777958625725768,wsd_20000_24000.csv,WSD sharp,25,25,current_with_mplld_projection
4,0.04738570411405721,0.0021726639505585663,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00010295321110044684,0.34181537879017754,0.013140165545325759,0.0014778095766382598,wsdld_20000_24000.csv,WSD linear,25,25,current_with_mplld_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,25,25,current_with_mplld_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,25,25,current_with_mplld_projection
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,25,25,current_with_mplld_projection
4,0.04739143241165039,0.0021727006812692472,8000,9.02560883338251,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00010296739748711828,0.3418487165194955,0.013141563121229048,0.0014778356654925582,cosine_24000.csv,Cosine 24k,25,25,current_with_mplld_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,25,25,current_with_mplld_projection
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,25,25,current_with_mplld_projection
4,0.04738269271226069,0.002172644643076243,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00010294575349582092,0.3417978531056059,0.013139430850544587,0.0014777958625725768,wsd_20000_24000.csv,WSD sharp,100,25,current_with_mplld_projection
4,0.04738570411405721,0.0021726639505585663,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00010295321110044684,0.34181537879017754,0.013140165545325759,0.0014778095766382598,wsdld_20000_24000.csv,WSD linear,100,25,current_with_mplld_projection
