group,mpl_mae,residual_l1,residual_max_abs,scale,test_curve,test_label,with_projection_coef,with_projection_correction_l1,with_projection_correction_max_abs,with_projection_correction_to_residual_l1,with_projection_delta_pct,with_projection_lambda,with_projection_locality_factor,with_projection_mae,with_projection_source_retention,without_projection_coef,without_projection_correction_l1,without_projection_correction_max_abs,without_projection_correction_to_residual_l1,without_projection_delta_pct,without_projection_lambda,without_projection_locality_factor,without_projection_mae,without_projection_source_retention
core_wsd,0.003408385839825258,0.003408385839825258,0.009783294741855464,25,wsd_20000_24000.csv,WSD sharp,0.04738269271226069,0.0013119683426297663,0.008110318552951733,0.3849236572045578,-37.122705245163836,9.026941864314445,0.8168498168498168,0.0021431008108890254,0.0014777958625725768,0.4245380260120369,0.011754934523301184,0.07266658840408168,3.44882741441733,258.6979058967593,9.026941864314445,0.8168498168498168,0.012225808632334873,1.0
core_wsd,0.0031360955249893426,0.0031360955249893426,0.01018362816145002,25,wsdld_20000_24000.csv,WSD linear,0.04738570411405721,0.0009361026889674286,0.010287809748132357,0.29849304063230336,-29.810221525217518,9.026482506002322,0.8168498168498168,0.002201218501747586,0.0014778095766382598,0.42451652830328307,0.00838630703258734,0.09216588335607796,2.674123592780497,191.1094825942194,9.026482506002322,0.8168498168498168,0.009129471456456944,1.0
core_wsd,0.004487187642230267,0.004487187642230267,0.02223272655889863,25,wsdcon_3.csv,WSD-con 3e-5,0.0186012135954047,0.00254297189750861,0.016738673002882166,0.5667184214843034,-44.644714376645375,18.05070782708191,0.9998554913294798,0.0024838955358124364,0.0013917019116719191,0.8233833807362066,0.11256474139972643,0.7409379552286752,25.08581106355926,2366.3484045095297,18.05070782708191,0.9998554913294798,0.11066968082149498,1.0
core_wsd,0.002926482771138891,0.002926482771138891,0.012688512095077709,25,wsdcon_9.csv,WSD-con 9e-5,0.0186012135954047,0.0007298980958714846,0.013018967891130575,0.249411376369536,-21.189609771527984,18.05070782708191,0.9998554913294798,0.0023063724919035614,0.0013917019116719191,0.8233833807362066,0.03230896514838432,0.5762850762889696,11.040203437046285,1036.7740326767382,18.05070782708191,0.9998554913294798,0.03326749621306553,1.0
core_wsd,0.002504818961791151,0.002504818961791151,0.010485433208724082,25,wsdcon_18.csv,WSD-con 18e-5,0.0186012135954047,0.00023015574296662999,0.007439410223503184,0.09188518071663342,-9.188518071663621,18.05070782708191,0.9998554913294798,0.0022746632188245137,0.0013917019116719191,0.8233833807362066,0.010187852140278278,0.32930575787941113,4.067300789272662,345.52077845313704,18.05070782708191,0.9998554913294798,0.01115948893741372,1.0
core_wsd,0.0037480705220761528,0.0037480705220761528,0.015493333710125956,100,wsd_20000_24000.csv,WSD sharp,0.08194692666912794,0.0022557403057006974,0.014026549393425002,0.6018404115969475,-55.89929293428361,9.026941864314445,0.8168498168498168,0.0016529256015572712,0.001259438022214419,0.47348209356632104,0.013033467951733074,0.08104416165752658,3.477380661587312,224.35963510628642,9.026941864314445,0.8168498168498168,0.012157227868932493,1.0
core_wsd,0.003248313740665229,0.003248313740665229,0.01688244050216925,100,wsdld_20000_24000.csv,WSD linear,0.08195208763827826,0.0016094926089754143,0.0177924439838547,0.4954855772785676,-49.012976829847034,9.026482506002322,0.8168498168498168,0.0016562184795922428,0.0012594518091337912,0.47345808571057735,0.009298448783565753,0.10279148111382397,2.8625463935825066,174.6645242570984,9.026482506002322,0.8168498168498168,0.008921965482176109,1.0
core_wsd,0.0056693997340904675,0.0056693997340904675,0.032656977845781476,100,wsdcon_3.csv,WSD-con 3e-5,0.03271892621544682,0.003982394615872762,0.02944277824222672,0.7024367309869447,-42.755876114388094,18.05070782708191,0.9998554913294798,0.003245398207353299,0.0011805304133082875,0.9190668900835309,0.11186452179373861,0.8270406692542132,19.731281447855935,1847.5905127831104,18.05070782708191,0.9998554913294798,0.11041669135289685,1.0
core_wsd,0.004934623402238123,0.004934623402238123,0.01726046143768345,100,wsdcon_9.csv,WSD-con 9e-5,0.03271892621544682,0.0011190062965515698,0.022899938632843005,0.22676630116171356,-9.843911916094106,18.05070782708191,0.9998554913294798,0.004448863421130836,0.0011805304133082875,0.9190668900835309,0.03143262190768371,0.643253853864388,6.3698117050689795,604.4606284746325,18.05070782708191,0.9998554913294798,0.034762479032262976,1.0
core_wsd,0.0013816404339982303,0.0013816404339982303,0.00797345802470506,100,wsdcon_18.csv,WSD-con 18e-5,0.03271892621544682,0.0003528390846110283,0.013085679218767429,0.25537692436372356,-12.798603668230202,18.05070782708191,0.9998554913294798,0.0012048097507307812,0.0011805304133082875,0.9190668900835309,0.009911166340180246,0.3675736307796503,7.173477336284254,675.2401891798422,18.05070782708191,0.9998554913294798,0.010711031914313074,1.0
core_wsd,0.004701998914275349,0.004701998914275349,0.021748173844712948,400,wsd_20000_24000.csv,WSD sharp,0.07881628678987389,0.0021883410625361966,0.013492499376625645,0.46540654356434574,-45.79169003418645,9.026941864314445,0.8168498168498168,0.002548874146039569,0.0013593348951861214,0.30424476643016135,0.008447382420030415,0.052083427024983496,1.7965513336006986,47.74572965470618,9.026941864314445,0.8168498168498168,0.006947002604252477,1.0
core_wsd,0.0038535563963712593,0.0038535563963712593,0.023834165468386015,400,wsdld_20000_24000.csv,WSD linear,0.07882117112934564,0.0015737195506451886,0.01740008353615344,0.40838108717627636,-40.375755133138156,9.026482506002322,0.8168498168498168,0.0022976539018550166,0.0013593496446268271,0.3042290136848543,0.006074144038328151,0.06715975132558245,1.5762437119248938,40.14115965739442,9.026482506002322,0.8168498168498168,0.005400418621926382,1.0
core_wsd,0.008173606778800102,0.008173606778800102,0.05299277801452318,400,wsdcon_3.csv,WSD-con 3e-5,0.031783300219353904,0.0038685145971711706,0.02860083653120501,0.47329345561434927,-35.96635695800162,18.05070782708191,0.9998554913294798,0.00523385818839344,0.0012659510960544888,0.5984473460888438,0.0728402109914721,0.5385247787326356,8.911636314631366,740.6577387240519,18.05070782708191,0.9998554913294798,0.06871205791885676,1.0
core_wsd,0.006687305974578527,0.006687305974578527,0.03331834037127779,400,wsdcon_9.csv,WSD-con 9e-5,0.031783300219353904,0.0010870073435923179,0.02224509507982612,0.16254787020730382,-9.167725077722555,18.05070782708191,0.9998554913294798,0.006074232147723053,0.0012659510960544888,0.5984473460888438,0.020467247122304348,0.41885260568093885,3.0606117321548627,261.8720865127882,18.05070782708191,0.9998554913294798,0.02419949366170166,1.0
core_wsd,0.0025579541942073844,0.0025579541942073844,0.015512964752626424,400,wsdcon_18.csv,WSD-con 18e-5,0.031783300219353904,0.00034274934579057005,0.012711482902757781,0.13399354318648204,-4.665186792735431,18.05070782708191,0.9998554913294798,0.0024386208529749995,0.0012659510960544888,0.5984473460888438,0.006453622970126655,0.23934434610339358,2.522962680387791,217.28624917457742,18.05070782708191,0.9998554913294798,0.008116036918404396,1.0
