base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1581,3420,12000,12,-32.28605934201116,-27.05781630628096,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-11.877191088500771
1565,3520,12000,8,-32.28549353375622,-27.060598805306658,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-11.872677446130641
1229,2110,12000,8,-32.26686424293359,-29.5084918638418,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-10.661217212570751
173,8610,12000,8,-32.26686424293359,-29.5084918638418,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-10.661217212570751
1245,2010,12000,12,-32.26594417683499,-29.50843188343083,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-10.660376808251792
181,8510,12000,12,-32.26594417683499,-29.50843188343083,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-10.660376808251792
1237,1910,12000,16,-32.26590604504187,-29.508441345732173,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-10.660356257564285
189,8410,12000,16,-32.26590604504187,-29.508441345732173,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-10.660356257564285
1580,50,8000,12,-32.21291980787811,-29.71576080353563,15,0.02,0.0,0.75,0.0,0.05,15,7.0,20.0,15,-14.960400839531918
1564,150,8000,8,-32.21098457436314,-29.722693026334024,15,0.02,0.0,0.75,0.0,0.05,15,7.0,20.0,15,-14.965485204889006
1565,3531,12000,8,-32.208405042918294,-26.175245935907952,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-10.966988111594322
1581,3431,12000,12,-32.2054953381837,-26.16967153340606,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-10.963857896148067
1565,3541,12000,8,-32.18940666617325,-27.88654347363685,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-10.966988111594322
1581,3441,12000,12,-32.1857785151327,-27.890333787898225,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-10.963857896148067
1277,2700,12000,8,-32.133919165740316,-27.790220516772656,15,0.05,0.25,0.0,0.0,0.05,15,2.0,20.0,15,-10.661217212570751
1285,2600,12000,12,-32.132805723171636,-27.790227277120106,15,0.05,0.25,0.0,0.0,0.05,15,2.0,20.0,15,-10.660376808251792
1293,2500,12000,16,-32.13275754708431,-27.790189463367454,15,0.05,0.25,0.0,0.0,0.05,15,2.0,20.0,15,-10.660356257564285
1277,2710,12000,8,-32.13013874118995,-28.603136733443023,15,0.05,0.25,0.2,0.0,0.05,15,2.0,20.0,15,-10.661217212570751
1285,2610,12000,12,-32.129284412946554,-28.603132729061553,15,0.05,0.25,0.2,0.0,0.05,15,2.0,20.0,15,-10.660376808251792
1293,2510,12000,16,-32.12925113164514,-28.60315512741941,15,0.05,0.25,0.2,0.0,0.05,15,2.0,20.0,15,-10.660356257564285
1563,1831,5000,8,-32.09160204879382,-27.62797072771078,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-10.410293307392793
1579,1731,5000,12,-32.08872961456798,-27.620324146778408,15,0.02,0.0,0.5,0.2,0.05,15,7.0,20.0,15,-10.413637781816721
1563,1841,5000,8,-31.983859583394253,-27.62797072771078,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-12.576358858112746
1579,1741,5000,12,-31.98051329512309,-27.620324146778408,15,0.02,0.0,0.6,0.2,0.05,15,7.0,20.0,15,-12.57949430288523
171,7110,5000,8,-31.960089413296355,-27.453797217821354,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-12.819321259801375
1227,10710,5000,8,-31.960089413296355,-27.453797217821354,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-12.819321259801375
179,7010,5000,12,-31.959419177251753,-27.452844373276577,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-12.818249831221362
1243,10610,5000,12,-31.959419177251753,-27.452844373276577,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-12.818249831221362
187,6910,5000,16,-31.95935994817619,-27.452723927389034,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-12.81823676170446
1235,10510,5000,16,-31.95935994817619,-27.452723927389034,15,0.05,0.25,0.2,0.0,0.05,15,4.0,20.0,15,-12.81823676170446
1579,1721,5000,12,-31.954711247199228,-27.620324146778408,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-6.563226188806148
1563,1821,5000,8,-31.951007293888754,-27.62797072771078,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-6.559510106112931
1580,21,8000,12,-31.928641236791016,-27.1114535138515,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-9.37645679626341
1564,121,8000,8,-31.92620811451001,-27.11671715743349,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-9.369748240836817
170,12500,3000,8,-31.86910951513207,-28.004523577328445,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.5939813768678
90,13100,3000,8,-31.86910951513207,-28.004523577328445,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.5939813768678
178,12400,3000,12,-31.868438900210506,-28.002634321733744,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.592773798195287
74,13000,3000,12,-31.868438900210506,-28.002634321733744,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.592773798195287
186,12300,3000,16,-31.86836717229046,-28.00250089855758,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.59264807806224
82,12900,3000,16,-31.86836717229046,-28.00250089855758,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.59264807806224
1564,161,8000,8,-31.78953982666235,-27.71052200359848,15,0.02,0.0,0.9,0.2,0.05,15,7.0,20.0,15,-12.471263342941919
1580,61,8000,12,-31.786154094250477,-27.706793947007235,15,0.02,0.0,0.9,0.2,0.05,15,7.0,20.0,15,-12.46702606067146
1565,3560,12000,8,-31.778937889196683,-27.649225551924538,15,0.02,0.0,0.9,0.0,0.05,15,7.0,20.0,15,-13.160385733913415
435,5410,5000,8,-31.77833011670738,-27.408196961050045,15,0.015,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-8.53606754480868
1581,3460,12000,12,-31.778011216175233,-27.645918822829717,15,0.02,0.0,0.9,0.0,0.05,15,7.0,20.0,15,-13.156629475377601
467,5510,5000,12,-31.770976229939357,-27.40356050334185,15,0.015,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-8.545074241250216
475,5610,5000,16,-31.77016686259872,-27.403594463890492,15,0.015,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-8.544311232389335
1563,1851,5000,8,-31.743912244010883,-27.62797072771078,15,0.02,0.0,0.75,0.2,0.05,15,7.0,20.0,15,-13.859311154838016
1579,1751,5000,12,-31.740304483274766,-27.620324146778408,15,0.02,0.0,0.75,0.2,0.05,15,7.0,20.0,15,-13.855793009042227
1228,2420,8000,8,-31.718016930106458,-27.35957627605784,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-11.867123017814007
172,3820,8000,8,-31.718016930106458,-27.35957627605784,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-11.867123017814007
1244,2320,8000,12,-31.717310246343516,-27.359299329119978,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-11.865987148311618
180,3720,8000,12,-31.717310246343516,-27.359299329119978,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-11.865987148311618
1236,2220,8000,16,-31.71730007451622,-27.359247222483262,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-11.866001928195224
