base_config_id,base_mae,channel,config_id,corr_mae,delta_pct,fit_start_step,kappa,max_mode,nuisance_lambda,pair_config_id,raw_map,response_lambda,retention_power,rho,rho_smooth,rho_step,ridge_tau,scale,shrink,smooth_config_id,smooth_lambda,source_corr,source_dot,source_full_l2,source_l2,source_retention,step_config_id,step_lambda,target_factor,target_retention,test_curve,test_label,train_curve,win
1237,0.004303325702859985,smooth,1910,0.0030334813619157294,-29.508441345732173,12000,0.024208773580267334,16,0.05,14457,0.09689736148115108,4.0,0.25,0.2,0.2,0.0,0.05,25,0.8333333333333334,1910,4.0,0.48380164109344576,0.000703891202780082,0.5896991271299976,0.004764296901593199,0.008079199514471933,1821,20.0,1.0,0.26616097096042696,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1237,0.003860602372604268,smooth,1910,0.0032089100156262166,-16.88058738197469,12000,0.024208773580267334,16,0.05,14457,0.09689736148115108,4.0,0.25,0.2,0.2,0.0,0.05,25,0.8333333333333334,1910,4.0,0.48380164109344576,0.000703891202780082,0.5896991271299976,0.004764296901593199,0.008079199514471933,1821,20.0,1.0,0.31984607541595783,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1237,0.004344890305179187,smooth,1910,0.0022844624109485357,-47.421862222265645,12000,0.038005120698587344,16,0.05,14457,0.15211823540980585,4.0,0.25,0.2,0.2,0.0,0.05,100,0.8333333333333334,1910,4.0,0.5289535559756355,0.0011050320261632774,0.5896991271299976,0.004764296901593199,0.008079199514471933,1821,20.0,1.0,0.26856455156151915,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1237,0.0036178807709199698,smooth,1910,0.0024668489967829463,-31.81508311133023,12000,0.038005120698587344,16,0.05,14457,0.15211823540980585,4.0,0.25,0.2,0.2,0.0,0.05,100,0.8333333333333334,1910,4.0,0.5289535559756355,0.0011050320261632774,0.5896991271299976,0.004764296901593199,0.008079199514471933,1821,20.0,1.0,0.3223716594822317,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1237,0.007276453411883992,smooth,1910,0.004408259682812992,-39.417468465978644,12000,0.04898236379366946,16,0.05,14457,0.19578890719950176,4.0,0.25,0.2,0.2,0.0,0.05,400,0.8333333333333334,1910,4.0,0.5456036426414371,0.0014275648217297308,0.5898288261410543,0.0047913467986983255,0.00812328354659374,1821,20.0,1.0,0.26537905254912825,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1237,0.006065618893503333,smooth,1910,0.004143969611020007,-31.68100924608922,12000,0.04898236379366946,16,0.05,14457,0.19578890719950176,4.0,0.25,0.2,0.2,0.0,0.05,400,0.8333333333333334,1910,4.0,0.5456036426414371,0.0014275648217297308,0.5898288261410543,0.0047913467986983255,0.00812328354659374,1821,20.0,1.0,0.31973273225503973,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1563,0.008591406057766149,step,1821,0.00433792872192377,-49.50851242792178,5000,0.050247052862687915,8,0.02,14457,0.060296463435225496,20.0,0.0,0.2,0.35,0.2,0.05,25,0.8333333333333334,1910,7.0,0.3882986002951469,0.0001889397106036469,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1821,20.0,1.0,0.38796775374459136,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
1563,0.006052212378600692,step,1821,0.004383112840150024,-27.578337210244662,5000,0.050247052862687915,8,0.02,14457,0.060296463435225496,20.0,0.0,0.2,0.35,0.2,0.05,25,0.8333333333333334,1910,7.0,0.3882986002951469,0.0001889397106036469,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1821,20.0,1.0,0.697607028190348,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
1563,0.004134387912738256,step,1821,0.0035613902275638486,-13.859311154838016,5000,0.050247052862687915,8,0.02,14457,0.060296463435225496,20.0,0.0,0.2,0.35,0.2,0.05,25,0.8333333333333334,1910,7.0,0.3882986002951469,0.0001889397106036469,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1821,20.0,1.0,0.834490618736115,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
1563,0.007928074250295227,step,1821,0.0032355066747524384,-59.18924857909909,5000,0.062336395511850565,8,0.02,14457,0.07480367461422067,20.0,0.0,0.2,0.35,0.2,0.05,100,0.8333333333333334,1910,7.0,0.3517585779656476,0.00023439823546008218,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1821,20.0,1.0,0.4229545653848912,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
1563,0.0062566970131816045,step,1821,0.0045508413592759795,-27.26447597369235,5000,0.062336395511850565,8,0.02,14457,0.07480367461422067,20.0,0.0,0.2,0.35,0.2,0.05,100,0.8333333333333334,1910,7.0,0.3517585779656476,0.00023439823546008218,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1821,20.0,1.0,0.730967644574355,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
1563,0.0026712241180200675,step,1821,0.0020615715814578657,-22.822964664383207,5000,0.062336395511850565,8,0.02,14457,0.07480367461422067,20.0,0.0,0.2,0.35,0.2,0.05,100,0.8333333333333334,1910,7.0,0.3517585779656476,0.00023439823546008218,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1821,20.0,1.0,0.8551940836019399,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
1563,0.015378430871178581,step,1821,0.006286883521144376,-59.11882315037153,5000,0.08516959938007126,8,0.02,14457,0.1022035192560855,20.0,0.0,0.2,0.35,0.2,0.05,400,0.8333333333333334,1910,7.0,0.39178770908730254,0.00032057705503085894,0.0234238643098983,0.0006366537802637434,0.02717970749150517,1821,20.0,1.0,0.4229545653848912,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
1563,0.009032886016726277,step,1821,0.006537282912157661,-27.62797072771078,5000,0.08516959938007126,8,0.02,14457,0.1022035192560855,20.0,0.0,0.2,0.35,0.2,0.05,400,0.8333333333333334,1910,7.0,0.39178770908730254,0.00032057705503085894,0.0234238643098983,0.0006366537802637434,0.02717970749150517,1821,20.0,1.0,0.730967644574355,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
1563,0.004868849724276598,step,1821,0.004078296621843796,-16.236958361869746,5000,0.08516959938007126,8,0.02,14457,0.1022035192560855,20.0,0.0,0.2,0.35,0.2,0.05,400,0.8333333333333334,1910,7.0,0.39178770908730254,0.00032057705503085894,0.0234238643098983,0.0006366537802637434,0.02717970749150517,1821,20.0,1.0,0.8551940836019399,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
1237,0.004303325702859985,smooth,1910,0.0030334813619157294,-29.508441345732173,12000,0.024208773580267334,16,0.05,14460,0.09689736148115108,4.0,0.25,0.2,0.2,0.0,0.05,25,0.8333333333333334,1910,4.0,0.48380164109344576,0.000703891202780082,0.5896991271299976,0.004764296901593199,0.008079199514471933,1831,20.0,1.0,0.26616097096042696,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1237,0.003860602372604268,smooth,1910,0.0032089100156262166,-16.88058738197469,12000,0.024208773580267334,16,0.05,14460,0.09689736148115108,4.0,0.25,0.2,0.2,0.0,0.05,25,0.8333333333333334,1910,4.0,0.48380164109344576,0.000703891202780082,0.5896991271299976,0.004764296901593199,0.008079199514471933,1831,20.0,1.0,0.31984607541595783,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1237,0.004344890305179187,smooth,1910,0.0022844624109485357,-47.421862222265645,12000,0.038005120698587344,16,0.05,14460,0.15211823540980585,4.0,0.25,0.2,0.2,0.0,0.05,100,0.8333333333333334,1910,4.0,0.5289535559756355,0.0011050320261632774,0.5896991271299976,0.004764296901593199,0.008079199514471933,1831,20.0,1.0,0.26856455156151915,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1237,0.0036178807709199698,smooth,1910,0.0024668489967829463,-31.81508311133023,12000,0.038005120698587344,16,0.05,14460,0.15211823540980585,4.0,0.25,0.2,0.2,0.0,0.05,100,0.8333333333333334,1910,4.0,0.5289535559756355,0.0011050320261632774,0.5896991271299976,0.004764296901593199,0.008079199514471933,1831,20.0,1.0,0.3223716594822317,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1237,0.007276453411883992,smooth,1910,0.004408259682812992,-39.417468465978644,12000,0.04898236379366946,16,0.05,14460,0.19578890719950176,4.0,0.25,0.2,0.2,0.0,0.05,400,0.8333333333333334,1910,4.0,0.5456036426414371,0.0014275648217297308,0.5898288261410543,0.0047913467986983255,0.00812328354659374,1831,20.0,1.0,0.26537905254912825,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1237,0.006065618893503333,smooth,1910,0.004143969611020007,-31.68100924608922,12000,0.04898236379366946,16,0.05,14460,0.19578890719950176,4.0,0.25,0.2,0.2,0.0,0.05,400,0.8333333333333334,1910,4.0,0.5456036426414371,0.0014275648217297308,0.5898288261410543,0.0047913467986983255,0.00812328354659374,1831,20.0,1.0,0.31973273225503973,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1563,0.008591406057766149,step,1831,0.00433792872192377,-49.50851242792178,5000,0.050247052862687915,8,0.02,14460,0.060296463435225496,20.0,0.0,0.2,0.5,0.2,0.05,25,0.8333333333333334,1910,7.0,0.3882986002951469,0.0001889397106036469,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1831,20.0,1.0,0.38796775374459136,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
1563,0.006052212378600692,step,1831,0.004383112840150024,-27.578337210244662,5000,0.050247052862687915,8,0.02,14460,0.060296463435225496,20.0,0.0,0.2,0.5,0.2,0.05,25,0.8333333333333334,1910,7.0,0.3882986002951469,0.0001889397106036469,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1831,20.0,1.0,0.697607028190348,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
1563,0.004134387912738256,step,1831,0.0035613902275638486,-13.859311154838016,5000,0.050247052862687915,8,0.02,14460,0.060296463435225496,20.0,0.0,0.2,0.5,0.2,0.05,25,0.8333333333333334,1910,7.0,0.3882986002951469,0.0001889397106036469,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1831,20.0,1.0,0.834490618736115,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
1563,0.007928074250295227,step,1831,0.0032355066747524384,-59.18924857909909,5000,0.062336395511850565,8,0.02,14460,0.07480367461422067,20.0,0.0,0.2,0.5,0.2,0.05,100,0.8333333333333334,1910,7.0,0.3517585779656476,0.00023439823546008218,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1831,20.0,1.0,0.4229545653848912,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
1563,0.0062566970131816045,step,1831,0.0045508413592759795,-27.26447597369235,5000,0.062336395511850565,8,0.02,14460,0.07480367461422067,20.0,0.0,0.2,0.5,0.2,0.05,100,0.8333333333333334,1910,7.0,0.3517585779656476,0.00023439823546008218,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1831,20.0,1.0,0.730967644574355,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
1563,0.0026712241180200675,step,1831,0.0020615715814578657,-22.822964664383207,5000,0.062336395511850565,8,0.02,14460,0.07480367461422067,20.0,0.0,0.2,0.5,0.2,0.05,100,0.8333333333333334,1910,7.0,0.3517585779656476,0.00023439823546008218,0.023423201369805212,0.0006335123129836391,0.02704635899174304,1831,20.0,1.0,0.8551940836019399,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
1563,0.015378430871178581,step,1831,0.006286883521144376,-59.11882315037153,5000,0.08516959938007126,8,0.02,14460,0.1022035192560855,20.0,0.0,0.2,0.5,0.2,0.05,400,0.8333333333333334,1910,7.0,0.39178770908730254,0.00032057705503085894,0.0234238643098983,0.0006366537802637434,0.02717970749150517,1831,20.0,1.0,0.4229545653848912,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
