scale,curve_name,label,feature,base_mae,corr_mae,delta_pct,kappa,resid_peak_step,phi_peak_step,peak_lag_steps,feature_width_steps,feature_width_frac,raw_lowfreq_r2,remaining_lowfreq_r2
25,constant_72000.csv,constant 72k,S10_current,0.0015795124507172926,0.0015795124507172926,0.0,0.0,11776.0,nan,nan,nan,nan,0.8956636640419422,0.8956636640419422
25,constant_72000.csv,constant 72k,step_tau1024,0.0015795124507172926,0.0015795124507172926,0.0,0.0,11776.0,nan,nan,nan,nan,0.8956636640419422,0.8956636640419422
25,constant_72000.csv,constant 72k,step_tau2304,0.0015795124507172926,0.0015795124507172926,0.0,0.0,11776.0,nan,nan,nan,nan,0.8956636640419422,0.8956636640419422
25,cosine_72000.csv,cosine 72k,S10_current,0.00744534704076948,0.004345099768276942,-41.64006399589033,0.4814157232423702,35312.0,59888.0,24576.0,50048.0,0.7174311926605504,0.961190878885674,0.9774599503461148
25,cosine_72000.csv,cosine 72k,step_tau1024,0.00744534704076948,0.0010712923831922429,-85.61124985408975,0.5217620665597293,35312.0,38128.0,2816.0,49792.0,0.7137614678899082,0.961190878885674,0.9019862366164481
25,cosine_72000.csv,cosine 72k,step_tau2304,0.00744534704076948,0.0012742985602372573,-82.88463179406668,0.23160137949842455,35312.0,39408.0,4096.0,49792.0,0.7137614678899082,0.961190878885674,0.9283587676950018
25,cosine_24000.csv,cosine 24k,S10_current,0.004428106847791531,0.004428106847791531,0.0,0.0,11248.0,20720.0,9472.0,nan,nan,0.7459151182494589,0.7459151182494589
25,cosine_24000.csv,cosine 24k,step_tau1024,0.004428106847791531,0.004428106847791531,0.0,0.0,11248.0,14064.0,2816.0,nan,nan,0.7459151182494589,0.7459151182494589
25,cosine_24000.csv,cosine 24k,step_tau2304,0.004428106847791531,0.004428106847791531,0.0,0.0,11248.0,15344.0,4096.0,nan,nan,0.7459151182494589,0.7459151182494589
25,wsd_20000_24000.csv,WSD exp cooldown,S10_current,0.003408385839825258,0.0020677978415568985,-39.33204928280916,0.04769636075258367,23008.0,23904.0,896.0,3328.0,0.15316642120765833,0.8540844870936826,0.6816009294986091
25,wsd_20000_24000.csv,WSD exp cooldown,step_tau1024,0.003408385839825258,0.0023612558575908187,-30.722166780511085,0.037592292094413525,23008.0,21344.0,-1664.0,3200.0,0.14727540500736377,0.8540844870936826,0.5844761238693634
25,wsd_20000_24000.csv,WSD exp cooldown,step_tau2304,0.003408385839825258,0.002083525831253786,-38.870599481172455,0.02350569186753087,23008.0,21984.0,-1024.0,3200.0,0.14727540500736377,0.8540844870936826,0.6844275028616968
25,wsdld_20000_24000.csv,WSD linear cooldown,S10_current,0.0031360955249893426,0.0020924799674051755,-33.2775436611649,0.051012194550503306,23648.0,23904.0,256.0,3328.0,0.15316642120765833,0.872976850191299,0.7075266677528829
25,wsdld_20000_24000.csv,WSD linear cooldown,step_tau1024,0.0031360955249893426,0.0020661579285008785,-34.116868825036825,0.03820768044080277,23648.0,23904.0,256.0,3200.0,0.14727540500736377,0.872976850191299,0.6963686454538438
25,wsdld_20000_24000.csv,WSD linear cooldown,step_tau2304,0.0031360955249893426,0.0020198592768167025,-35.593183921795024,0.023520566948043414,23648.0,23904.0,256.0,3200.0,0.14727540500736377,0.872976850191299,0.7239869915805979
25,wsdcon_3.csv,step to 3e-5,S10_current,0.004487187642230267,0.0027691802587348677,-38.286952106186014,0.017559440308880705,8384.0,8000.0,-384.0,5248.0,0.4385026737967914,0.7788479049767821,0.894356116139694
25,wsdcon_3.csv,step to 3e-5,step_tau1024,0.004487187642230267,0.0025387202817564324,-43.42290797327539,0.03002340368515867,8384.0,8000.0,-384.0,2944.0,0.24598930481283424,0.7788479049767821,0.6798124410154454
25,wsdcon_3.csv,step to 3e-5,step_tau2304,0.004487187642230267,0.0022298236731503837,-50.30687702549266,0.02170097513237618,8384.0,8000.0,-384.0,4992.0,0.41711229946524064,0.7788479049767821,0.8353397270264346
25,wsdcon_9.csv,step to 9e-5,S10_current,0.002926482771138891,0.002199432037829934,-24.84384123081691,0.016135752669323045,8256.0,8000.0,-256.0,3200.0,0.26737967914438504,0.8511403973063221,0.8619357102954752
25,wsdcon_9.csv,step to 9e-5,step_tau1024,0.002926482771138891,0.0021688527860202157,-25.88875603815123,0.01687392772472973,8256.0,8000.0,-256.0,2944.0,0.24598930481283424,0.8511403973063221,0.8600545653606091
25,wsdcon_9.csv,step to 9e-5,step_tau2304,0.002926482771138891,0.0026573957125124565,-9.194896388257723,0.009049006573220752,8256.0,8000.0,-256.0,4992.0,0.41711229946524064,0.8511403973063221,0.8929704816189598
25,wsdcon_18.csv,step to 18e-5,S10_current,0.002504818961791151,0.0019511367245959523,-22.104680842853032,0.03096651876116605,8256.0,8000.0,-256.0,1664.0,0.13903743315508021,0.8407071947591086,0.7456804481045722
25,wsdcon_18.csv,step to 18e-5,step_tau1024,0.002504818961791151,0.0016625815711918696,-33.624681202389674,0.026415673566957617,8256.0,8000.0,-256.0,2944.0,0.24598930481283424,0.8407071947591086,0.5855835572061552
25,wsdcon_18.csv,step to 18e-5,step_tau2304,0.002504818961791151,0.0013783518487762813,-44.97199718615006,0.019356517624443948,8256.0,8000.0,-256.0,4992.0,0.41711229946524064,0.8407071947591086,0.45917419848573315
100,constant_72000.csv,constant 72k,S10_current,0.004776169698442608,0.004776169698442608,0.0,0.0,68992.0,nan,nan,nan,nan,0.9414570876136136,0.9414570876136136
100,constant_72000.csv,constant 72k,step_tau1024,0.004776169698442608,0.004776169698442608,0.0,0.0,68992.0,nan,nan,nan,nan,0.9414570876136136,0.9414570876136136
100,constant_72000.csv,constant 72k,step_tau2304,0.004776169698442608,0.004776169698442608,0.0,0.0,68992.0,nan,nan,nan,nan,0.9414570876136136,0.9414570876136136
100,cosine_72000.csv,cosine 72k,S10_current,0.007265129575917493,0.003712420560600379,-48.90083484668547,0.5358652541815773,42608.0,59888.0,17280.0,50048.0,0.7174311926605504,0.9961267331239279,0.9812136564918984
100,cosine_72000.csv,cosine 72k,step_tau1024,0.007265129575917493,0.000986502278465856,-86.42140834299884,0.5539993714799405,42608.0,38128.0,-4480.0,49792.0,0.7137614678899082,0.9961267331239279,0.9405008137916735
100,cosine_72000.csv,cosine 72k,step_tau2304,0.007265129575917493,0.0008826459067877204,-87.85092684769833,0.2479646629541914,42608.0,39408.0,-3200.0,49792.0,0.7137614678899082,0.9961267331239279,0.8977847069474119
100,cosine_24000.csv,cosine 24k,S10_current,0.0032781062167547585,0.0032781062167547585,0.0,0.0,6256.0,20720.0,14464.0,nan,nan,0.9836453095695459,0.9836453095695459
100,cosine_24000.csv,cosine 24k,step_tau1024,0.0032781062167547585,0.0032781062167547585,0.0,0.0,6256.0,14064.0,7808.0,nan,nan,0.9836453095695459,0.9836453095695459
100,cosine_24000.csv,cosine 24k,step_tau2304,0.0032781062167547585,0.0032781062167547585,0.0,0.0,6256.0,15344.0,9088.0,nan,nan,0.9836453095695459,0.9836453095695459
100,wsd_20000_24000.csv,WSD exp cooldown,S10_current,0.0037480705220761528,0.0016506139137705625,-55.96096967630575,0.07542027714846393,23264.0,23904.0,640.0,3328.0,0.15316642120765833,0.8956268071788401,0.294377366362392
100,wsd_20000_24000.csv,WSD exp cooldown,step_tau1024,0.0037480705220761528,0.002114614323102732,-43.58125572484178,0.059246686288329756,23264.0,21344.0,-1920.0,3200.0,0.14727540500736377,0.8956268071788401,0.20421031375232668
100,wsd_20000_24000.csv,WSD exp cooldown,step_tau2304,0.0037480705220761528,0.0016934956527649176,-54.816867964724246,0.03712669332421798,23264.0,21984.0,-1280.0,3200.0,0.14727540500736377,0.8956268071788401,0.250986820683319
100,wsdld_20000_24000.csv,WSD linear cooldown,S10_current,0.003248313740665229,0.0015944714981311872,-50.913870228414204,0.07879446245039433,23648.0,23904.0,256.0,3328.0,0.15316642120765833,0.9373001260350474,0.5912726544828737
100,wsdld_20000_24000.csv,WSD linear cooldown,step_tau1024,0.003248313740665229,0.0016807988786653825,-48.256264238774904,0.05845363343076171,23648.0,23904.0,256.0,3200.0,0.14727540500736377,0.9373001260350474,0.30084538350969947
100,wsdld_20000_24000.csv,WSD linear cooldown,step_tau2304,0.003248313740665229,0.0015668615908044099,-51.76384684801016,0.03615150019640254,23648.0,23904.0,256.0,3200.0,0.14727540500736377,0.9373001260350474,0.5476803465255697
100,wsdcon_3.csv,step to 3e-5,S10_current,0.0056693997340904675,0.004437767432249657,-21.724209962386777,0.02131705969865454,8384.0,8000.0,-384.0,6528.0,0.4744186046511628,0.7127769877219244,0.8791216618247311
100,wsdcon_3.csv,step to 3e-5,step_tau1024,0.0056693997340904675,0.00350098989129663,-38.2476089973873,0.0401211785411729,8384.0,8000.0,-384.0,2944.0,0.21395348837209302,0.7127769877219244,0.7652247857345919
100,wsdcon_3.csv,step to 3e-5,step_tau2304,0.0056693997340904675,0.0036947041814858993,-34.83076948571109,0.027782703355789612,8384.0,8000.0,-384.0,5760.0,0.4186046511627907,0.7127769877219244,0.9144078479191795
100,wsdcon_9.csv,step to 9e-5,S10_current,0.004934623402238123,0.004657600930585799,-5.613852346395454,0.015428668529379243,8384.0,8000.0,-384.0,3200.0,0.23255813953488372,0.8576904101017251,0.9624760084943651
