best_delta_pct,group,mean_delta_pct,mean_target_factor,non_harm_rows,rows,scale,slice,test_label,train_label,train_size,value,wins,worst_delta_pct
-34.60385595786876,,-8.274306660499345,0.4,15,15,,train_group,,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-34.219710564438664,,-7.986071621928716,0.5714285714285714,21,21,,train_group,,Cosine + WSD-con 18e-5,,Cosine + WSD-con 18e-5,12,0.0
-12.270812839556477,,-4.334985438995199,0.5714285714285714,21,21,,train_group,,Cosine + WSD-con 3e-5,,Cosine + WSD-con 3e-5,12,0.0
-16.69238474226503,,-4.966360352615627,0.5,18,18,,train_group,,Cosine + WSD-con 3e-5 + WSD-con 18e-5,,Cosine + WSD-con 3e-5 + WSD-con 18e-5,9,0.0
-13.717644963668885,,-4.713514587606544,0.5,18,18,,train_group,,Cosine + WSD-con 3e-5 + WSD-con 9e-5,,Cosine + WSD-con 3e-5 + WSD-con 9e-5,9,0.0
-14.257062835043799,,-4.199481492874282,0.4,15,15,,train_group,,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-26.562259515273347,,-6.620914484844837,0.5714285714285714,21,21,,train_group,,Cosine + WSD-con 9e-5,,Cosine + WSD-con 9e-5,12,0.0
-32.089178981086484,,-8.315146746338936,0.5,18,18,,train_group,,Cosine + WSD-con 9e-5 + WSD-con 18e-5,,Cosine + WSD-con 9e-5 + WSD-con 18e-5,9,0.0
-38.028075985815015,,-9.17622509510365,0.625,24,24,,train_group,,WSD linear,,WSD linear,15,0.0
-34.4903464250953,,-7.886282712051409,0.5714285714285714,21,21,,train_group,,WSD linear + WSD-con 18e-5,,WSD linear + WSD-con 18e-5,12,0.0
-12.862136093603437,,-3.702930178952541,0.5714285714285714,21,21,,train_group,,WSD linear + WSD-con 3e-5,,WSD linear + WSD-con 3e-5,12,0.0
-17.381700480941564,,-3.9663654664347,0.5,18,18,,train_group,,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,9,0.0
-14.491272742760074,,-3.670663442128939,0.5,18,18,,train_group,,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,9,0.0
-14.988243075435792,,-2.8363527850639225,0.4,15,15,,train_group,,WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-29.35364329943564,,-6.416387703830555,0.5714285714285714,21,21,,train_group,,WSD linear + WSD-con 9e-5,,WSD linear + WSD-con 9e-5,12,0.0
-33.3375615356581,,-7.408282801352509,0.5,18,18,,train_group,,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,9,0.0
-37.439775458397094,,-8.31338579353223,0.625,24,24,,train_group,,WSD sharp,,WSD sharp,15,0.0
-37.31964412462414,,-7.695724042300051,0.5714285714285714,21,21,,train_group,,WSD sharp + WSD linear,,WSD sharp + WSD linear,12,0.0
-38.04263854047187,,-7.992432624018887,0.5,18,18,,train_group,,WSD sharp + WSD linear + WSD-con 18e-5,,WSD sharp + WSD linear + WSD-con 18e-5,9,0.0
-14.119238704987403,,-3.050642410811009,0.5,18,18,,train_group,,WSD sharp + WSD linear + WSD-con 3e-5,,WSD sharp + WSD linear + WSD-con 3e-5,9,0.0
-18.50390677018574,,-2.592024795334201,0.4,15,15,,train_group,,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,6,0.0
-11.667947711671667,,-2.2116809956802164,0.4,15,15,,train_group,,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,6,0.0
-3.2165780682863243,,-0.5971318718377435,0.25,12,12,,train_group,,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,0.0
-34.60050538744812,,-6.744037656551815,0.5,18,18,,train_group,,WSD sharp + WSD linear + WSD-con 9e-5,,WSD sharp + WSD linear + WSD-con 9e-5,9,0.0
-36.13224860465628,,-6.714405185091221,0.4,15,15,,train_group,,WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,,WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-34.044060392908,,-7.670838361375993,0.5714285714285714,21,21,,train_group,,WSD sharp + WSD-con 18e-5,,WSD sharp + WSD-con 18e-5,12,0.0
-12.803241967873092,,-3.4864246376666435,0.5714285714285714,21,21,,train_group,,WSD sharp + WSD-con 3e-5,,WSD sharp + WSD-con 3e-5,12,0.0
-17.357856518528834,,-3.662215190823141,0.5,18,18,,train_group,,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,9,0.0
-12.77433443780599,,-3.3680407142413413,0.5,18,18,,train_group,,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,9,0.0
-13.210004850760292,,-2.4555035271527013,0.4,15,15,,train_group,,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,6,0.0
-28.883114216787753,,-6.049712574376097,0.5714285714285714,21,21,,train_group,,WSD sharp + WSD-con 9e-5,,WSD sharp + WSD-con 9e-5,12,0.0
-33.86676528950618,,-7.154949155225953,0.5,18,18,,train_group,,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,9,0.0
-34.1723484715313,,-7.003872556377849,0.625,24,24,,train_group,,WSD-con 18e-5,,WSD-con 18e-5,15,0.0
-12.140955133197417,,-3.8387351546117667,0.625,24,24,,train_group,,WSD-con 3e-5,,WSD-con 3e-5,15,0.0
-15.599995585793813,,-4.26302007355764,0.5714285714285714,21,21,,train_group,,WSD-con 3e-5 + WSD-con 18e-5,,WSD-con 3e-5 + WSD-con 18e-5,12,0.0
-12.78312853346526,,-4.059757786443007,0.5714285714285714,21,21,,train_group,,WSD-con 3e-5 + WSD-con 9e-5,,WSD-con 3e-5 + WSD-con 9e-5,12,0.0
-13.728351612592782,,-3.716920692903361,0.5,18,18,,train_group,,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,9,0.0
-24.823723775239483,,-5.713542584148565,0.625,24,24,,train_group,,WSD-con 9e-5,,WSD-con 9e-5,15,0.0
-30.16035191957919,,-6.926601342775823,0.5714285714285714,21,21,,train_group,,WSD-con 9e-5 + WSD-con 18e-5,,WSD-con 9e-5 + WSD-con 18e-5,12,0.0
0.0,extra_holdout,0.0,0.0,558,558,,group,,,,extra_holdout,0,0.0
-38.04263854047187,main_matrix,-11.79106933591719,1.0,558,558,,group,,,,main_matrix,558,-1.0263101049168721
