best_delta_pct,mean_delta_pct,mean_target_factor,mode,non_harm_rows,rows,wins,worst_delta_pct
-42.64361887195018,-4.944268057896223,1.0,no_predictive_shrinkage,909,1116,537,32.6431297998754
-38.04263854047187,-5.895534667958595,0.5,rho0p5_plus_Rtarget_gate,1116,1116,558,0.0
-38.04263854047187,-4.771317260211836,1.0,rho0p5_shrinkage,930,1116,558,22.53638404133347
