feature,feature_l2,feature_retention,kappa,method,mode,nuisance,projected_corr,projected_feature_l2,projected_raw_kappa,projected_resid_scale,projection_dot,scale,target_drop_factor_linear,target_drop_factor_sqrt,target_drop_norm,target_mode,tau,tau_mode,train_curve,train_label,train_retention,train_retention_power
step_tau1024,0.11708389971674071,1.93797665206087e-05,0.023206944032123724,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.7948557014503698,2.269058639832798e-06,19.367146967199773,0.0004830037113544302,4.394519215483622e-05,25,0.9999999994941389,0.9999999997470694,0.899999999544725,drop_linear,0.04348969389342121,eb_q75,cosine_72000.csv,Cosine,1.93797665206087e-05,0.0
step_tau1024,0.11708389971674071,1.93797665206087e-05,0.0,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,-0.2152508253416001,2.269058639832798e-06,0.0,0.00032111933339128726,-4.841531396446536e-06,100,0.9999999994941389,0.9999999997470694,0.899999999544725,drop_linear,0.04348969389342121,eb_q75,cosine_72000.csv,Cosine,1.93797665206087e-05,0.0
step_tau1024,0.11708401493295023,1.8783219359236477e-05,0.0,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,-0.9519463568802131,2.1992147359457235e-06,0.0,0.0009934172808634765,-5.8524554951827856e-05,400,0.9999999994941389,0.9999999997470694,0.899999999544725,drop_linear,0.04348969389342121,eb_q75,cosine_72000.csv,Cosine,1.8783219359236477e-05,0.0
step_tau1024,1.380020489328531,0.22994466072089623,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.4247181256171907,0.31732834320653425,0.015011587361088322,0.0014327146162544933,0.004763602146194307,25,0.9999360208900709,0.9999680099333533,0.8999424188010638,drop_linear,0.04628393399807282,eb_q75,wsd_20000_24000.csv,WSD sharp,0.22994466072089623,0.0
step_tau1024,1.380020489328531,0.23700281228519324,0.023575471142749355,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.6836836066753164,0.32706873698205036,0.023729883437788993,0.0013555814557579978,0.007761303004728921,100,0.9999360208900709,0.9999680099333533,0.8999424188010638,drop_linear,0.04628393399807282,eb_q75,wsd_20000_24000.csv,WSD sharp,0.23700281228519324,0.0
step_tau1024,1.3834383955697,0.23790425962799616,0.04083320041549969,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.6539834814066409,0.32912588723895236,0.04109897405803819,0.002152689656103861,0.013526736301462505,400,0.9999360208900709,0.9999680099333533,0.8999424188010638,drop_linear,0.04628393399807282,eb_q75,wsd_20000_24000.csv,WSD sharp,0.23790425962799616,0.0
step_tau1024,1.0271272069101527,0.055637793432795894,0.008751630948381332,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.12295078978649038,0.05714709136727168,0.009244076663374916,0.0010578266068382493,0.0005282720936879503,25,0.9997499999999999,0.9998749921865232,0.899775,drop_linear,0.05670635718727364,eb_q75,wsdld_20000_24000.csv,WSD linear,0.055637793432795894,0.0
step_tau1024,1.027127206910153,0.059515497305635524,0.01948414155956976,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.34367898526147417,0.061129986515406146,0.020509062755092556,0.0009015384328408536,0.0012537187296624264,100,0.9997499999999999,0.9998749921865232,0.899775,drop_linear,0.05670635718727364,eb_q75,wsdld_20000_24000.csv,WSD linear,0.059515497305635524,0.0
step_tau1024,1.039886450877079,0.058653740162073746,0.04652642024118771,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.42356115821515194,0.06099322968780526,0.04897932963696796,0.0013907034495122409,0.002987407502502314,400,0.9997499999999999,0.9998749921865232,0.899775,drop_linear,0.05670635718727364,eb_q75,wsdld_20000_24000.csv,WSD linear,0.058653740162073746,0.0
step_tau1024,3.6618399255743803,0.5133791769614567,0.01868192404256307,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,0.7966555859557267,1.8799123671559772,0.01870183771469566,0.0021387971910183925,0.03515781600840045,25,0.9999999999999999,0.9999999999999999,0.8999999999999999,drop_linear,0.04476449378637925,eb_q75,wsdcon_3.csv,WSD-con 3e-5,0.5133791769614567,0.0
