base_mae,corr_mae,delta_pct,feature,kappa,method,mode,nuisance,scale,target_factor_value,target_mode,target_retention,tau,tau_mode,test_curve,test_label,train_curve,train_label,train_retention_power,win
0.006687305974578527,0.006687305974578527,0.0,step_tau1024,0.0,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,400,0.7777777777777777,drop_linear,0.5449461592443003,0.04348969389342121,eb_q75,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0.0,0
0.0025579541942073844,0.0025579541942073844,0.0,step_tau1024,0.0,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,400,0.4444444444444443,drop_linear,0.5449461592443003,0.04348969389342121,eb_q75,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0.0,0
0.00744534704076948,0.007248834800084845,-2.6393966541595315,step_tau1024,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,25,0.9999999994941389,drop_linear,1.93797665206087e-05,0.04628393399807282,eb_q75,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.0,1
0.003408385839825258,0.002859354621422914,-16.108247252620078,step_tau1024,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,25,0.9999360208900709,drop_linear,0.22994466072089623,0.04628393399807282,eb_q75,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.0,1
0.0031360955249893426,0.0026677256777760516,-14.934808059294769,step_tau1024,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,25,0.9997499999999999,drop_linear,0.055637793432795894,0.04628393399807282,eb_q75,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.0,1
0.004487187642230267,0.0034063480601446935,-24.08723833863039,step_tau1024,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,25,0.9999999999999999,drop_linear,0.5133791769614567,0.04628393399807282,eb_q75,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.0,1
0.002926482771138891,0.002338834900189038,-20.080346166574547,step_tau1024,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,25,0.7777777777777777,drop_linear,0.5133791769614566,0.04628393399807282,eb_q75,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0.0,1
0.002504818961791151,0.0022678681746651527,-9.459796925066355,step_tau1024,0.014910927500274819,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,25,0.4444444444444443,drop_linear,0.5133791769614569,0.04628393399807282,eb_q75,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.0,1
0.007265129575917493,0.006954585055755744,-4.274452601521994,step_tau1024,0.023575471142749355,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,100,0.9999999994941389,drop_linear,1.93797665206087e-05,0.04628393399807282,eb_q75,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.0,1
0.0037480705220761528,0.0028850809011328315,-23.024903503290783,step_tau1024,0.023575471142749355,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,100,0.9999360208900709,drop_linear,0.23700281228519324,0.04628393399807282,eb_q75,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.0,1
0.003248313740665229,0.0025121109467984627,-22.66415293111428,step_tau1024,0.023575471142749355,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,100,0.9997499999999999,drop_linear,0.059515497305635524,0.04628393399807282,eb_q75,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.0,1
0.0056693997340904675,0.0043482684724329215,-23.30284198719483,step_tau1024,0.023575471142749355,step_tau1024__fourier2__eb_q75__R0p0__Tdrop_linear,single_curve,fourier2,100,0.9999999999999999,drop_linear,0.5449461592443003,0.04628393399807282,eb_q75,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.0,1
