cosine_to_wsd_mean,feature,method,nuisance,offdiag_mean_delta,offdiag_tests,offdiag_wins,offdiag_worst_delta,probe_to_wsd_mean,probe_to_wsd_worst,self_mean_delta,self_tests,self_wins,self_worst_delta,target_mode,tau_mode,train_retention_power
-1.77704143082242,step_tau1024,step_tau1024__dct4__eb_q75__R0p5__Tdrop_sqrt,dct4,-7.412169481607928,90,85,0.0,-14.14195424826747,-7.75911824956641,-8.641766907064754,18,17,0.0,drop_sqrt,eb_q75,0.5
-1.7769845831485516,step_tau1024,step_tau1024__dct4__eb_q75__R0p5__Tdrop_linear,dct4,-7.18292145298004,90,85,0.0,-14.140845896621729,-7.758148299159473,-8.300559807164289,18,17,0.0,drop_linear,eb_q75,0.5
-2.2951124579704643,step_tau768,step_tau768__dct2__none__R1p0__Tnone,dct2,-8.566236934727673,90,85,0.0,-12.935512923803419,-8.803877875147792,-10.51368046712599,18,17,0.0,none,none,1.0
-0.012080641242588156,step_tau768,step_tau768__fourier2__eb_q75__R0p5__Tnone,fourier2,-7.088060708915098,90,80,0.0,-13.944163712953735,-7.988809535828545,-8.540922197750767,18,16,0.0,none,eb_q75,0.5
-2.2951124579704643,step_tau768,step_tau768__dct2__none__R1p0__Tgate_0p01,dct2,-8.164804811070201,90,70,0.0,-12.935512923803419,-8.803877875147792,-10.434611886208334,18,15,0.0,gate_0p01,none,1.0
-2.2951124579704643,step_tau768,step_tau768__dct2__none__R1p0__Tgate_0p03,dct2,-8.164804811070201,90,70,0.0,-12.935512923803419,-8.803877875147792,-10.434611886208334,18,15,0.0,gate_0p03,none,1.0
-2.2951124579704643,step_tau768,step_tau768__dct2__none__R1p0__Tgate_0p05,dct2,-8.164804811070201,90,70,0.0,-12.935512923803419,-8.803877875147792,-10.434611886208334,18,15,0.0,gate_0p05,none,1.0
-0.012080641242588156,step_tau768,step_tau768__fourier2__eb_q75__R0p5__Tgate_0p01,fourier2,-6.7370851191036385,90,65,0.0,-13.944163712953735,-7.988809535828545,-8.540608359712051,18,15,0.0,gate_0p01,eb_q75,0.5
-0.012080641242588156,step_tau768,step_tau768__fourier2__eb_q75__R0p5__Tgate_0p03,fourier2,-6.7370851191036385,90,65,0.0,-13.944163712953735,-7.988809535828545,-8.540608359712051,18,15,0.0,gate_0p03,eb_q75,0.5
-0.012080641242588156,step_tau768,step_tau768__fourier2__eb_q75__R0p5__Tgate_0p05,fourier2,-6.7370851191036385,90,65,0.0,-13.944163712953735,-7.988809535828545,-8.540608359712051,18,15,0.0,gate_0p05,eb_q75,0.5
