feature,group_id,mean_delta,method,nuisance,target_group,target_mode,tau_mode,tests,train_retention_power,wins,worst_delta
S10_current,wsd,-45.43283835473955,S10_current__dct2__eb_q75__R0p0__Tgate_0p03,dct2,wsd,gate_0p03,eb_q75,6,0.0,6,-31.140282331519842
S10_current,wsd,56.35082049406987,S10_current__dct2__eb_q75__R0p0__Tgate_0p03,dct2,probe,gate_0p03,eb_q75,9,0.0,1,128.30395162301548
S10_current,wsd,0.0,S10_current__dct2__eb_q75__R0p0__Tgate_0p03,dct2,cosine,gate_0p03,eb_q75,3,0.0,0,0.0
S10_current,cosine,-19.027532191564706,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.0,6,-6.961099430640583
S10_current,cosine,148.16320845212536,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.0,1,308.56688800973836
S10_current,cosine,0.0,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.0,0,0.0
S10_current,probe,-19.96651000271913,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.0,6,-13.835510389884353
S10_current,probe,-16.986668576488274,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.0,9,-1.5595465897473515
S10_current,probe,0.0,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.0,0,0.0
S10_current,probe3,-21.720455948734937,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.0,6,-14.816889658387723
S10_current,probe3,-14.833043131792058,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.0,8,1.1859818608756845
S10_current,probe3,0.0,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.0,0,0.0
S10_current,wsd,-45.43283835473955,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.0,6,-31.140282331519842
S10_current,wsd,56.35082049406987,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.0,1,128.30395162301548
S10_current,wsd,0.0,S10_current__dct2__eb_q75__R0p0__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.0,0,0.0
S10_current,cosine,-19.027532191564706,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,wsd,none,eb_q75,6,0.0,6,-6.961099430640583
