curve,geometry_beats_table,geometry_mean_delta,geometry_worst_delta,label,rows,table_mean_delta,table_worst_delta
cosine_72000.csv,0,-17.795125010423323,-14.358067877085535,Cosine,3,-17.795125010423323,-14.358067877085535
wsd_20000_24000.csv,2,-54.32338769245518,-40.918422823186006,WSD sharp,3,-54.321344420505675,-40.8531173391397
wsdld_20000_24000.csv,2,-46.68771742519494,-33.982468687418965,WSD linear,3,-46.6802920887279,-33.93644382074867
wsdcon_3.csv,0,-53.190113117305124,-42.94210489175501,WSD-con 3e-5,3,-53.190113117305124,-42.94210489175501
wsdcon_9.csv,3,-9.824854724592035,-1.5363485015613465,WSD-con 9e-5,3,-8.523074253411767,-0.410037060093571
wsdcon_18.csv,0,-11.718410514585676,-7.030977928538551,WSD-con 18e-5,3,-11.718410514585676,-7.030977928538551
cosine_24000.csv,0,0.0,0.0,Cosine 24k,3,0.0,0.0
constant_24000.csv,0,0.0,0.0,Constant 24k,3,0.0,0.0
constant_72000.csv,0,0.0,0.0,Constant 72k,3,0.0,0.0
