curve,geometry_delta_pct,geometry_kappa,geometry_minus_table_delta,geometry_tau,geometry_tau_mae,label,mpl_mae,route,scale,table_delta_pct,table_kappa,table_tau,table_tau_mae,train_curves,uses_target_residual
cosine_72000.csv,-14.358067877085535,0.010778379494651007,0.0,8192.0,0.006376339058971219,Cosine,0.00744534704076948,smooth_decay,25,-14.358067877085535,0.010778379494651007,8192.0,0.006376339058971219,wsdcon_3,0
wsd_20000_24000.csv,-40.918422823186006,0.017772423844906595,-0.11041238541810161,4998.75,0.0020137281104399595,WSD sharp,0.003408385839825258,finite_tail,25,-40.8531173391397,0.017661820970813195,5120.0,0.002015953973310823,wsdld_20000_24000,0
wsdld_20000_24000.csv,-33.982468687418965,0.017418690170498186,-0.06966755853319295,4998.75,0.002070372845202292,WSD linear,0.0031360955249893426,finite_tail,25,-33.93644382074867,0.017299103194726963,5120.0,0.002071816228986321,wsd_20000_24000,0
wsdcon_3.csv,-58.366675422734595,0.029234822517060725,0.0,1535.9999999999993,0.0018681653954806699,WSD-con 3e-5,0.004487187642230267,full_step_drop,25,-58.366675422734595,0.029234822517060725,1536.0,0.0018681653954806699,wsd_20000_24000+wsdld_20000_24000,0
wsdcon_9.csv,-17.60810144499455,0.031366379561541896,-1.7837763612554847,733.1839999999999,0.002411184716026467,WSD-con 9e-5,0.002926482771138891,medium_step_drop,25,-16.11172217529311,0.03116516808947806,768.0,0.002454975997545174,wsdcon_3+wsdcon_18,0
wsdcon_18.csv,-16.315803898431447,0.02147010144323278,0.0,512.0,0.00209613761197458,WSD-con 18e-5,0.002504818961791151,weak_step_drop,25,-16.315803898431447,0.02147010144323278,512.0,0.00209613761197458,wsdcon_9,0
cosine_24000.csv,0.0,0.0,0.0,0.0,0.004428106847791531,Cosine 24k,0.004428106847791531,short_smooth_no_transfer,25,0.0,0.0,0.0,0.004428106847791531,none,0
constant_24000.csv,0.0,0.0,0.0,0.0,0.003761619732988638,Constant 24k,0.003761619732988638,no_lr_drop,25,0.0,0.0,0.0,0.003761619732988638,none,0
constant_72000.csv,0.0,0.0,0.0,0.0,0.0015795124507172926,Constant 72k,0.0015795124507172926,no_lr_drop,25,0.0,0.0,0.0,0.0015795124507172926,none,0
cosine_72000.csv,-14.372584020967627,0.010529130678293495,0.0,8192.0,0.0062209427233865825,Cosine,0.007265129575917493,smooth_decay,100,-14.372584020967627,0.010529130678293495,8192.0,0.0062209427233865825,wsdcon_3,0
wsd_20000_24000.csv,-59.130144317164635,0.02739799774299689,-0.008986783298603473,4998.75,0.0015318310132634175,WSD sharp,0.0037480705220761528,finite_tail,100,-59.126471101696055,0.02722931495058765,5120.0,0.0015319686879696078,wsdld_20000_24000,0
wsdld_20000_24000.csv,-51.457499053760955,0.027549774175833316,-0.12721905443433545,4998.75,0.0015768127282992314,WSD linear,0.003248313740665229,finite_tail,100,-51.39566507845967,0.027361447541414962,5120.0,0.0015788212898153425,wsd_20000_24000,0
wsdcon_3.csv,-42.94210489175501,0.04558388881020212,0.0,1535.9999999999993,0.0032348401535444594,WSD-con 3e-5,0.0056693997340904675,full_step_drop,100,-42.94210489175501,0.04558388881020212,1536.0,0.0032348401535444594,wsd_20000_24000+wsdld_20000_24000,0
wsdcon_9.csv,-1.5363485015613465,0.03813893193117151,-1.1309487504753912,733.1839999999999,0.004858810389540142,WSD-con 9e-5,0.004934623402238123,medium_step_drop,100,-0.410037060093571,0.03787927416574922,768.0,0.004914389617512897,wsdcon_3+wsdcon_18,0
wsdcon_18.csv,-11.808449716787027,0.024039524082155365,0.0,512.0,0.0012184901180827513,WSD-con 18e-5,0.0013816404339982303,weak_step_drop,100,-11.808449716787027,0.024039524082155365,512.0,0.0012184901180827513,wsdcon_9,0
cosine_24000.csv,0.0,0.0,0.0,0.0,0.0032781062167547585,Cosine 24k,0.0032781062167547585,short_smooth_no_transfer,100,0.0,0.0,0.0,0.0032781062167547585,none,0
constant_24000.csv,0.0,0.0,0.0,0.0,0.001848699219840022,Constant 24k,0.001848699219840022,no_lr_drop,100,0.0,0.0,0.0,0.001848699219840022,none,0
