scale,curve_name,label,kappa,base_mae,corrected_mae,delta_pct,origin_r2,pearson,resid_peak_step,phi_peak_step,peak_lag_steps,feature_width_steps,feature_width_frac,positive_residual_width_steps,positive_residual_width_frac,drop_total,drop_concentration,drop_neff
25,constant_72000.csv,constant 72k,0.0,0.0015795124507172926,0.0015795124507172926,0.0,0.0,nan,11776.0,nan,nan,nan,nan,22784.0,0.326605504587156,0.0,0.0,0.0
25,cosine_72000.csv,cosine 72k,0.4814157232423704,0.00744534704076948,0.004345099768276944,-41.64006399589031,0.6287990283133299,-0.03833892602063954,35312.0,59888.0,24576.0,50048.0,0.7174311926605504,56192.0,0.8055045871559633,0.00026999999986341747,2.2491356343921027e-05,56610.17167691964
25,cosine_24000.csv,cosine 24k,0.0,0.004428106847791531,0.004428106847791531,0.0,0.0,nan,11248.0,20720.0,9472.0,15616.0,0.7176470588235294,11776.0,0.5411764705882353,0.0002699999986033157,7.192290886014243e-05,17702.837053372492
25,wsd_20000_24000.csv,WSD exp cooldown,0.04769636075258369,0.003408385839825258,0.0020677978415568985,-39.33204928280916,0.6839290387101545,0.7998285798301225,23008.0,23904.0,896.0,3328.0,0.15316642120765833,15712.0,0.7231222385861561,0.00026998272564031915,0.0006394638242375369,2842.3242127574717
25,wsdld_20000_24000.csv,WSD linear cooldown,0.0510121945505036,0.0031360955249893426,0.0020924799674051755,-33.2775436611649,0.5978493524296389,0.742177661440994,23648.0,23904.0,256.0,3328.0,0.15316642120765833,15968.0,0.7349042709867453,0.0002699325,0.0002500625156292296,3999.000000000001
25,wsdcon_3.csv,step to 3e-5,0.017559440308880722,0.004487187642230267,0.0027691802587348816,-38.2869521061857,0.7557723542619152,0.8694804302664778,8384.0,8000.0,-384.0,5248.0,0.4385026737967914,4032.0,0.33689839572192515,0.00026999999999999995,1.0,1.0
25,wsdcon_9.csv,step to 9e-5,0.016135752669323017,0.002926482771138891,0.002199432037829934,-24.84384123081691,0.4667765673717962,0.774290846915672,8256.0,8000.0,-256.0,3200.0,0.26737967914438504,7360.0,0.6149732620320856,0.00020999999999999995,1.0,1.0
25,wsdcon_18.csv,step to 18e-5,0.030966518761166042,0.002504818961791151,0.0019511367245959477,-22.10468084285321,0.45153607377125327,0.6301224745790839,8256.0,8000.0,-256.0,1664.0,0.13903743315508021,6848.0,0.5721925133689839,0.00011999999999999996,1.0,1.0
100,constant_72000.csv,constant 72k,0.0,0.004776169698442608,0.004776169698442608,0.0,0.0,nan,68992.0,nan,nan,nan,nan,47360.0,0.6788990825688074,0.0,0.0,0.0
100,cosine_72000.csv,cosine 72k,0.5358652541815775,0.007265129575917493,0.00371242056060038,-48.900834846685456,0.7420315255037186,0.42486160576900356,42608.0,59888.0,17280.0,50048.0,0.7174311926605504,50048.0,0.7174311926605504,0.00026999999986341747,2.2491356343921027e-05,56610.17167691964
100,cosine_24000.csv,cosine 24k,0.0,0.0032781062167547585,0.0032781062167547585,0.0,0.0,nan,6256.0,20720.0,14464.0,15616.0,0.7176470588235294,10368.0,0.4764705882352941,0.0002699999986033157,7.192290886014243e-05,17702.837053372492
100,wsd_20000_24000.csv,WSD exp cooldown,0.07542027714846399,0.0037480705220761528,0.0016506139137705599,-55.960969676305815,0.8972515186882649,0.9645067924639875,23264.0,23904.0,640.0,3328.0,0.15316642120765833,17760.0,0.8173784977908689,0.00026998272564031915,0.0006394638242375369,2842.3242127574717
100,wsdld_20000_24000.csv,WSD linear cooldown,0.07879446245039477,0.003248313740665229,0.0015944714981311924,-50.91387022841405,0.8570136103101509,0.9575628569010614,23648.0,23904.0,256.0,3328.0,0.15316642120765833,18400.0,0.8468335787923417,0.0002699325,0.0002500625156292296,3999.000000000001
100,wsdcon_3.csv,step to 3e-5,0.021317059698654564,0.0056693997340904675,0.004437767432249661,-21.7242099623867,0.5726556993798414,0.7749996484485984,8384.0,8000.0,-384.0,6528.0,0.4744186046511628,6080.0,0.4418604651162791,0.00026999999999999995,1.0,1.0
100,wsdcon_9.csv,step to 9e-5,0.015428668529379208,0.004934623402238123,0.004657600930585799,-5.613852346395454,0.12929593649029736,0.5815254899829823,8384.0,8000.0,-384.0,3200.0,0.23255813953488372,5440.0,0.3953488372093023,0.00020999999999999995,1.0,1.0
100,wsdcon_18.csv,step to 18e-5,0.01824804267566827,0.0013816404339982303,0.0012230851683060861,-11.475870406695643,0.3648655100690199,0.5677353309044973,8256.0,8000.0,-256.0,1664.0,0.12093023255813953,11968.0,0.8697674418604651,0.00011999999999999996,1.0,1.0
400,constant_72000.csv,constant 72k,0.0,0.004118245803084534,0.004118245803084534,0.0,0.0,nan,70656.0,nan,nan,nan,nan,32384.0,0.46422018348623856,0.0,0.0,0.0
400,cosine_72000.csv,cosine 72k,0.3423761046470629,0.005612615040270773,0.004266571104636405,-23.9824738731668,0.4270073780958733,0.5519162762632618,44544.0,59776.0,15232.0,50048.0,0.7174311926605504,33280.0,0.47706422018348627,0.00026999999986341747,2.2491356343921027e-05,56610.17167691964
400,cosine_24000.csv,cosine 24k,0.0,0.007134640765897494,0.007134640765897494,0.0,0.0,nan,12016.0,20720.0,8704.0,15616.0,0.7176470588235294,nan,nan,0.0002699999986033157,7.192290886014243e-05,17702.837053372492
400,wsd_20000_24000.csv,WSD exp cooldown,0.10121370162592605,0.004701998914275349,0.002021126465063665,-57.0155905623991,0.8917672282616435,0.963082525253404,23680.0,23936.0,256.0,3328.0,0.15294117647058825,3328.0,0.15294117647058825,0.00026998272564031915,0.0006394638242375369,2842.3242127574717
400,wsdld_20000_24000.csv,WSD linear cooldown,0.1016427946242594,0.0038535563963712593,0.001808973623532796,-53.057035178303494,0.8569154983588777,0.9545284127726328,23680.0,23936.0,256.0,3328.0,0.15294117647058825,3072.0,0.1411764705882353,0.0002699325,0.0002500625156292296,3999.000000000001
