scale,kappa,base_mae,corrected_mae,delta_pct,origin_r2,pearson,mean_residual,mean_estimate,mean_remaining
25,0.4814157232423704,0.00744534704076948,0.004345099768276944,-41.64006399589031,0.6287990283133299,-0.03833892602063954,0.00744534704076948,0.005469562972741182,0.0019757840680282995
100,0.5358652541815775,0.007265129575917493,0.00371242056060038,-48.900834846685456,0.7420315255037186,0.42486160576900356,0.007243542953210639,0.006088186594550634,0.001155356358659994
400,0.3423761046470629,0.005612615040270773,0.004266571104636405,-23.9824738731668,0.4270073780958733,0.5519162762632618,0.0032598553151681775,0.0038905069776844726,-0.0006306516625162919
