scale,mae,rmse,mean_residual,max_abs_residual
25,0.0074453470,0.0080112519,0.0074453470,0.0289531868
100,0.0072651296,0.0082088150,0.0072435430,0.0134652552
400,0.0056126150,0.0069141736,0.0032598553,0.0322129609
