alpha,cap,cap_saturation_rate,cosine_to_wsd,estimator,max_cosine_kappa,max_kappa,mean_offdiag,median_offdiag,worst_offdiag,wsdcon9_to_wsd
0.0,,0.0,-24.337893373475747,alpha_0p00_nocap,0.0507878835053786,0.11503700850572161,-0.8260007415570934,-9.113220964539952,100.06539935351971,-19.578342465392282
0.25,,0.0,-10.222245377195708,alpha_0p25_nocap,0.021228131554663247,0.0778757846708664,-9.634080809264155,-9.735359836677658,22.596580483818006,-17.687827678047324
0.5,,0.0,-4.272656284804155,alpha_0p50_nocap,0.008872855850635438,0.05271901553143667,-12.078853252037236,-9.984551704002955,-2.7249185632545228,-15.977747413000229
0.75,,0.0,-1.7858690585537351,alpha_0p75_nocap,0.003708643445299414,0.035688816624451995,-11.312971431779184,-9.980613827813134,-1.445960350554202,-14.426110484780713
1.0,,0.0,-0.7464509386449417,alpha_1p00_nocap,0.0015501250596083218,0.025349176121368444,-9.54992752424516,-8.521772637421797,-0.6043771550578447,-13.025405551021583
1.25,,0.0,-0.3119988003237095,alpha_1p25_nocap,0.0006479155345794394,0.024172991075671012,-7.974607734307553,-6.2024485818061805,-0.2526153261503368,-11.760925890578562
1.5,,0.0,-0.13040810368606012,alpha_1p50_nocap,0.0002708133368642091,0.023051380240003073,-6.744311666949093,-4.515757921203766,-0.10558721896106367,-10.619400333892527
0.0,0.03,0.6111111111111112,-17.377593783834996,alpha_0p00_cap_0p03,0.03,0.03,-12.167360958575212,-10.864181985935591,1.7537399756701284,-18.05153785042842
0.25,0.03,0.3888888888888889,-10.222245377195708,alpha_0p25_cap_0p03,0.021228131554663247,0.03,-12.764911702064,-10.77877469322613,-0.9772535589153737,-16.923395402237748
0.5,0.03,0.16666666666666666,-4.272656284804155,alpha_0p50_cap_0p03,0.008872855850635438,0.03,-12.380937891269303,-10.616074666716884,-2.7249185632545228,-15.907041112523409
0.75,0.03,0.1111111111111111,-1.7858690585537351,alpha_0p75_cap_0p03,0.003708643445299414,0.03,-11.234700069752998,-10.074984357424174,-1.445960350554202,-14.426110484780713
1.0,0.03,0.0,-0.7464509386449417,alpha_1p00_cap_0p03,0.0015501250596083218,0.025349176121368444,-9.54992752424516,-8.521772637421797,-0.6043771550578447,-13.025405551021583
1.25,0.03,0.0,-0.3119988003237095,alpha_1p25_cap_0p03,0.0006479155345794394,0.024172991075671012,-7.974607734307553,-6.2024485818061805,-0.2526153261503368,-11.760925890578562
1.5,0.03,0.0,-0.13040810368606012,alpha_1p50_cap_0p03,0.0002708133368642091,0.023051380240003073,-6.744311666949093,-4.515757921203766,-0.10558721896106367,-10.619400333892527
