alpha,cap,estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
0.0,,alpha_0p00_nocap,0.11048438613027745,19.321433069296173,0.07012011549979198,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,1
0.0,,alpha_0p00_nocap,0.11503700850572161,-9.962644002786378,0.07452054013910436,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
0.0,,alpha_0p00_nocap,0.11503700850572161,-48.26514893457837,0.07452054013910436,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
0.0,,alpha_0p00_nocap,0.11503700850572161,-41.64917697570234,0.07452054013910436,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
0.0,,alpha_0p00_nocap,0.11503700850572161,100.06539935351971,0.07452054013910436,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,0
0.0,,alpha_0p00_nocap,0.11503700850572161,45.71065530302772,0.07452054013910436,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,0
0.0,,alpha_0p00_nocap,0.11503700850572161,22.367831494075393,0.07452054013910436,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,1
0.0,,alpha_0p00_nocap,0.043818633299580106,-4.468780215353566,0.03134687820574691,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
0.0,,alpha_0p00_nocap,0.043818633299580106,-24.125928651832098,0.03134687820574691,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
0.0,,alpha_0p00_nocap,0.043818633299580106,-20.20249774347692,0.03134687820574691,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
0.0,,alpha_0p00_nocap,0.043818633299580106,-27.23548623229762,0.03134687820574691,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.0,,alpha_0p00_nocap,0.043818633299580106,-6.491803260917997,0.03134687820574691,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,2
0.0,,alpha_0p00_nocap,0.043818633299580106,-8.843208267307697,0.03134687820574691,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
