alpha,base_mae,cap,corr_mae,delta_pct,estimator,kappa,scale,test_curve,test_label,train_curve,train_label,win
0.0,0.0013816404339982303,,0.0018801946358844737,36.08422203188661,alpha_0p00_nocap,0.06059367203137018,100,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0
0.0,0.005612615040270773,,0.004900785220661714,-12.682676693513583,alpha_0p00_nocap,0.11048438613027745,400,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1
0.0,0.004701998914275349,,0.002012547126159396,-57.19805208696946,alpha_0p00_nocap,0.11048438613027745,400,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,1
0.0,0.0038535563963712593,,0.0018460621964218724,-52.09458467611281,alpha_0p00_nocap,0.11048438613027745,400,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
0.0,0.008173606778800102,,0.017932546626301584,119.39575895445888,alpha_0p00_nocap,0.11048438613027745,400,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0
0.0,0.006687305974578527,,0.010248365639478141,53.25103529637811,alpha_0p00_nocap,0.11048438613027745,400,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0
0.0,0.0025579541942073844,,0.003632668179738444,42.01459072116316,alpha_0p00_nocap,0.11048438613027745,400,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0
0.0,0.00744534704076948,,0.006934592206090476,-6.86005409663506,alpha_0p00_nocap,0.044955220254699724,25,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.0,0.003408385839825258,,0.0021028078700369547,-38.304876007090726,alpha_0p00_nocap,0.044955220254699724,25,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0,0.0031360955249893426,,0.0021482114971576927,-31.500444420774045,alpha_0p00_nocap,0.044955220254699724,25,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.0,0.004487187642230267,,0.007687865020567117,71.3292519397744,alpha_0p00_nocap,0.044955220254699724,25,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.002926482771138891,,0.003991996165619798,36.40935135477472,alpha_0p00_nocap,0.044955220254699724,25,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.002504818961791151,,0.002053704213956036,-18.009874354852805,alpha_0p00_nocap,0.044955220254699724,25,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
0.0,0.007265129575917493,,0.006543132517032159,-9.93784145679404,alpha_0p00_nocap,0.06356939165689174,100,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.0,0.0037480705220761528,,0.001836288392654426,-51.007101338177094,alpha_0p00_nocap,0.06356939165689174,100,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0,0.003248313740665229,,0.001831385487387472,-43.620424823483376,alpha_0p00_nocap,0.06356939165689174,100,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.0,0.0056693997340904675,,0.011245232429887337,98.34961296288611,alpha_0p00_nocap,0.06356939165689174,100,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.004934623402238123,,0.007079036005544019,43.456459156199976,alpha_0p00_nocap,0.06356939165689174,100,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.0013816404339982303,,0.0019332589974112092,39.92490012880481,alpha_0p00_nocap,0.06356939165689174,100,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.005612615040270773,,0.004877921685424443,-13.090036454930033,alpha_0p00_nocap,0.11503700850572161,400,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
0.0,0.004701998914275349,,0.0020931667827359226,-55.48346945846727,alpha_0p00_nocap,0.11503700850572161,400,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0,0.0038535563963712593,,0.0019334578879935409,-49.826661682849604,alpha_0p00_nocap,0.11503700850572161,400,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.0,0.008173606778800102,,0.01884158036930322,130.51733315789863,alpha_0p00_nocap,0.11503700850572161,400,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0
