attenuation,audit,base_mae,corr_mae,delta_pct,description,kappa,mode,nonharm,nuisance,route,scale,source_families,source_kappa,target_curve,target_family,target_label,tau,train_curves,win
1.0,linear_drop_attenuation,0.007265129575917493,0.00445710045181672,-38.650778279424635,linear target/source drop attenuation,0.02832918972515193,linear_drop_attenuation,1,dct4,smooth_from_full_step,100,single_step,0.02832918972515193,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,linear_drop_attenuation,0.005612615040270773,0.0032139231922990426,-42.73750882184161,linear target/source drop attenuation,0.04583514445743976,linear_drop_attenuation,1,dct4,smooth_from_full_step,400,single_step,0.04583514445743976,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,linear_drop_attenuation,0.003408385839825258,0.00238249519208915,-30.099017421944918,linear target/source drop attenuation,0.014523978112329286,linear_drop_attenuation,1,dct4,finite_tail_from_steps,25,single_step,0.014523978112329286,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,linear_drop_attenuation,0.0037480705220761528,0.0021168358596677043,-43.5219842529768,linear target/source drop attenuation,0.02322994306324732,linear_drop_attenuation,1,dct4,finite_tail_from_steps,100,single_step,0.02322994306324732,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,linear_drop_attenuation,0.004701998914275349,0.0019099057677944582,-59.380982373348665,linear target/source drop attenuation,0.04022425295156022,linear_drop_attenuation,1,dct4,finite_tail_from_steps,400,single_step,0.04022425295156022,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,linear_drop_attenuation,0.0031360955249893426,0.0023330385023287103,-25.606905665392997,linear target/source drop attenuation,0.014523978112329286,linear_drop_attenuation,1,dct4,finite_tail_from_steps,25,single_step,0.014523978112329286,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,linear_drop_attenuation,0.003248313740665229,0.001971399428067355,-39.31006714691211,linear target/source drop attenuation,0.02322994306324732,linear_drop_attenuation,1,dct4,finite_tail_from_steps,100,single_step,0.02322994306324732,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,linear_drop_attenuation,0.0038535563963712593,0.0017632034178402284,-54.244774528262596,linear target/source drop attenuation,0.04022425295156022,linear_drop_attenuation,1,dct4,finite_tail_from_steps,400,single_step,0.04022425295156022,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,linear_drop_attenuation,0.004487187642230267,0.002100257168326793,-53.19435388525668,linear target/source drop attenuation,0.025483621345232913,linear_drop_attenuation,1,dct2,full_step_from_finite_tail,25,finite_tail,0.025483621345232913,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,linear_drop_attenuation,0.0056693997340904675,0.0029871944514670134,-47.31021639725243,linear target/source drop attenuation,0.037278701658680594,linear_drop_attenuation,1,dct2,full_step_from_finite_tail,100,finite_tail,0.037278701658680594,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,linear_drop_attenuation,0.008173606778800102,0.0033560059070024163,-58.94094250157844,linear target/source drop attenuation,0.06494081529428139,linear_drop_attenuation,1,dct2,full_step_from_finite_tail,400,finite_tail,0.06494081529428139,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
0.7778998999368758,linear_drop_attenuation,0.002926482771138891,0.0022582567012175057,-22.833760598608734,linear target/source drop attenuation,0.02672983961607377,linear_drop_attenuation,1,dct2,medium_step_from_finite_tail,25,finite_tail,0.03436154139914765,wsdcon_9.csv,single_step,WSD-con 9e-5,768.0,wsd_20000_24000+wsdld_20000_24000,1
0.7778998999368758,linear_drop_attenuation,0.004934623402238123,0.004965061110849535,0.6168192814391293,linear target/source drop attenuation,0.039090608989772,linear_drop_attenuation,0,dct2,medium_step_from_finite_tail,100,finite_tail,0.050251464221738665,wsdcon_9.csv,single_step,WSD-con 9e-5,768.0,wsd_20000_24000+wsdld_20000_24000,0
0.7778998999368758,linear_drop_attenuation,0.006687305974578527,0.0065993956102224334,-1.3145856446569182,linear target/source drop attenuation,0.06854105309433123,linear_drop_attenuation,1,dct2,medium_step_from_finite_tail,400,finite_tail,0.08811037654059747,wsdcon_9.csv,single_step,WSD-con 9e-5,768.0,wsd_20000_24000+wsdld_20000_24000,1
0.4445142285353575,linear_drop_attenuation,0.002504818961791151,0.0019922346157821968,-20.463927885726886,linear target/source drop attenuation,0.028008965182176503,linear_drop_attenuation,1,none,weak_step_from_finite_tail,25,finite_tail,0.06301027815119448,wsdcon_18.csv,single_step,WSD-con 18e-5,512.0,wsd_20000_24000+wsdld_20000_24000,1
0.4445142285353575,linear_drop_attenuation,0.0013816404339982303,0.0015208334187301511,10.074472439194636,linear target/source drop attenuation,0.04346711783712322,linear_drop_attenuation,0,none,weak_step_from_finite_tail,100,finite_tail,0.09778566139568637,wsdcon_18.csv,single_step,WSD-con 18e-5,512.0,wsd_20000_24000+wsdld_20000_24000,0
0.4445142285353575,linear_drop_attenuation,0.0025579541942073844,0.002595369509227885,1.4627046530086174,linear target/source drop attenuation,0.056235571392770106,linear_drop_attenuation,0,none,weak_step_from_finite_tail,400,finite_tail,0.126510171739749,wsdcon_18.csv,single_step,WSD-con 18e-5,512.0,wsd_20000_24000+wsdld_20000_24000,0
1.0,no_drop_attenuation,0.00744534704076948,0.005684219709436806,-23.654066381177863,no attenuation for weaker single-step targets,0.017756741800537497,no_drop_attenuation,1,dct4,smooth_from_full_step,25,single_step,0.017756741800537497,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,no_drop_attenuation,0.007265129575917493,0.00445710045181672,-38.650778279424635,no attenuation for weaker single-step targets,0.02832918972515193,no_drop_attenuation,1,dct4,smooth_from_full_step,100,single_step,0.02832918972515193,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,no_drop_attenuation,0.005612615040270773,0.0032139231922990426,-42.73750882184161,no attenuation for weaker single-step targets,0.04583514445743976,no_drop_attenuation,1,dct4,smooth_from_full_step,400,single_step,0.04583514445743976,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,no_drop_attenuation,0.003408385839825258,0.00238249519208915,-30.099017421944918,no attenuation for weaker single-step targets,0.014523978112329286,no_drop_attenuation,1,dct4,finite_tail_from_steps,25,single_step,0.014523978112329286,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,no_drop_attenuation,0.0037480705220761528,0.0021168358596677043,-43.5219842529768,no attenuation for weaker single-step targets,0.02322994306324732,no_drop_attenuation,1,dct4,finite_tail_from_steps,100,single_step,0.02322994306324732,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,no_drop_attenuation,0.004701998914275349,0.0019099057677944582,-59.380982373348665,no attenuation for weaker single-step targets,0.04022425295156022,no_drop_attenuation,1,dct4,finite_tail_from_steps,400,single_step,0.04022425295156022,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,no_drop_attenuation,0.0031360955249893426,0.0023330385023287103,-25.606905665392997,no attenuation for weaker single-step targets,0.014523978112329286,no_drop_attenuation,1,dct4,finite_tail_from_steps,25,single_step,0.014523978112329286,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,no_drop_attenuation,0.003248313740665229,0.001971399428067355,-39.31006714691211,no attenuation for weaker single-step targets,0.02322994306324732,no_drop_attenuation,1,dct4,finite_tail_from_steps,100,single_step,0.02322994306324732,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,no_drop_attenuation,0.0038535563963712593,0.0017632034178402284,-54.244774528262596,no attenuation for weaker single-step targets,0.04022425295156022,no_drop_attenuation,1,dct4,finite_tail_from_steps,400,single_step,0.04022425295156022,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,no_drop_attenuation,0.004487187642230267,0.002100257168326793,-53.19435388525668,no attenuation for weaker single-step targets,0.025483621345232913,no_drop_attenuation,1,dct2,full_step_from_finite_tail,25,finite_tail,0.025483621345232913,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,no_drop_attenuation,0.0056693997340904675,0.0029871944514670134,-47.31021639725243,no attenuation for weaker single-step targets,0.037278701658680594,no_drop_attenuation,1,dct2,full_step_from_finite_tail,100,finite_tail,0.037278701658680594,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,no_drop_attenuation,0.008173606778800102,0.0033560059070024163,-58.94094250157844,no attenuation for weaker single-step targets,0.06494081529428139,no_drop_attenuation,1,dct2,full_step_from_finite_tail,400,finite_tail,0.06494081529428139,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,no_drop_attenuation,0.002926482771138891,0.0026073146260616486,-10.906202770947203,no attenuation for weaker single-step targets,0.03436154139914765,no_drop_attenuation,1,dct2,medium_step_from_finite_tail,25,finite_tail,0.03436154139914765,wsdcon_9.csv,single_step,WSD-con 9e-5,768.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,no_drop_attenuation,0.004934623402238123,0.005431932194138935,10.077948231576418,no attenuation for weaker single-step targets,0.050251464221738665,no_drop_attenuation,0,dct2,medium_step_from_finite_tail,100,finite_tail,0.050251464221738665,wsdcon_9.csv,single_step,WSD-con 9e-5,768.0,wsd_20000_24000+wsdld_20000_24000,0
1.0,no_drop_attenuation,0.006687305974578527,0.007418002343013928,10.926617851988652,no attenuation for weaker single-step targets,0.08811037654059747,no_drop_attenuation,0,dct2,medium_step_from_finite_tail,400,finite_tail,0.08811037654059747,wsdcon_9.csv,single_step,WSD-con 9e-5,768.0,wsd_20000_24000+wsdld_20000_24000,0
1.0,no_drop_attenuation,0.002504818961791151,0.002285154321957191,-8.769681289736065,no attenuation for weaker single-step targets,0.06301027815119448,no_drop_attenuation,1,none,weak_step_from_finite_tail,25,finite_tail,0.06301027815119448,wsdcon_18.csv,single_step,WSD-con 18e-5,512.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,no_drop_attenuation,0.0013816404339982303,0.0024219231990607114,75.2933063816091,no attenuation for weaker single-step targets,0.09778566139568637,no_drop_attenuation,0,none,weak_step_from_finite_tail,100,finite_tail,0.09778566139568637,wsdcon_18.csv,single_step,WSD-con 18e-5,512.0,wsd_20000_24000+wsdld_20000_24000,0
1.0,no_drop_attenuation,0.0025579541942073844,0.0037612344157893413,47.04072591709598,no attenuation for weaker single-step targets,0.126510171739749,no_drop_attenuation,0,none,weak_step_from_finite_tail,400,finite_tail,0.126510171739749,wsdcon_18.csv,single_step,WSD-con 18e-5,512.0,wsd_20000_24000+wsdld_20000_24000,0
1.0,zero_medium_weak_step,0.00744534704076948,0.005684219709436806,-23.654066381177863,no cross-family correction for medium/weak single-step targets,0.017756741800537497,zero_medium_weak_step,1,dct4,smooth_from_full_step,25,single_step,0.017756741800537497,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,zero_medium_weak_step,0.007265129575917493,0.00445710045181672,-38.650778279424635,no cross-family correction for medium/weak single-step targets,0.02832918972515193,zero_medium_weak_step,1,dct4,smooth_from_full_step,100,single_step,0.02832918972515193,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
