audit,description,mean_delta,nonharm,rows,wins,worst_delta
final_cross_family_squared,drop-squared attenuation for single-step targets,-32.70344546373875,18,18,18,-6.460721805621095
linear_drop_attenuation,linear target/source drop attenuation,-30.506104189484436,15,18,15,10.074472439194636
no_drop_attenuation,no attenuation for weaker single-step targets,-21.832715740765707,14,18,14,75.2933063816091
zero_medium_weak_step,no cross-family correction for medium/weak single-step targets,-28.702866536409424,18,18,12,0.0
