base_mae,corr_mae,delta_pct,kappa,mode,nonharm,projected_dot,projected_l2,raw_map,scale,target_curve,target_drop_factor,target_drop_norm,tau,test_curve,test_label,train_curve,train_id,train_label,win
0.00744534704076948,0.007139500971092629,-4.107881983231798,0.023206944032123724,single_curve,1,4.394519215483622e-05,2.269058639832798e-06,0.023206944032123724,25,cosine_72000.csv,0.9999999994941389,0.899999999544725,0.04348969389342121,cosine_72000.csv,Cosine,cosine_72000.csv,cosine_72000,Cosine,1
0.007265129575917493,0.007265129575917493,0.0,0.0,single_curve,1,-4.841531396446536e-06,2.269058639832798e-06,0.0,100,cosine_72000.csv,0.9999999994941389,0.899999999544725,0.04348969389342121,cosine_72000.csv,Cosine,cosine_72000.csv,cosine_72000,Cosine,0
0.005612615040270773,0.005612615040270773,0.0,0.0,single_curve,1,-5.8524554951827856e-05,2.1992147359457235e-06,0.0,400,cosine_72000.csv,0.9999999994941389,0.899999999544725,0.04348969389342121,cosine_72000.csv,Cosine,cosine_72000.csv,cosine_72000,Cosine,0
0.003408385839825258,0.0025542552381806797,-25.05968049932892,0.023206944032123724,single_curve,1,4.394519215483622e-05,2.269058639832798e-06,0.023206944032123724,25,wsd_20000_24000.csv,0.9999360208900709,0.8999424188010638,0.04348969389342121,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,cosine_72000,Cosine,1
0.0037480705220761528,0.0037480705220761528,0.0,0.0,single_curve,1,-4.841531396446536e-06,2.269058639832798e-06,0.0,100,wsd_20000_24000.csv,0.9999360208900709,0.8999424188010638,0.04348969389342121,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,cosine_72000,Cosine,0
0.004701998914275349,0.004701998914275349,0.0,0.0,single_curve,1,-5.8524554951827856e-05,2.1992147359457235e-06,0.0,400,wsd_20000_24000.csv,0.9999360208900709,0.8999424188010638,0.04348969389342121,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,cosine_72000,Cosine,0
0.0031360955249893426,0.002407137998342336,-23.244111055880023,0.023206944032123724,single_curve,1,4.394519215483622e-05,2.269058639832798e-06,0.023206944032123724,25,wsdld_20000_24000.csv,0.9997499999999999,0.899775,0.04348969389342121,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,cosine_72000,Cosine,1
0.003248313740665229,0.003248313740665229,0.0,0.0,single_curve,1,-4.841531396446536e-06,2.269058639832798e-06,0.0,100,wsdld_20000_24000.csv,0.9997499999999999,0.899775,0.04348969389342121,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,cosine_72000,Cosine,0
0.0038535563963712593,0.0038535563963712593,0.0,0.0,single_curve,1,-5.8524554951827856e-05,2.1992147359457235e-06,0.0,400,wsdld_20000_24000.csv,0.9997499999999999,0.899775,0.04348969389342121,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,cosine_72000,Cosine,0
0.004487187642230267,0.002910703051941755,-35.13302130385063,0.023206944032123724,single_curve,1,4.394519215483622e-05,2.269058639832798e-06,0.023206944032123724,25,wsdcon_3.csv,0.9999999999999999,0.8999999999999999,0.04348969389342121,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,cosine_72000,Cosine,1
0.0056693997340904675,0.0056693997340904675,0.0,0.0,single_curve,1,-4.841531396446536e-06,2.269058639832798e-06,0.0,100,wsdcon_3.csv,0.9999999999999999,0.8999999999999999,0.04348969389342121,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,cosine_72000,Cosine,0
0.008173606778800102,0.008173606778800102,0.0,0.0,single_curve,1,-5.8524554951827856e-05,2.1992147359457235e-06,0.0,400,wsdcon_3.csv,0.9999999999999999,0.8999999999999999,0.04348969389342121,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,cosine_72000,Cosine,0
0.002926482771138891,0.0021506314708230425,-26.511391352354096,0.023206944032123724,single_curve,1,4.394519215483622e-05,2.269058639832798e-06,0.023206944032123724,25,wsdcon_9.csv,0.7777777777777777,0.7,0.04348969389342121,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,cosine_72000,Cosine,1
0.004934623402238123,0.004934623402238123,0.0,0.0,single_curve,1,-4.841531396446536e-06,2.269058639832798e-06,0.0,100,wsdcon_9.csv,0.7777777777777777,0.7,0.04348969389342121,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,cosine_72000,Cosine,0
0.006687305974578527,0.006687305974578527,0.0,0.0,single_curve,1,-5.8524554951827856e-05,2.1992147359457235e-06,0.0,400,wsdcon_9.csv,0.7777777777777777,0.7,0.04348969389342121,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,cosine_72000,Cosine,0
0.002504818961791151,0.0021360354870475903,-14.722959238533162,0.023206944032123724,single_curve,1,4.394519215483622e-05,2.269058639832798e-06,0.023206944032123724,25,wsdcon_18.csv,0.4444444444444443,0.3999999999999999,0.04348969389342121,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,cosine_72000,Cosine,1
0.0013816404339982303,0.0013816404339982303,0.0,0.0,single_curve,1,-4.841531396446536e-06,2.269058639832798e-06,0.0,100,wsdcon_18.csv,0.4444444444444443,0.3999999999999999,0.04348969389342121,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,cosine_72000,Cosine,0
0.0025579541942073844,0.0025579541942073844,0.0,0.0,single_curve,1,-5.8524554951827856e-05,2.1992147359457235e-06,0.0,400,wsdcon_18.csv,0.4444444444444443,0.3999999999999999,0.04348969389342121,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,cosine_72000,Cosine,0
0.00744534704076948,0.00724840484807332,-2.645171428782811,0.014943551337091096,single_curve,1,0.004763602146194307,0.31732834320653425,0.014943551337091096,25,cosine_72000.csv,0.9999999994941389,0.899999999544725,0.03800992257910114,cosine_72000.csv,Cosine,wsd_20000_24000.csv,wsd_20000_24000,WSD sharp,1
0.007265129575917493,0.006953925756325544,-4.283527449028979,0.02362552288632202,single_curve,1,0.007761303004728921,0.32706873698205036,0.02362552288632202,100,cosine_72000.csv,0.9999999994941389,0.899999999544725,0.03800992257910114,cosine_72000.csv,Cosine,wsd_20000_24000.csv,wsd_20000_24000,WSD sharp,1
0.005612615040270773,0.005221528581050406,-6.967990079745423,0.0409193515854567,single_curve,1,0.013526736301462505,0.32912588723895236,0.0409193515854567,400,cosine_72000.csv,0.9999999994941389,0.899999999544725,0.03800992257910114,cosine_72000.csv,Cosine,wsd_20000_24000.csv,wsd_20000_24000,WSD sharp,1
