step,dS,probe_loss,nclip,lp1,lp2,lp3,lp4,lp5,lp6,lp7,lp8,lp9,lp10,lp11,lp12,lp13,lp14,lp15,lp16,res_p,lr1,lr2,lr3,lr4,lr5,lr6,lr7,lr8,lr9,lr10,lr11,lr12,lr13,lr14,lr15,lr16,res_r
3000,0,1.1809988915920258,0,7157.552354580954,4420.219302818289,3821.630404920093,3414.689145607862,3349.2799735628987,3191.9112928366285,3135.8528998957877,3038.8519821466734,2932.967170379191,2845.2806674443223,2746.7332763315685,2630.9806704576426,2582.8257653670826,2472.6451500307603,2388.6948380055405,2335.029257278638,1.3957020797698715e-15,13.697858136445952,10.964529413667954,8.882363360663103,7.165706278962429,5.707137773174376,4.468489997440985,3.7221913881341675,3.6507165245934616,3.428606705581421,3.032403332771121,2.753182932386636,2.5365409209318157,2.277999772817212,2.0174384748854233,1.6433079327573945,1.247913346059909,0.27851240964848695
3010,10,1.1730460226535797,0,4478.074009700624,4418.44058869373,3846.285955408829,3556.5283751856523,3303.528017010775,3294.0459579480644,3135.248709282261,2999.725555082868,2860.8637199883087,2659.1674738798088,2612.068409925286,2536.5904783936794,2428.5614757351573,2408.7005560970215,2364.453095928065,2316.4199165426394,9.447730648509661e-20,12.933634964699143,10.329408954730294,8.347566667874377,6.724026021341929,5.376811067701421,4.259116589397516,3.7287275885483266,3.4501449297701554,3.323006745669717,3.065754610204035,2.7376221692684917,2.53681895723339,2.2422108461813246,1.9912850774306956,1.6554633254080606,1.2448096534756365,0.2798565764927317
3025,25,1.1634886860847473,0,5485.935715403031,4688.150549327684,3857.64320949235,3377.418514126409,3296.7786690551825,3224.571452653561,3159.765090209734,3043.1372404301137,2996.893574868761,2794.6866272247808,2640.447978272708,2606.1258098041853,2571.5869047773076,2448.608360698615,2385.6146829096547,2352.2503749471093,2.1037496081598342e-16,9.494134237030682,7.497702703657086,5.984745776558461,4.748318130586738,3.7250534192654605,3.7107304488575634,3.502541339483733,3.1112684150701777,2.986676720027432,2.8008395193354043,2.7121529694251105,2.2263282772431636,2.067994605568235,1.8480469008952305,1.5375909601798747,1.1925865717767692,0.29912230102543974
3050,50,1.153686672449112,0,7614.652882459979,5128.845913149315,3954.629856520513,3589.647708040555,3378.8174830599132,3247.822073309185,3198.3312810620446,3150.519885545587,2918.1928106628175,2888.938705466738,2860.1919475896366,2802.8964129671567,2734.1104440941804,2687.166546226531,2559.0855421509636,2463.3959853520496,7.968018635576475e-18,10.10481919693479,7.99193399002887,6.389776604268744,5.079675677538207,4.00587696854872,3.682679634851514,3.4492322312382178,3.271359905020076,3.0378873745910644,2.820166201203445,2.7089153605333607,2.2613530737600334,2.0861558761978456,1.8584000102648213,1.54504369791129,1.1929921415144062,0.29633850472935475
3100,100,1.1440678834915161,0,21689.435679574926,7600.072844203018,5913.237040940813,5301.352383060971,4525.343654794068,4265.641024480375,4112.920682713472,3821.0228586782523,3744.714019591976,3530.358923544849,3463.1881414885706,3405.0731055073834,3308.4301972249773,3269.0818726159646,3178.533594732611,3103.582222846163,8.502246120879576e-22,10.941680867001264,8.682739922927068,6.966805712715718,5.56040168690554,4.399887486088294,3.6522153414386787,3.550690832574671,3.436602887562127,3.0207599986034412,2.943985105508451,2.7055677787679966,2.3249493880656384,2.0873384439487386,1.8714708830588491,1.5753872911041158,1.1867870100713591,0.2915634433387001
3200,200,1.1335675120353699,0,5464.909028044119,4464.37277659404,4210.838830331037,3937.359534099247,3437.449388867501,3392.8969239882367,3328.8266686127918,3107.9625437197724,2909.5870691286036,2877.8728336246404,2820.385610803949,2749.657269381541,2647.2301883745317,2555.061125728694,2469.7967778490165,2374.3410218228273,5.538112954630264e-23,11.181595588386198,8.883690327725303,7.137448993659418,5.706949818373115,4.530485970285841,3.654214573643516,3.5875500074217745,3.3994780014230845,3.010963478814584,2.9204709789206253,2.698422926622887,2.3129492792233464,2.082248123096076,1.8565542086083624,1.55935145885008,1.1685147619742697,0.2891401529933111
3400,400,1.123920887708664,0,5866.227766918067,4628.350892583673,4420.159703757462,4184.999767392358,3587.520553366413,3490.8824659752568,3451.453302208785,3148.6170336094315,2987.083677789189,2959.7032522569984,2860.5491697727985,2687.2677520993866,2598.414473312883,2560.737459686535,2491.289725740523,2460.1512059774122,1.2538716691024662e-24,10.978143066480452,8.713622471029836,6.993311661490002,5.58338098313635,4.423266564530285,3.564799193790842,3.5635767066005077,3.422879404155412,3.0059234985922503,2.9096703547958187,2.682646807544344,2.3136455559141202,2.0691597523535696,1.8596613227353322,1.5652620338615257,1.1642832838404942,0.2910519403508955
3800,800,1.1126897633075714,0,6166.868786828737,5284.897444515318,4409.577705578091,3838.734484788683,3696.273518792185,3573.5687167563733,3267.7322340466158,3175.909382375079,3043.578736933143,2943.9935637356753,2761.858052032035,2732.672092552018,2643.5406147801914,2569.64679028866,2473.3300112946827,2429.7950098124943,7.322400316900839e-22,10.593243526005462,8.394924158400437,6.726535001386611,5.3649234364608605,4.2654299790086165,3.608855127318424,3.478113427145004,3.4212167357708267,2.929136669451459,2.7649103554349717,2.6402855650634423,2.210363607190135,2.037359899761464,1.823003103884164,1.5013830008912963,1.1549358486061665,0.29183469371267956
4600,1600,1.0988577604293823,0,6953.422890578292,6793.969021515164,6329.944654752293,5867.641708982736,4833.054148013479,4655.506117387031,4200.386965292157,3897.494338936545,3655.392245084424,3525.7476984578234,3459.761594541839,3382.5618568999544,3239.4425012724687,3089.8607340766866,3012.929942264524,2936.0538721548687,3.172768003218544e-27,10.30613913811905,8.156546192499922,6.526777808954728,5.203245461145735,4.148272260335175,3.517919001497213,3.3285816344147237,3.322972295881561,2.9536309021169274,2.708299907878048,2.6112273037586005,2.160275286780611,1.9874550607854593,1.7740956298690582,1.460038633243637,1.16276186375946,0.29184547779774644
5400,2400,1.089690089225769,0,7189.8544704029555,6881.030785383007,5393.00818445522,4654.68128016973,4360.461764137831,4201.687237649967,3769.440576010726,3665.793124394642,3502.4976353397406,3445.7405787859116,3287.94527889333,3197.9498658358543,3156.223213726802,3041.8861722342526,2978.4417386542273,2912.1335455981693,9.257366408671633e-24,10.033448114776283,7.932511327008567,6.344028940684038,5.061515347928988,4.011096674487394,3.5778091234355043,3.43397107536861,3.1380107069353667,2.9011084360268944,2.6289349631085326,2.525683159279051,2.1395144174897,2.036062107163564,1.7287808428727003,1.4601422628344791,1.1465167290139453,0.2918691955407976
