attenuation,base_mae,base_nuisance,base_tau,corr_mae,delta_pct,kappa,mode,nonharm,nuisance,route,scale,source_families,source_kappa,target_curve,target_family,target_label,tau,train_curves,win
,0.003248313740665229,none,5120.0,0.0015788212898153425,-51.39566507845967,0.027361447541414962,shape_routed_residualized,1,none,finite_tail,100,,,wsdld_20000_24000.csv,,WSD linear,5120.0,wsd_20000_24000,1
,0.0038535563963712593,none,5120.0,0.0017453231921253076,-54.70876736697537,0.03694554593362135,shape_routed_residualized,1,none,finite_tail,400,,,wsdld_20000_24000.csv,,WSD linear,5120.0,wsd_20000_24000,1
,0.004487187642230267,dct2,1536.0,0.002100257168326793,-53.19435388525668,0.025483621345232913,shape_routed_residualized,1,dct2,full_step_drop,25,,,wsdcon_3.csv,,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
,0.0056693997340904675,dct2,1536.0,0.0029871944514670134,-47.31021639725243,0.037278701658680594,shape_routed_residualized,1,dct2,full_step_drop,100,,,wsdcon_3.csv,,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
,0.008173606778800102,dct2,1536.0,0.0033560059070024163,-58.94094250157844,0.06494081529428139,shape_routed_residualized,1,dct2,full_step_drop,400,,,wsdcon_3.csv,,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
,0.002926482771138891,dct2,768.0,0.002144786032250253,-26.711134150447336,0.02186087541729957,shape_routed_residualized,1,dct2,medium_step_drop,25,,,wsdcon_9.csv,,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
,0.004934623402238123,dct2,768.0,0.004502400632784539,-8.75898187605455,0.026540932349003385,shape_routed_residualized,1,dct2,medium_step_drop,100,,,wsdcon_9.csv,,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
,0.006687305974578527,dct2,768.0,0.005870670454909265,-12.211726557356029,0.0391354562845826,shape_routed_residualized,1,dct2,medium_step_drop,400,,,wsdcon_9.csv,,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
,0.002504818961791151,none,512.0,0.00209613761197458,-16.315803898431447,0.02147010144323278,shape_routed_residualized,1,none,weak_step_drop,25,,,wsdcon_18.csv,,WSD-con 18e-5,512.0,wsdcon_9,1
,0.0013816404339982303,none,512.0,0.0012184901180827513,-11.808449716787027,0.024039524082155365,shape_routed_residualized,1,none,weak_step_drop,100,,,wsdcon_18.csv,,WSD-con 18e-5,512.0,wsdcon_9,1
,0.0025579541942073844,none,512.0,0.002378104999390537,-7.030977928538551,0.039003369467519484,shape_routed_residualized,1,none,weak_step_drop,400,,,wsdcon_18.csv,,WSD-con 18e-5,512.0,wsdcon_9,1
,0.00744534704076948,,,0.002432350379716474,-67.33059766862003,0.06594347624466183,self_fit_no_nuisance,1,none,smooth_decay,25,,,cosine_72000.csv,,Cosine,8192.0,cosine_72000,1
,0.007265129575917493,,,0.0014880417898319154,-79.51802821570467,0.07235559291556476,self_fit_no_nuisance,1,none,smooth_decay,100,,,cosine_72000.csv,,Cosine,8192.0,cosine_72000,1
,0.005612615040270773,,,0.003173653240566187,-43.454998823274394,0.048791430024096374,self_fit_no_nuisance,1,none,smooth_decay,400,,,cosine_72000.csv,,Cosine,8192.0,cosine_72000,1
,0.003408385839825258,,,0.0020025383632362465,-41.2467233070387,0.017299103194726963,self_fit_no_nuisance,1,none,finite_tail,25,,,wsd_20000_24000.csv,,WSD sharp,5120.0,wsd_20000_24000,1
