estimator,train_curve,train_label,test_curve,test_label,mean_delta_pct,wins,tests,mean_kappa,max_kappa
amp_cap_tau_0p03_c_1p0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,-2.588539841413469,3,3,0.0033667908352367575,0.004270647057190857
amp_cap_tau_0p03_c_1p0,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,-0.4207020656487333,3,3,0.002805505893740453,0.003656771368668093
amp_cap_tau_0p03_c_1p0,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,-2.3053076812479367,3,3,0.002805505893740453,0.003656771368668093
amp_cap_tau_0p03_c_1p0,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,-1.8831961830334158,3,3,0.002805505893740453,0.003656771368668093
amp_cap_tau_0p03_c_1p0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,-7.12902566685942,3,3,0.002805505893740453,0.003656771368668093
amp_cap_tau_0p03_c_1p0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,-3.1534423525783652,3,3,0.002805505893740453,0.003656771368668093
amp_cap_tau_0p03_c_1p0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,-2.3662418647249868,3,3,0.002805505893740453,0.003656771368668093
amp_cap_tau_0p03_c_1p5,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,-0.00031586973310663663,3,3,2.1391957704163513e-06,2.8323991175327573e-06
amp_cap_tau_0p03_c_1p5,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,-0.001654801717069591,3,3,2.1391957704163513e-06,2.8323991175327573e-06
amp_cap_tau_0p03_c_1p5,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,-0.001382991581888593,3,3,2.1391957704163513e-06,2.8323991175327573e-06
amp_cap_tau_0p03_c_1p5,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,-0.004821218031562473,3,3,2.1391957704163513e-06,2.8323991175327573e-06
amp_cap_tau_0p03_c_1p5,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,-0.0018742102929884357,3,3,2.1391957704163513e-06,2.8323991175327573e-06
amp_cap_tau_0p03_c_1p5,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,-0.0017606728805648804,3,3,2.1391957704163513e-06,2.8323991175327573e-06
amp_cap_tau_0p03_c_1p5,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,-0.31859244855130253,3,3,0.002158594665937492,0.0026628554675287887
amp_cap_tau_0p03_c_1p5,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,-1.703231172657978,3,3,0.002158594665937492,0.0026628554675287887
amp_cap_tau_0p03_c_1p5,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,-1.4097808861824952,3,3,0.002158594665937492,0.0026628554675287887
amp_cap_tau_0p03_c_1p5,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,-5.132250271887887,3,3,0.002158594665937492,0.0026628554675287887
amp_cap_tau_0p03_c_1p5,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,-2.161645154691024,3,3,0.002158594665937492,0.0026628554675287887
amp_cap_tau_0p03_c_1p5,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,-1.7109400361939755,3,3,0.002158594665937492,0.0026628554675287887
amp_cap_tau_0p03_c_1p5,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,-0.3245632068496411,3,3,0.0021867761737553826,0.0023851948709240223
amp_cap_tau_0p03_c_1p5,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,-1.746946487529888,3,3,0.0021867761737553826,0.0023851948709240223
amp_cap_tau_0p03_c_1p5,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,-1.4405008329906173,3,3,0.0021867761737553826,0.0023851948709240223
amp_cap_tau_0p03_c_1p5,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,-5.311938336805185,3,3,0.0021867761737553826,0.0023851948709240223
amp_cap_tau_0p03_c_1p5,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,-2.2556154132750623,3,3,0.0021867761737553826,0.0023851948709240223
amp_cap_tau_0p03_c_1p5,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,-1.7796213182430964,3,3,0.0021867761737553826,0.0023851948709240223
amp_cap_tau_0p03_c_1p5,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,-0.32670310215968296,3,3,0.002206707494254011,0.002604142033052517
amp_cap_tau_0p03_c_1p5,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,-1.7412458040868735,3,3,0.002206707494254011,0.002604142033052517
amp_cap_tau_0p03_c_1p5,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,-1.44321475872925,3,3,0.002206707494254011,0.002604142033052517
amp_cap_tau_0p03_c_1p5,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,-5.150831353798727,3,3,0.002206707494254011,0.002604142033052517
amp_cap_tau_0p03_c_1p5,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,-2.123180662644719,3,3,0.002206707494254011,0.002604142033052517
amp_cap_tau_0p03_c_1p5,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,-1.793674582667944,3,3,0.002206707494254011,0.002604142033052517
amp_cap_tau_0p03_c_1p5,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,-0.7433850434277911,3,3,0.005050186252855137,0.006405970585786286
amp_cap_tau_0p03_c_1p5,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,-3.926257462715666,3,3,0.005050186252855137,0.006405970585786286
amp_cap_tau_0p03_c_1p5,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,-3.276119848283095,3,3,0.005050186252855137,0.006405970585786286
amp_cap_tau_0p03_c_1p5,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,-10.642613966836441,3,3,0.005050186252855137,0.006405970585786286
amp_cap_tau_0p03_c_1p5,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,-4.101526103117615,3,3,0.005050186252855137,0.006405970585786286
amp_cap_tau_0p03_c_1p5,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,-3.6519238488717147,3,3,0.005050186252855137,0.006405970585786286
