estimator,worst_offdiag,median_offdiag,mean_offdiag,cosine_to_wsd,wsdcon9_to_wsd
map_ridge_tau_0p01,-0.8715794919581482,-12.63065552805826,-12.38283143351268,-22.994300951775752,-15.442391459947025
map_ridge_tau_0p03,-0.9772535589153737,-10.856849642925122,-10.85591269363137,-3.261056580690095,-15.437201374600695
map_ridge_tau_0p05,-0.9689336887693245,-10.856849642925122,-10.370280915675005,-1.180637707192389,-15.426831662996987
map_ridge_tau_0p1,-0.24281431826167857,-10.856849642925122,-10.13644996054645,-0.2958672429301627,-15.3784087636039
map_ridge_tau_0p3,-0.02699855233839384,-10.85369244615884,-10.10774587398132,-0.03289751318254671,-14.880199801504014
current_smooth_cap,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
amp_floor_tau_0p03,-0.025439168036274957,-10.856849642925122,-10.095567382431595,-0.03099745295226756,-15.428875185627936
map_ridge_tau_0p2,-0.06073999446623013,-10.856849642925122,-10.093772911595599,-0.07401118192974139,-15.187719340986769
amp_floor_tau_0p05,-0.025229737799844127,-10.856849642925122,-10.093127933354221,-0.030742263339208115,-15.423696028042984
amp_floor_tau_0p3,-0.018319331963497405,-10.856849642925122,-10.083118803798605,-0.022321974873048173,-15.14816642508224
amp_floor_tau_0p1,-0.024312663731092716,-10.856849642925122,-10.081839517524697,-0.02962481362020301,-15.399488061811804
amp_floor_tau_0p2,-0.021443486884605473,-10.856849642925122,-10.066405761959626,-0.0261287382360235,-15.303783671466965
amp_cap_tau_0p03_c_3p0,-0.0027659831638993104,-3.400913949910761,-4.692405207304631,-0.003309603434253905,-7.852514925431198
amp_cap_tau_0p1_c_3p0,-0.002643500854001187,-3.3817110009048523,-4.669469629321035,-0.0031630485053946167,-7.837558379986702
amp_cap_tau_0p2_c_3p0,-0.0023315405981697936,-3.334762662031443,-4.597065482394669,-0.0027897758471858345,-7.788849731800973
amp_cap_tau_0p03_c_2p0,-0.001843988775943976,-2.3331875406899294,-3.2359824612827284,-0.0022064022894211868,-5.23500995028748
amp_cap_tau_0p1_c_2p0,-0.0017623339028623637,-2.3281104586029464,-3.2189807617221087,-0.0021086990036075135,-5.225038919991154
amp_cap_tau_0p2_c_2p0,-0.00155436039899944,-2.2985770096891587,-3.165509407183088,-0.0018598505648374324,-5.1925664878675155
amp_cap_tau_0p03_c_1p5,-0.001382991581888593,-1.7632839028864922,-2.4628480398814476,-0.001654801717069591,-3.926257462715666
amp_cap_tau_0p1_c_1p5,-0.0013217504270709075,-1.753280224066443,-2.4496092225078825,-0.0015815242528730937,-3.918779189993412
amp_cap_tau_0p2_c_1p5,-0.001165770299046039,-1.73077635639541,-2.4080246620980392,-0.0013948879234892964,-3.8944248659006213
amp_cap_tau_0p03_c_1p0,-0.0009219943879331302,-1.1798725185155512,-1.6645948689550878,-0.0011032011447401995,-2.617504975143707
amp_cap_tau_0p1_c_1p0,-0.0008811669513275611,-1.173145507612322,-1.6555014261993375,-0.0010543495018722204,-2.612519459995555
amp_cap_tau_0p2_c_1p0,-0.000777180199355391,-1.1578613567496325,-1.627019547347463,-0.000929925282378008,-2.5962832439336316
