kappa,pooled_dot,pooled_full_l2,pooled_orth_l2,pooled_retention,raw_map,scale,tau,train_id,train_label,train_size
0.007906515743802498,0.00013245816191934974,0.09507465016576863,0.0029018259392487714,0.030521552634579834,0.04525659013167957,25,0.005,cosine_72000.csv,Cosine,1
0.01169129555833696,0.00019586472351326733,0.09507465016576863,0.0029018259392487714,0.030521552634579834,0.06692052331733125,100,0.005,cosine_72000.csv,Cosine,1
0.0,-0.00015750575846898364,0.09508274050125376,0.0029138689378136575,0.03064561373023567,0.0,400,0.005,cosine_72000.csv,Cosine,1
0.01743137948015631,0.007108365220652103,0.9438286145394619,0.17555213140031595,0.18600000963731753,0.040418042311419905,25,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.027459980073879144,0.011449136481095966,0.9438286145394619,0.18354552070527186,0.19446912064096752,0.062269430323212256,100,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.049636215126269034,0.020709963176550952,0.9529421754440708,0.18204311321031555,0.19103269631809874,0.11356507848415087,400,0.0178594561824556,wsd_20000_24000.csv,WSD sharp,1
0.021287246297632033,0.00553107812634283,0.5721837247862505,0.11740090155482949,0.20518042801494696,0.04699498543538034,25,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.030617960100340864,0.008104063458624015,0.5721837247862505,0.12184935588682018,0.21295494892368566,0.06634869483594896,100,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.05498916147322445,0.01488055799244909,0.5890891345460179,0.12372014969977725,0.21001940528935797,0.11999064421727894,400,0.017151355509073835,wsdld_20000_24000.csv,WSD linear,1
0.013086419702325653,0.08523415322719162,10.70275226864739,3.9160230372122116,0.3658893468630305,0.021634455151271666,25,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.01701652384487801,0.11192677020115306,10.870281704891909,3.9324425239211505,0.3617608660639815,0.02829176579678026,100,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.02620046129192558,0.17233443427802414,10.870281704891909,3.9324425239211505,0.3617608660639815,0.04356103052515537,400,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5,1
0.013559581825142787,0.0269848344361795,2.381106028408731,1.5372622482891107,0.6456084819189877,0.016875695575854787,25,0.24854202963962643,wsdcon_9.csv,WSD-con 9e-5,1
0.017364981754009884,0.035195282213131535,2.3811346152168964,1.5992551176816145,0.6716357435070672,0.021188852170231254,100,0.24854202963962643,wsdcon_9.csv,WSD-con 9e-5,1
0.029200123464588616,0.05918270462663543,2.3811346152168964,1.5992551176816145,0.6716357435070672,0.0356301612180385,400,0.24854202963962643,wsdcon_9.csv,WSD-con 9e-5,1
0.021943190794636896,0.008601667949239382,0.43334458822817123,0.34738729017540093,0.801642156408999,0.024508092199658823,25,0.05987715311021637,wsdcon_18.csv,WSD-con 18e-5,1
0.016613172878815308,0.006612148935104806,0.433344588295799,0.35834351467038,0.8269250945987962,0.01826919867075928,100,0.05987715311021637,wsdcon_18.csv,WSD-con 18e-5,1
0.027697500098823703,0.011023781978278083,0.433344588295799,0.35834351467038,0.8269250945987962,0.03045842812085808,400,0.05987715311021637,wsdcon_18.csv,WSD-con 18e-5,1
0.016786562148501806,0.007240823382571452,1.0389032647052305,0.1784539573395647,0.17177148576022397,0.0405029099666405,25,0.0178594561824556,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.02641384073707377,0.011645001204609233,1.0389032647052305,0.18644734664452062,0.17946555081566865,0.062350653085697864,100,0.0178594561824556,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.04660089822393069,0.020552457418081968,1.0480249159453245,0.1849569821481292,0.1764814741845111,0.11092890507188916,400,0.0178594561824556,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
0.019940786153689504,0.00566353628826218,0.6672583749520191,0.12030272749407826,0.18029406899947706,0.04696253762000904,25,0.017151355509073835,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.02870001361510537,0.008299928182137283,0.6672583749520191,0.12475118182606895,0.18696083332792862,0.06637534404586447,100,0.017151355509073835,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.04990365555792393,0.014723052233980106,0.6841718750472716,0.1266340186375909,0.18509094462388032,0.11599513479626081,400,0.017151355509073835,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
0.013044152829944597,0.08536661138911097,10.79782691881316,3.91892486315146,0.362936440139032,0.021652128255125358,25,0.15400686103307354,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.016966057574373795,0.11212263492466633,10.965356355057677,3.935344349860399,0.3588888698583202,0.028320501626213922,100,0.15400686103307354,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.026053242420203394,0.17217692851955516,10.965364445393163,3.935356392858964,0.35888970334335857,0.04348918623635079,400,0.15400686103307354,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
0.013350365806835681,0.027117292598098853,2.4761806785744995,1.5401640742283595,0.621991798722462,0.016927812369189138,25,0.24854202963962643,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.017108755478450883,0.0353911469366448,2.476209265382665,1.6021569436208634,0.6470200099882396,0.021269611791050295,100,0.24854202963962643,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.02853376108612842,0.05902519886816644,2.47621735571815,1.6021689866194282,0.6470227595003544,0.035473108052406874,400,0.24854202963962643,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
0.02009529270728459,0.008734126111158732,0.5284192383939399,0.3502891161146497,0.6629000056457197,0.024681430384221468,25,0.05987715311021637,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.015429113040344004,0.006808013658618073,0.5284192384615677,0.36124534060962876,0.6836339677210719,0.018660752129845116,100,0.05987715311021637,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.024625829130071223,0.010866276219809099,0.5284273287970528,0.36125738360819365,0.6836462914031795,0.029783458729831364,400,0.05987715311021637,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
0.018948808422902644,0.012639443346994933,1.5160123393257123,0.2929530329551454,0.19323921405906513,0.04310565748865292,25,0.0163408711984702,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
