best_worst_heldout,mean_heldout,mean_worst_heldout,median_heldout,median_worst_heldout,subset_count,train_size,worst_worst_heldout
-2.597147367007535,-12.076420313858597,-0.3346578949978567,-12.737708112415875,-0.9984774468971669,6,1,4.307816708249357
-6.91376145112681,-13.882769646150308,-2.397276331610669,-15.665976597783251,-2.1780616796809427,15,2,1.7949420509294711
-10.830891211535832,-14.116111285035533,-3.891657649727881,-13.294445711683277,-2.653851693128617,20,3,0.9421362478586603
-14.26431313842269,-14.227771090956452,-5.6835275239913825,-12.411203908830048,-5.35950788394951,15,4,-2.0797119167258127
-21.977300311428237,-14.231354035146,-9.784477464945459,-12.4536388161461,-8.364276735813625,6,5,-2.1274873940263173
