feature,mean_delta,mean_kappa,mode,tests,wins,worst_delta
S10_current,-32.265764837142676,0.1124981921247416,self,18,18,-5.613852346395454
step_tau1024,-36.82924954153336,0.11324467759656653,self,18,18,-1.6655861714844233
step_tau1536,-38.86653189422796,0.07967285619958075,self,18,16,2.4156608342032815
step_tau2304,-38.21213580847732,0.056167347560677906,self,18,14,4.9119529122108485
