base_mae,corr_mae,delta_pct,feature,kappa,mode,scale,test_curve,test_group,test_label,train_curves,train_id,win
0.004701998914275349,0.0020200915811281407,-57.03760000890029,S10_current,0.10137762438248095,group,400,wsd_20000_24000.csv,wsd,WSD exp,wsd_20000_24000+wsdld_20000_24000,wsd,1
0.0038535563963712593,0.0018095360457542151,-53.042440290787404,S10_current,0.10137762438248095,group,400,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000+wsdld_20000_24000,wsd,1
0.008173606778800102,0.016114176237649325,97.14890468482886,S10_current,0.10137762438248095,group,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.006687305974578527,0.009711269437533986,45.2194571992206,S10_current,0.10137762438248095,group,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.0025579541942073844,0.003470268437141855,35.66577716678634,S10_current,0.10137762438248095,group,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000+wsdld_20000_24000,wsd,0
0.00744534704076948,0.007243812992319932,-2.7068455955912007,S10_current,0.017738466523894544,group,25,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.003408385839825258,0.0028557058009493846,-16.21530146082898,S10_current,0.017738466523894544,group,25,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0031360955249893426,0.002738388679321809,-12.681592205928904,S10_current,0.017738466523894544,group,25,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.004487187642230267,0.0027713089853676678,-38.23951199887322,S10_current,0.017738466523894544,group,25,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.002926482771138891,0.0021998246424053524,-24.830425652933098,S10_current,0.017738466523894544,group,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.002504818961791151,0.002141878729140058,-14.489679221829299,S10_current,0.017738466523894544,group,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.007265129575917493,0.007035758996111354,-3.1571436876564274,S10_current,0.020195301411305162,group,100,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0037480705220761528,0.0031225222092836806,-16.689875740277294,S10_current,0.020195301411305162,group,100,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.003248313740665229,0.002798171110583352,-13.857732535087308,S10_current,0.020195301411305162,group,100,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0056693997340904675,0.004426255684138396,-21.927260525959504,S10_current,0.020195301411305162,group,100,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.004934623402238123,0.004713302863362411,-4.485054295639479,S10_current,0.020195301411305162,group,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0013816404339982303,0.0012245832921661147,-11.3674396005927,S10_current,0.020195301411305162,group,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.005612615040270773,0.00535816226437363,-4.5335868231017535,S10_current,0.03469206327068291,group,400,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.004701998914275349,0.0036201808154812357,-23.007621195098427,S10_current,0.03469206327068291,group,400,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0038535563963712593,0.0030749419735874115,-20.205087007862087,S10_current,0.03469206327068291,group,400,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.008173606778800102,0.0050652972800771905,-38.02861555298867,S10_current,0.03469206327068291,group,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.006687305974578527,0.006164619186125427,-7.816103980288458,S10_current,0.03469206327068291,group,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
0.0025579541942073844,0.002389361038730287,-6.590937236440153,S10_current,0.03469206327068291,group,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3+wsdcon_9+wsdcon_18,probe,1
