feature,max_kappa,mean_delta,mean_kappa,mode,test_group,tests,train_id,wins,worst_delta
S10_current,0.5358652541815773,-38.17445757191421,0.45321902735700353,group,cosine,3,cosine,3,-23.982473873166832
S10_current,0.5358652541815773,229.4632648650281,0.4532190273570034,group,wsd,6,cosine,0,353.8927252657403
S10_current,0.5358652541815773,851.4721775718587,0.4532190273570035,group,probe,9,cosine,0,2144.7560362028958
S10_current,0.10137762438248095,-10.4259761367574,0.07567308498517274,group,cosine,3,wsd,3,-7.46931869754619
S10_current,0.10137762438248095,-48.20230052645419,0.07567308498517274,group,wsd,6,wsd,6,-32.900123754705625
S10_current,0.10137762438248095,62.05110727321149,0.07567308498517274,group,probe,9,wsd,1,144.57286970182827
S10_current,0.03469206327068291,-3.4658587021164604,0.024208610401960873,group,cosine,3,probe,3,-2.7068455955912007
S10_current,0.03469206327068291,-17.1095350241805,0.024208610401960873,group,wsd,6,probe,6,-12.681592205928904
S10_current,0.03469206327068291,-18.641669785060508,0.024208610401960873,group,probe,9,probe,9,-4.485054295639479
S10_current,0.03646705120003114,-3.5872715286931256,0.025114517069188796,group,cosine,3,probe3,3,-2.6795266432481424
S10_current,0.03646705120003114,-17.709103643215297,0.025114517069188793,group,wsd,6,probe3,6,-12.553602706390244
S10_current,0.03646705120003114,-18.480087943531842,0.025114517069188793,group,probe,9,probe3,9,-4.027277164867671
S10_current,0.028340519806877164,-2.8718121850877263,0.019968313668526482,group,cosine,3,probe9,3,-2.411973085442909
S10_current,0.028340519806877164,-14.15961768666376,0.019968313668526482,group,wsd,6,probe9,6,-10.586935916339879
S10_current,0.028340519806877164,-18.330165675275136,0.019968313668526482,group,probe,9,probe9,9,-5.613852346395454
step_tau1024,0.5539993714799405,-71.6603140843138,0.480376598540666,group,cosine,3,cosine,3,-42.94828405585278
step_tau1024,0.5539993714799405,349.7137330196231,0.48037659854066606,group,wsd,6,cosine,0,477.50981945823156
step_tau1024,0.5539993714799405,627.5245879685014,0.480376598540666,group,probe,9,cosine,0,1205.5375028242233
step_tau1024,0.07717731435074902,-10.088967934266742,0.05798016116232133,group,cosine,3,wsd,3,-6.700725850226464
step_tau1024,0.07717731435074902,-40.96991286966671,0.057980161162321346,group,wsd,6,wsd,6,-30.685876961810308
step_tau1024,0.07717731435074902,6.622183447345479,0.05798016116232133,group,probe,9,wsd,4,90.50320079386915
step_tau1024,0.04562042503981218,-5.834186211798524,0.03333991616528176,group,cosine,3,probe,3,-4.463304233498578
step_tau1024,0.04562042503981218,-30.20040926796948,0.03333991616528176,group,wsd,6,probe,6,-25.261553891093
step_tau1024,0.04562042503981218,-11.585897011639437,0.03333991616528176,group,probe,9,probe,7,23.583282105922176
step_tau1024,0.06074939798590149,-7.6078399687990865,0.04363132673741102,group,cosine,3,probe3,3,-5.3144696244894485
step_tau1024,0.06074939798590149,-37.41236179645045,0.04363132673741102,group,wsd,6,probe3,6,-29.937020154999004
step_tau1024,0.06074939798590149,-5.694489175368021,0.04363132673741102,group,probe,9,probe3,5,48.206083082080895
step_tau1024,0.029972285972073538,-3.712117790016493,0.021159324607709574,group,cosine,3,probe9,3,-2.9868690865065384
step_tau1024,0.029972285972073538,-19.19128382058113,0.021159324607709574,group,wsd,6,probe9,6,-15.99285174355025
step_tau1024,0.029972285972073538,-13.824676801223017,0.021159324607709574,group,probe,9,probe9,8,5.469284821204279
step_tau1536,0.3703796271726921,-71.7853921505893,0.32111791610219,group,cosine,3,cosine,3,-43.509626231829124
step_tau1536,0.3703796271726921,293.82389374372866,0.32111791610219,group,wsd,6,cosine,0,416.01892475732274
step_tau1536,0.3703796271726921,606.4394589714339,0.32111791610219,group,probe,9,cosine,0,1166.4395449604422
step_tau1536,0.06008455401630307,-11.711292075141387,0.044967755114521966,group,cosine,3,wsd,3,-7.750764131817034
