feature,max_kappa,mean_delta,mean_kappa,mode,test_group,tests,train_id,wins,worst_delta
step_tau1536,0.06008455401630307,-45.04614717963502,0.04496775511452197,group,wsd,6,wsd,6,-35.1312062318744
step_tau1536,0.06008455401630307,8.22762620027861,0.04496775511452197,group,probe,9,wsd,4,105.07644804709795
step_tau1536,0.0383973094401527,-7.301538065981998,0.027843000427641568,group,cosine,3,probe,3,-5.695155623850301
step_tau1536,0.0383973094401527,-33.21904409444313,0.027843000427641568,group,wsd,6,probe,6,-27.733083671283275
step_tau1536,0.0383973094401527,-8.512258321636075,0.027843000427641564,group,probe,9,probe,5,34.47192235377803
step_tau1536,0.05428317162440374,-10.022095511196909,0.03845714000325292,group,cosine,3,probe3,3,-6.980222653315016
step_tau1536,0.05428317162440374,-42.86332447135411,0.03845714000325292,group,wsd,6,probe3,6,-33.59477544319817
step_tau1536,0.05428317162440374,-0.12437759055813144,0.03845714000325292,group,probe,9,probe3,4,70.06140836080002
step_tau1536,0.021185485931386503,-3.9044054416344145,0.014823945661570553,group,cosine,3,probe9,3,-2.796497191460756
step_tau1536,0.021185485931386503,-17.695469612061963,0.014823945661570553,group,wsd,6,probe9,6,-12.759003773399524
step_tau1536,0.021185485931386503,-11.425494067747206,0.014823945661570553,group,probe,9,probe9,7,10.735745289708332
step_tau2304,0.2479646629541914,-71.63656705119091,0.21490448811453597,group,cosine,3,cosine,3,-44.1741425118077
step_tau2304,0.2479646629541914,225.93365489807422,0.2149044881145359,group,wsd,6,cosine,0,335.6065506345117
step_tau2304,0.2479646629541914,574.235118514344,0.21490448811453594,group,probe,9,cosine,0,1121.0720005516134
step_tau2304,0.04861943175913748,-14.104086900770335,0.036285066730022277,group,cosine,3,wsd,3,-9.321558460838142
step_tau2304,0.04861943175913748,-48.193361536251736,0.036285066730022277,group,wsd,6,wsd,6,-35.59190199250533
step_tau2304,0.04861943175913748,18.68859911387726,0.036285066730022277,group,probe,9,wsd,4,122.76568596196414
step_tau2304,0.029671251409866886,-8.398089954412326,0.021383439440513453,group,cosine,3,probe,3,-6.818296628217235
step_tau2304,0.029671251409866886,-31.734629008258477,0.021383439440513453,group,wsd,6,probe,6,-26.16226551673827
step_tau2304,0.029671251409866886,-4.4367834988200405,0.02138343944051345,group,probe,9,probe,4,44.41125508864634
step_tau2304,0.04526798113396155,-12.270768524922131,0.031583886540709115,group,cosine,3,probe3,3,-8.60362048561073
step_tau2304,0.04526798113396155,-44.91461837084146,0.031583886540709115,group,wsd,6,probe3,6,-34.06171413804944
step_tau2304,0.04526798113396155,8.665258333006939,0.031583886540709115,group,probe,9,probe3,4,81.97358783138691
step_tau2304,0.011871995909505313,-3.2701997360435073,0.008266546909307905,group,cosine,3,probe9,3,-1.5754354076539356
step_tau2304,0.011871995909505313,-12.327994957521897,0.008266546909307905,group,wsd,6,probe9,6,-5.871918823470135
step_tau2304,0.011871995909505313,-7.869894402478806,0.008266546909307905,group,probe,9,probe9,5,10.725575612484107
