base_mae,corr_mae,curve,delta_pct,feature,group,kappa,label,mode,scale,win
0.00744534704076948,0.004345099768276942,cosine_72000.csv,-41.64006399589033,S10_current,cosine,0.4814157232423702,Cosine 72k,self,25,1
0.003408385839825258,0.0020677978415568985,wsd_20000_24000.csv,-39.33204928280916,S10_current,wsd,0.04769636075258367,WSD exp,self,25,1
0.0031360955249893426,0.0020924799674051755,wsdld_20000_24000.csv,-33.2775436611649,S10_current,wsd,0.051012194550503306,WSD linear,self,25,1
0.004487187642230267,0.0027691802587348677,wsdcon_3.csv,-38.286952106186014,S10_current,probe,0.017559440308880705,WSD-con 3e-5,self,25,1
0.002926482771138891,0.002199432037829934,wsdcon_9.csv,-24.84384123081691,S10_current,probe,0.016135752669323045,WSD-con 9e-5,self,25,1
0.002504818961791151,0.0019511367245959523,wsdcon_18.csv,-22.104680842853032,S10_current,probe,0.03096651876116605,WSD-con 18e-5,self,25,1
0.007265129575917493,0.003712420560600379,cosine_72000.csv,-48.90083484668547,S10_current,cosine,0.5358652541815773,Cosine 72k,self,100,1
0.0037480705220761528,0.0016506139137705625,wsd_20000_24000.csv,-55.96096967630575,S10_current,wsd,0.07542027714846393,WSD exp,self,100,1
0.003248313740665229,0.0015944714981311872,wsdld_20000_24000.csv,-50.913870228414204,S10_current,wsd,0.07879446245039433,WSD linear,self,100,1
0.0056693997340904675,0.004437767432249657,wsdcon_3.csv,-21.724209962386777,S10_current,probe,0.02131705969865454,WSD-con 3e-5,self,100,1
0.004934623402238123,0.004657600930585799,wsdcon_9.csv,-5.613852346395454,S10_current,probe,0.015428668529379243,WSD-con 9e-5,self,100,1
0.0013816404339982303,0.0012230851683060861,wsdcon_18.csv,-11.475870406695643,S10_current,probe,0.018248042675668277,WSD-con 18e-5,self,100,1
0.005612615040270773,0.004266571104636403,cosine_72000.csv,-23.982473873166832,S10_current,cosine,0.342376104647063,Cosine 72k,self,400,1
0.004701998914275349,0.00202112646506367,wsd_20000_24000.csv,-57.01559056239899,S10_current,wsd,0.10121370162592601,WSD exp,self,400,1
0.0038535563963712593,0.0018089736235327857,wsdld_20000_24000.csv,-53.05703517830376,S10_current,wsd,0.1016427946242588,WSD linear,self,400,1
0.008173606778800102,0.005066466603478869,wsdcon_3.csv,-38.0143094647057,S10_current,probe,0.03646705120003114,WSD-con 3e-5,self,400,1
0.006687305974578527,0.006143421859152095,wsdcon_9.csv,-8.13308255213656,S10_current,probe,0.028340519806877164,WSD-con 9e-5,self,400,1
0.0025579541942073844,0.0023915199619231175,wsdcon_18.csv,-6.506536851252676,S10_current,probe,0.025067531372228218,WSD-con 18e-5,self,400,1
0.00744534704076948,0.0010712923831922429,cosine_72000.csv,-85.61124985408975,step_tau1024,cosine,0.5217620665597293,Cosine 72k,self,25,1
0.003408385839825258,0.0023612558575908187,wsd_20000_24000.csv,-30.722166780511085,step_tau1024,wsd,0.037592292094413525,WSD exp,self,25,1
0.0031360955249893426,0.0020661579285008785,wsdld_20000_24000.csv,-34.116868825036825,step_tau1024,wsd,0.03820768044080277,WSD linear,self,25,1
0.004487187642230267,0.0025387202817564324,wsdcon_3.csv,-43.42290797327539,step_tau1024,probe,0.03002340368515867,WSD-con 3e-5,self,25,1
0.002926482771138891,0.0021688527860202157,wsdcon_9.csv,-25.88875603815123,step_tau1024,probe,0.01687392772472973,WSD-con 9e-5,self,25,1
0.002504818961791151,0.0016625815711918696,wsdcon_18.csv,-33.624681202389674,step_tau1024,probe,0.026415673566957617,WSD-con 18e-5,self,25,1
0.007265129575917493,0.000986502278465856,cosine_72000.csv,-86.42140834299884,step_tau1024,cosine,0.5539993714799405,Cosine 72k,self,100,1
0.0037480705220761528,0.002114614323102732,wsd_20000_24000.csv,-43.58125572484178,step_tau1024,wsd,0.059246686288329756,WSD exp,self,100,1
0.003248313740665229,0.0016807988786653825,wsdld_20000_24000.csv,-48.256264238774904,step_tau1024,wsd,0.05845363343076171,WSD linear,self,100,1
0.0056693997340904675,0.00350098989129663,wsdcon_3.csv,-38.2476089973873,step_tau1024,probe,0.0401211785411729,WSD-con 3e-5,self,100,1
0.004934623402238123,0.004619131809713556,wsdcon_9.csv,-6.3934279641577945,step_tau1024,probe,0.016631760126325456,WSD-con 9e-5,self,100,1
