eval_region,eval_points,scale,test_curve,kappa,base_mae,corr_mae,delta_pct,win,train_family,test_family,train_curves
after5k,148,400,wsd_20000_24000.csv,0.10121370162592605,0.004879749491709232,0.0017822549726876254,-63.476506822415715,1,WSD sharp,WSD sharp,wsd_20000_24000
full,95,25,wsdcon_3.csv,0.04769636075258369,0.004487187642230267,0.008272183044108112,84.35117279821594,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,72,25,wsdcon_3.csv,0.04769636075258369,0.005066606951803905,0.010060698107059396,98.56875030492358,0,WSD sharp,WSD-con step,wsd_20000_24000
full,95,25,wsdcon_9.csv,0.04769636075258369,0.002926482771138891,0.004176961426383504,42.72974601377777,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,72,25,wsdcon_9.csv,0.04769636075258369,0.0030073435802250056,0.004657280694783871,54.86360538942541,0,WSD sharp,WSD-con step,wsd_20000_24000
full,95,25,wsdcon_18.csv,0.04769636075258369,0.002504818961791151,0.0020870085965506635,-16.680261991538046,1,WSD sharp,WSD-con step,wsd_20000_24000
after5k,72,25,wsdcon_18.csv,0.04769636075258369,0.0024509816095578487,0.0018997040443099837,-22.492113490289068,1,WSD sharp,WSD-con step,wsd_20000_24000
full,109,100,wsdcon_3.csv,0.07542027714846397,0.0056693997340904675,0.013611529018507111,140.08765754617914,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,86,100,wsdcon_3.csv,0.07542027714846397,0.006744780156490945,0.01681096727278646,149.2441100042106,0,WSD sharp,WSD-con step,wsd_20000_24000
full,109,100,wsdcon_9.csv,0.07542027714846397,0.004934623402238123,0.007777974416745848,57.62042576983908,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,86,100,wsdcon_9.csv,0.07542027714846397,0.005813493875422275,0.009417275975205322,61.98995263448659,0,WSD sharp,WSD-con step,wsd_20000_24000
full,109,100,wsdcon_18.csv,0.07542027714846397,0.0013816404339982303,0.002144589280930976,55.22050659192874,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,86,100,wsdcon_18.csv,0.07542027714846397,0.0013102945319554344,0.002277287837951589,73.79969025384317,0,WSD sharp,WSD-con step,wsd_20000_24000
full,109,400,wsdcon_3.csv,0.10121370162592605,0.008173606778800102,0.016081445361976844,96.74845875491975,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,86,400,wsdcon_3.csv,0.10121370162592605,0.00940795638745457,0.01943068203357393,106.53456748039964,0,WSD sharp,WSD-con step,wsd_20000_24000
full,109,400,wsdcon_9.csv,0.10121370162592605,0.006687305974578527,0.009701601644261688,45.074887871765725,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,86,400,wsdcon_9.csv,0.10121370162592605,0.007524156530941179,0.011344601042516346,50.77571812686992,0,WSD sharp,WSD-con step,wsd_20000_24000
full,109,400,wsdcon_18.csv,0.10121370162592605,0.0025579541942073844,0.003467345223138071,35.55149779421571,0,WSD sharp,WSD-con step,wsd_20000_24000
after5k,86,400,wsdcon_18.csv,0.10121370162592605,0.0022904432279126368,0.0034430434855108327,50.32214916099893,0,WSD sharp,WSD-con step,wsd_20000_24000
full,546,25,cosine_72000.csv,0.017738466523894554,0.00744534704076948,0.0072438129923199325,-2.7068455955911896,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
after5k,523,25,cosine_72000.csv,0.017738466523894554,0.007424736610102668,0.007214605331530958,-2.830151284906046,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
full,546,100,cosine_72000.csv,0.02019530141130517,0.007265129575917493,0.007035758996111354,-3.1571436876564274,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
after5k,523,100,cosine_72000.csv,0.02019530141130517,0.0074899028357713875,0.007250667696646923,-3.1941020380383267,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
full,546,400,cosine_72000.csv,0.03469206327068293,0.005612615040270773,0.00535816226437363,-4.5335868231017535,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
after5k,523,400,cosine_72000.csv,0.03469206327068293,0.005297858691241905,0.0050316898625638535,-5.024083203994579,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
full,170,25,wsd_20000_24000.csv,0.017738466523894554,0.003408385839825258,0.0028557058009493846,-16.21530146082898,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
after5k,147,25,wsd_20000_24000.csv,0.017738466523894554,0.0035233909339340112,0.0028842371474789193,-18.14030286277233,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
full,171,100,wsd_20000_24000.csv,0.02019530141130517,0.0037480705220761528,0.0031225222092836806,-16.689875740277294,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
after5k,148,100,wsd_20000_24000.csv,0.02019530141130517,0.004074368795387719,0.0033516068934450654,-17.739236142806647,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
full,171,400,wsd_20000_24000.csv,0.03469206327068293,0.004701998914275349,0.0036201808154812357,-23.007621195098427,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
after5k,148,400,wsd_20000_24000.csv,0.03469206327068293,0.004879749491709232,0.003629811012697116,-25.61480832439822,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
full,95,25,wsdcon_3.csv,0.017738466523894554,0.004487187642230267,0.0027713089853676678,-38.23951199887322,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,72,25,wsdcon_3.csv,0.017738466523894554,0.005066606951803905,0.002802600390665754,-44.68486667062419,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,95,25,wsdcon_9.csv,0.017738466523894554,0.002926482771138891,0.0021998246424053524,-24.830425652933098,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,72,25,wsdcon_9.csv,0.017738466523894554,0.0030073435802250056,0.0020485585492571426,-31.881459679978697,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,95,25,wsdcon_18.csv,0.017738466523894554,0.002504818961791151,0.002141878729140058,-14.489679221829299,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,72,25,wsdcon_18.csv,0.017738466523894554,0.0024509816095578487,0.001972102135920991,-19.53827281973146,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,109,100,wsdcon_3.csv,0.02019530141130517,0.0056693997340904675,0.0044262556841384,-21.927260525959426,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,86,100,wsdcon_3.csv,0.02019530141130517,0.006744780156490945,0.005169167348993557,-23.360476856774525,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,109,100,wsdcon_9.csv,0.02019530141130517,0.004934623402238123,0.004713302863362411,-4.485054295639479,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,86,100,wsdcon_9.csv,0.02019530141130517,0.005813493875422275,0.005532982959870501,-4.825169193652901,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,109,100,wsdcon_18.csv,0.02019530141130517,0.0013816404339982303,0.0012245832921661188,-11.3674396005924,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,86,100,wsdcon_18.csv,0.02019530141130517,0.0013102945319554344,0.0011112337359124095,-15.192064928024552,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,109,400,wsdcon_3.csv,0.03469206327068293,0.008173606778800102,0.0050652972800771905,-38.02861555298867,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,86,400,wsdcon_3.csv,0.03469206327068293,0.00940795638745457,0.005468354813491809,-41.87521085042641,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,109,400,wsdcon_9.csv,0.03469206327068293,0.006687305974578527,0.006164619186125436,-7.816103980288325,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,86,400,wsdcon_9.csv,0.03469206327068293,0.007524156530941179,0.006861681415343656,-8.804642924070794,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
full,109,400,wsdcon_18.csv,0.03469206327068293,0.0025579541942073844,0.002389361038730291,-6.590937236439998,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
after5k,86,400,wsdcon_18.csv,0.03469206327068293,0.0022904432279126368,0.0020767612052730654,-9.329287014649456,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
