eval_region,eval_points,scale,test_curve,kappa,base_mae,corr_mae,delta_pct,win,train_family,test_family,train_curves
full,546,25,cosine_72000.csv,0.4810704439987415,0.00744534704076948,0.004345124293382161,-41.639734594116504,1,Cosine decay,Cosine decay,cosine_72000
after5k,523,25,cosine_72000.csv,0.4810704439987415,0.007424736610102668,0.004195379506054134,-43.49456786998238,1,Cosine decay,Cosine decay,cosine_72000
full,546,100,cosine_72000.csv,0.5357213579263642,0.007265129575917493,0.0037125588530415505,-48.89893133705462,1,Cosine decay,Cosine decay,cosine_72000
after5k,523,100,cosine_72000.csv,0.5357213579263642,0.0074899028357713875,0.0037870023366492443,-49.4385652299424,1,Cosine decay,Cosine decay,cosine_72000
full,546,400,cosine_72000.csv,0.3430965316590799,0.005612615040270773,0.004266281053542125,-23.987641715468456,1,Cosine decay,Cosine decay,cosine_72000
after5k,523,400,cosine_72000.csv,0.3430965316590799,0.005297858691241905,0.0038871151881449454,-26.62856043006798,1,Cosine decay,Cosine decay,cosine_72000
full,170,25,wsd_20000_24000.csv,0.4810704439987415,0.003408385839825258,0.015459657459223897,353.57709442944076,0,Cosine decay,WSD sharp,cosine_72000
after5k,147,25,wsd_20000_24000.csv,0.4810704439987415,0.0035233909339340112,0.017460235663850805,395.55204038502,0,Cosine decay,WSD sharp,cosine_72000
full,171,100,wsd_20000_24000.csv,0.5357213579263642,0.0037480705220761528,0.01571769851472553,319.35439640604983,0,Cosine decay,WSD sharp,cosine_72000
after5k,148,100,wsd_20000_24000.csv,0.5357213579263642,0.004074368795387719,0.017904141678786664,339.4335068306671,0,Cosine decay,WSD sharp,cosine_72000
full,171,400,wsd_20000_24000.csv,0.3430965316590799,0.004701998914275349,0.009217330861165362,96.03005081905461,0,Cosine decay,WSD sharp,cosine_72000
after5k,148,400,wsd_20000_24000.csv,0.3430965316590799,0.004879749491709232,0.010096788430345668,106.91202381393272,0,Cosine decay,WSD sharp,cosine_72000
full,95,25,wsdcon_3.csv,0.4810704439987415,0.004487187642230267,0.10065281365088019,2143.1157704127727,0,Cosine decay,WSD-con step,cosine_72000
after5k,72,25,wsdcon_3.csv,0.4810704439987415,0.005066606951803905,0.1319518079354392,2504.3426930612673,0,Cosine decay,WSD-con step,cosine_72000
full,95,25,wsdcon_9.csv,0.4810704439987415,0.002926482771138891,0.033419953669114946,1041.9836125024922,0,Cosine decay,WSD-con step,cosine_72000
after5k,72,25,wsdcon_9.csv,0.4810704439987415,0.0030073435802250056,0.04324178434838785,1337.8730994598416,0,Cosine decay,WSD-con step,cosine_72000
full,95,25,wsdcon_18.csv,0.4810704439987415,0.002504818961791151,0.010242906234051677,308.92800598759277,0,Cosine decay,WSD-con step,cosine_72000
after5k,72,25,wsdcon_18.csv,0.4810704439987415,0.0024509816095578487,0.012660957871568266,416.5668245814489,0,Cosine decay,WSD-con step,cosine_72000
full,109,100,wsdcon_3.csv,0.5357213579263642,0.0056693997340904675,0.10552102202283457,1761.2379964730628,0,Cosine decay,WSD-con step,cosine_72000
after5k,86,100,wsdcon_3.csv,0.5357213579263642,0.006744780156490945,0.1333009060805969,1876.356574829391,0,Cosine decay,WSD-con step,cosine_72000
full,109,100,wsdcon_9.csv,0.5357213579263642,0.004934623402238123,0.034925490634177825,607.7640538554004,0,Cosine decay,WSD-con step,cosine_72000
after5k,86,100,wsdcon_9.csv,0.5357213579263642,0.005813493875422275,0.04382517443683422,653.8525949449098,0,Cosine decay,WSD-con step,cosine_72000
full,109,100,wsdcon_18.csv,0.5357213579263642,0.0013816404339982303,0.010352883756007646,649.3182380344919,0,Cosine decay,WSD-con step,cosine_72000
after5k,86,100,wsdcon_18.csv,0.5357213579263642,0.0013102945319554344,0.012680823858688297,867.7842309060019,0,Cosine decay,WSD-con step,cosine_72000
full,109,400,wsdcon_3.csv,0.3430965316590799,0.008173606778800102,0.06437880811686883,687.642589852111,0,Cosine decay,WSD-con step,cosine_72000
after5k,86,400,wsdcon_3.csv,0.3430965316590799,0.00940795638745457,0.08064478133919284,757.1976529008145,0,Cosine decay,WSD-con step,cosine_72000
full,109,400,wsdcon_9.csv,0.3430965316590799,0.006687305974578527,0.023967303649449434,258.39998559300244,0,Cosine decay,WSD-con step,cosine_72000
after5k,86,400,wsdcon_9.csv,0.3430965316590799,0.007524156530941179,0.029425548932812445,291.08103096748937,0,Cosine decay,WSD-con step,cosine_72000
full,109,400,wsdcon_18.csv,0.3430965316590799,0.0025579541942073844,0.0077808114610603074,204.18103180582142,0,Cosine decay,WSD-con step,cosine_72000
after5k,86,400,wsdcon_18.csv,0.3430965316590799,0.0022904432279126368,0.008910111159156457,289.0125304383362,0,Cosine decay,WSD-con step,cosine_72000
full,546,25,cosine_72000.csv,0.04769636075258369,0.00744534704076948,0.0069034489761408465,-7.278345276066922,1,WSD sharp,Cosine decay,wsd_20000_24000
after5k,523,25,cosine_72000.csv,0.04769636075258369,0.007424736610102668,0.0068597217451109695,-7.609897760183115,1,WSD sharp,Cosine decay,wsd_20000_24000
full,546,100,cosine_72000.csv,0.07542027714846397,0.007265129575917493,0.006408534650872238,-11.790497555400837,1,WSD sharp,Cosine decay,wsd_20000_24000
after5k,523,100,cosine_72000.csv,0.07542027714846397,0.0074899028357713875,0.006596468262602872,-11.928520205916671,1,WSD sharp,Cosine decay,wsd_20000_24000
full,546,400,cosine_72000.csv,0.10121370162592605,0.005612615040270773,0.004950139303743405,-11.803334662614029,1,WSD sharp,Cosine decay,wsd_20000_24000
after5k,523,400,cosine_72000.csv,0.10121370162592605,0.005297858691241905,0.004604714714073146,-13.083474240538385,1,WSD sharp,Cosine decay,wsd_20000_24000
full,170,25,wsd_20000_24000.csv,0.04769636075258369,0.003408385839825258,0.0020677978415568985,-39.33204928280916,1,WSD sharp,WSD sharp,wsd_20000_24000
after5k,147,25,wsd_20000_24000.csv,0.04769636075258369,0.0035233909339340112,0.0019730510719910108,-44.00135809545216,1,WSD sharp,WSD sharp,wsd_20000_24000
full,171,100,wsd_20000_24000.csv,0.07542027714846397,0.0037480705220761528,0.0016506139137705599,-55.960969676305815,1,WSD sharp,WSD sharp,wsd_20000_24000
after5k,148,100,wsd_20000_24000.csv,0.07542027714846397,0.004074368795387719,0.0016509560925481485,-59.47946355722463,1,WSD sharp,WSD sharp,wsd_20000_24000
full,171,400,wsd_20000_24000.csv,0.10121370162592605,0.004701998914275349,0.002021126465063665,-57.0155905623991,1,WSD sharp,WSD sharp,wsd_20000_24000
