base_mae,base_nuisance,base_tau,corr_mae,delta_pct,kappa,mode,nonharm,nuisance,route,scale,target_curve,target_label,tau,train_curves,win
0.00744534704076948,dct4,8192.0,0.005684219709436806,-23.654066381177863,0.017756741800537497,shape_routed_extended_safety,1,dct4,smooth_decay,25,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
0.007265129575917493,dct4,8192.0,0.00445710045181672,-38.650778279424635,0.02832918972515193,shape_routed_extended_safety,1,dct4,smooth_decay,100,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
0.005612615040270773,dct4,8192.0,0.0032139231922990426,-42.73750882184161,0.04583514445743976,shape_routed_extended_safety,1,dct4,smooth_decay,400,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
0.003408385839825258,none,5120.0,0.002015953973310823,-40.8531173391397,0.017661820970813195,shape_routed_extended_safety,1,none,finite_tail,25,wsd_20000_24000.csv,WSD sharp,5120.0,wsdld_20000_24000,1
0.0037480705220761528,none,5120.0,0.0015319686879696078,-59.126471101696055,0.02722931495058765,shape_routed_extended_safety,1,none,finite_tail,100,wsd_20000_24000.csv,WSD sharp,5120.0,wsdld_20000_24000,1
0.004701998914275349,none,5120.0,0.0017404710026445599,-62.98444482068126,0.03539944906810893,shape_routed_extended_safety,1,none,finite_tail,400,wsd_20000_24000.csv,WSD sharp,5120.0,wsdld_20000_24000,1
0.0031360955249893426,none,5120.0,0.002071816228986321,-33.93644382074867,0.017299103194726963,shape_routed_extended_safety,1,none,finite_tail,25,wsdld_20000_24000.csv,WSD linear,5120.0,wsd_20000_24000,1
0.003248313740665229,none,5120.0,0.0015788212898153425,-51.39566507845967,0.027361447541414962,shape_routed_extended_safety,1,none,finite_tail,100,wsdld_20000_24000.csv,WSD linear,5120.0,wsd_20000_24000,1
0.0038535563963712593,none,5120.0,0.0017453231921253076,-54.70876736697537,0.03694554593362135,shape_routed_extended_safety,1,none,finite_tail,400,wsdld_20000_24000.csv,WSD linear,5120.0,wsd_20000_24000,1
0.004487187642230267,dct2,1536.0,0.002100257168326793,-53.19435388525668,0.025483621345232913,shape_routed_extended_safety,1,dct2,full_step_drop,25,wsdcon_3.csv,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
