audit,base_mae,base_nuisance,base_tau,corr_mae,delta_pct,description,kappa,mode,nonharm,nuisance,route,scale,target_curve,target_label,tau,train_curves,win
final_extended,0.0025579541942073844,none,512.0,0.002378104999390537,-7.030977928538551,final routed rule plus cosine/constant safety controls,0.039003369467519484,final_extended,1,none,weak_step_drop,400,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
final_extended,0.004428106847791531,none,0.0,0.004428106847791531,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,short_smooth_no_transfer,25,cosine_24000.csv,Cosine 24k,0.0,none,0
final_extended,0.0032781062167547585,none,0.0,0.0032781062167547585,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,short_smooth_no_transfer,100,cosine_24000.csv,Cosine 24k,0.0,none,0
final_extended,0.007134640765897494,none,0.0,0.007134640765897494,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,short_smooth_no_transfer,400,cosine_24000.csv,Cosine 24k,0.0,none,0
final_extended,0.003761619732988638,none,0.0,0.003761619732988638,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,no_lr_drop,25,constant_24000.csv,Constant 24k,0.0,none,0
final_extended,0.001848699219840022,none,0.0,0.001848699219840022,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,no_lr_drop,100,constant_24000.csv,Constant 24k,0.0,none,0
final_extended,0.001679822173746335,none,0.0,0.001679822173746335,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,no_lr_drop,400,constant_24000.csv,Constant 24k,0.0,none,0
final_extended,0.0015795124507172926,none,0.0,0.0015795124507172926,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,no_lr_drop,25,constant_72000.csv,Constant 72k,0.0,none,0
final_extended,0.004776169698442608,none,0.0,0.004776169698442608,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,no_lr_drop,100,constant_72000.csv,Constant 72k,0.0,none,0
final_extended,0.004118245803084534,none,0.0,0.004118245803084534,0.0,final routed rule plus cosine/constant safety controls,0.0,final_extended,1,none,no_lr_drop,400,constant_72000.csv,Constant 72k,0.0,none,0
no_short_smooth_gate,0.00744534704076948,dct4,8192.0,0.005684219709436806,-23.654066381177863,ablation that lets cosine_24000 transfer as a long smooth decay,0.017756741800537497,no_short_smooth_gate,1,dct4,smooth_decay_no_short_gate,25,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
no_short_smooth_gate,0.007265129575917493,dct4,8192.0,0.00445710045181672,-38.650778279424635,ablation that lets cosine_24000 transfer as a long smooth decay,0.02832918972515193,no_short_smooth_gate,1,dct4,smooth_decay_no_short_gate,100,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
no_short_smooth_gate,0.005612615040270773,dct4,8192.0,0.0032139231922990426,-42.73750882184161,ablation that lets cosine_24000 transfer as a long smooth decay,0.04583514445743976,no_short_smooth_gate,1,dct4,smooth_decay_no_short_gate,400,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
