mean_delta,metric,nonharm,worst_delta
-70.57679566355084,decomposed_self_fit,18/18,-38.87148919959566
-14.767237450002042,decomposed_full_offdiag,90/90,0.0
-42.027288564806334,long_probe_to_wsd,6/6,-25.606905665392997
-36.12943610676929,shape_routed_target_holdout,18/18,-7.030977928538551
