curvature_mean_delta_pct,curvature_wins,curvature_worst_delta_pct,decoupled_mean_delta_pct,decoupled_wins,decoupled_worst_delta_pct,rows,test_curve,test_label
-54.26122522502009,3,-40.477293275340145,-54.26122522502009,3,-40.477293275340145,3,wsd_20000_24000.csv,WSD sharp
-46.32810974659075,3,-33.11707850120887,-46.32810974659075,3,-33.11707850120887,3,wsdld_20000_24000.csv,WSD linear
-57.69187474018319,3,-47.711035089673445,-55.77784102712906,3,-47.275759389004214,3,wsdcon_3.csv,WSD-con 3e-5
-16.50722131167422,3,-9.432007815100329,-14.676061632590262,3,-9.045298593448237,3,wsdcon_9.csv,WSD-con 9e-5
-12.586493382060075,3,-11.916341232237782,-9.863136108644307,3,-6.289566272098146,3,wsdcon_18.csv,WSD-con 18e-5
-37.474984881105655,15,-9.432007815100329,-36.181274747994884,15,-6.289566272098146,15,ALL,All WSD targets
