scale,scheme,curve,mae,rmse,mape,best_loss
25,equal_1_1_1,constant_72000.csv,0.00157954477609431,0.0018837333733256517,0.0004689116033519304,0.0002786183721750816
25,equal_1_1_1,cosine_72000.csv,0.00744444570610409,0.008010402245134832,0.0022394541894598307,0.0002786183721750816
25,equal_1_1_1,wsd_20000_24000.csv,0.0034076874436141467,0.004296753319278532,0.0009985900184694514,0.0002786183721750816
25,equal_1_1_1,wsdld_20000_24000.csv,0.0031353852555964625,0.0038269134288983543,0.0009150324632583721,0.0002786183721750816
25,equal_1_1_1,wsdcon_3.csv,0.004487155659262821,0.006779201710698755,0.0012851415880233915,0.0002786183721750816
25,equal_1_1_1,wsdcon_18.csv,0.0025044364080702482,0.0031120189800905576,0.0007054562100371391,0.0002786183721750816
25,constant_wsdcon_1_3_3,constant_72000.csv,0.003351948299698261,0.003926130436107713,0.001010363184793133,0.00023356501814349994
25,constant_wsdcon_1_3_3,cosine_72000.csv,0.004240361152944558,0.004833918917898065,0.0012702063873354964,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsd_20000_24000.csv,0.0019062399412659355,0.0026367496143755945,0.0005456108613546073,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsdld_20000_24000.csv,0.0017157522907357164,0.002406463445563769,0.0004875523706810146,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsdcon_3.csv,0.004339385684426573,0.005526750678985017,0.001233477561155402,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsdcon_18.csv,0.002199015362664321,0.0028792385946033857,0.000607554672351739,0.00023356501814349994
100,equal_1_1_1,constant_72000.csv,0.00477632119245767,0.005665149684685136,0.0015839931370911055,0.0002750658257182462
100,equal_1_1_1,cosine_72000.csv,0.007265216429381582,0.008208896198970797,0.0024508002805512666,0.0002750658257182462
100,equal_1_1_1,wsd_20000_24000.csv,0.0037481729251781586,0.0059154018505415094,0.0012262371147146785,0.0002750658257182462
100,equal_1_1_1,wsdld_20000_24000.csv,0.003248417990260636,0.004923543151914954,0.0010564415584443836,0.0002750658257182462
100,equal_1_1_1,wsdcon_3.csv,0.005669456664023281,0.008895902453919885,0.0018060897896965689,0.0002750658257182462
100,equal_1_1_1,wsdcon_18.csv,0.001381676567853054,0.0019048501903575878,0.0004256499008103849,0.0002750658257182462
100,constant_wsdcon_1_3_3,constant_72000.csv,0.0033128058769495406,0.0042035482963962935,0.0010931680692578129,0.00024054090244148598
100,constant_wsdcon_1_3_3,cosine_72000.csv,0.006253150059050567,0.007176119179496977,0.002106251748255585,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsd_20000_24000.csv,0.0031587932392607167,0.005038386199063452,0.0010298042621593052,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsdld_20000_24000.csv,0.00269935846554759,0.0041288173657121514,0.0008739044790416491,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsdcon_3.csv,0.005339862902974197,0.007920180435311328,0.0016986322620489032,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsdcon_18.csv,0.0014423100780277848,0.0018415663330312822,0.00044303205230854275,0.00024054090244148598
400,equal_1_1_1,constant_72000.csv,0.004119207616763998,0.005414629597750407,0.001454014403259452,0.00040780329047521873
400,equal_1_1_1,cosine_72000.csv,0.005614369647639921,0.006916300935284028,0.0020202448487680767,0.00040780329047521873
400,equal_1_1_1,wsd_20000_24000.csv,0.004698957923013549,0.008002037996134338,0.0016495857264974228,0.00040780329047521873
400,equal_1_1_1,wsdld_20000_24000.csv,0.003850449512879239,0.006445155658120064,0.0013389496724915142,0.00040780329047521873
400,equal_1_1_1,wsdcon_3.csv,0.008172974990715572,0.01347564871567053,0.0027768716926555637,0.00040780329047521873
400,equal_1_1_1,wsdcon_18.csv,0.002554111022217273,0.0035791642611005814,0.0008366569226792584,0.00040780329047521873
400,constant_wsdcon_1_3_3,constant_72000.csv,0.0037131735393916196,0.0050355140473036415,0.0013184475685462636,0.0003849755062257746
400,constant_wsdcon_1_3_3,cosine_72000.csv,0.0052009667023241975,0.0064509106052084665,0.0018785043732592356,0.0003849755062257746
400,constant_wsdcon_1_3_3,wsd_20000_24000.csv,0.0036944313853568595,0.00694125015063724,0.0013011429687554902,0.0003849755062257746
400,constant_wsdcon_1_3_3,wsdld_20000_24000.csv,0.0029749496377293296,0.005575003161373333,0.0010374438381523183,0.0003849755062257746
400,constant_wsdcon_1_3_3,wsdcon_3.csv,0.0072726595862464185,0.011665131387232904,0.0024748032655707974,0.0003849755062257746
400,constant_wsdcon_1_3_3,wsdcon_18.csv,0.0021028782368834997,0.003062679690125613,0.0006876650283106588,0.0003849755062257746
