scale,scheme,avg_test_mae,avg_test_rmse,avg_test_mape
25,equal_1_1_1,0.0037597758747903464,0.004651503842904448,0.0011020976787666857
25,constant_wsdcon_1_3_3,0.002958783788622561,0.0037015419479222576,0.0008591275062785654
100,equal_1_1_1,0.004348210294859063,0.0059189572550649786,0.0014248686302180645
100,constant_wsdcon_1_3_3,0.003701046770301733,0.005051436301501914,0.0012074654788452996
400,equal_1_1_1,0.004835011785538259,0.0073054895273433245,0.0016793872110585477
400,constant_wsdcon_1_3_3,0.004159843181321988,0.006455081506980201,0.0014496678404324606
